;Código da Instituição;Nome da Instituição;Categoria Administrativa;Organização Acadêmica;Código do Curso de Graduação;Nome do Curso de Graduação;Código da Região Geográfica do Curso;Código da Unidade Federativa do Curso;Código do Município do Curso;Grau Acadêmico;Modalidade de Ensino;Nome da área do Curso segundo a classificação CINE BRASIL;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Ano de Ingresso;Ano de Referência;Prazo de Integralização em Anos;Ano de Integralização do Curso;Prazo de Acompanhamento do Curso em anos;Ano Máximo de Acompanhamento do Curso;Quantidade de Ingressantes no Curso;Quantidade de Permanência no Curso no ano de referência;Quantidade de Concluintes no Curso no ano de referência;Quantidade de Desistência no Curso no ano de referência;Quantidade de Falecimentos no Curso no ano de referência;Taxa de Permanência - TAP;Taxa de Conclusão Acumulada - TCA;Taxa de Desistência Acumulada - TODA;Taxa de Conclusão Anual - TCAN;Taxa de Desistência Anual - TDAN
1015;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;42313;ADMINISTRAÇÃO;4.0;43.0;4319505.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;8;2017;148;8;2;4;0;5,4;40,8;53,7;1,4;2,7
1016;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;42362;DIREITO;4.0;43.0;4304408.0;1;1;Direito;Negócios, administração e direito;2010;2019;6;2015;10;2019;115;11;2;9;0;9,6;32,2;58,3;1,7;7,8
1017;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;45693;ENFERMAGEM;4.0;43.0;4305108.0;1;1;Enfermagem;Saúde e bem-estar;2010;2019;6;2015;10;2019;135;0;3;3;0;0;34,8;65,2;2,2;2,2
1018;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;45735;FILOSOFIA;4.0;43.0;4305108.0;2;1;Filosofia formação de professor;Educação;2010;2019;5;2014;8;2017;28;2;0;3;0;7,1;25;67,9;0;10,7
1019;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;50164;DESIGN DE PRODUTO;4.0;43.0;4302105.0;1;1;Design de produto;Artes e humanidades;2010;2019;5;2014;8;2017;12;0;0;0;0;0;41,7;58,3;0;0
1020;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;50298;SISTEMAS DE INFORMAÇÃO;4.0;43.0;4322509.0;1;1;Sistemas de informação;Computação e Tecnologias da Informação e Comunicação (TIC);2010;2019;5;2014;8;2017;23;0;0;0;0;0;39,1;60,9;0;0
1021;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;50302;FISIOTERAPIA;4.0;43.0;4305108.0;1;1;Fisioterapia;Saúde e bem-estar;2010;2019;6;2015;10;2019;118;2;1;4;0;1,7;39,8;58,5;0,8;3,4
1022;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;50304;ENGENHARIA DE ALIMENTOS;4.0;43.0;4305108.0;1;1;Engenharia de alimentos;Engenharia, produção e construção;2010;2019;6;2015;10;2019;62;1;2;3;0;1,6;9,7;88,7;3,2;4,8
1023;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;57446;ENGENHARIA DE PRODUÇÃO;4.0;43.0;4302105.0;1;1;Engenharia de produção;Engenharia, produção e construção;2010;2019;6;2015;10;2019;58;3;0;2;0;5,2;10,3;84,5;0;3,4
1024;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;57502;GEOGRAFIA;4.0;43.0;4302105.0;2;1;Geografia formação de professor;Educação;2010;2019;5;2014;8;2017;16;1;0;1;0;6,3;56,3;37,5;0;6,3
1025;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;57504;SISTEMAS DE INFORMAÇÃO;4.0;43.0;4302105.0;1;1;Sistemas de informação;Computação e Tecnologias da Informação e Comunicação (TIC);2010;2019;5;2014;8;2017;46;4;0;3;0;8,7;23,9;67,4;0;6,5
1026;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;57706;ENGENHARIA ELÉTRICA;4.0;43.0;4302105.0;1;1;Engenharia elétrica;Engenharia, produção e construção;2010;2019;6;2015;10;2019;116;6;3;2;0;5,2;12,9;81,9;2,6;1,7
1027;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;57714;ENGENHARIA DE MATERIAIS;4.0;43.0;4305108.0;1;1;Engenharia de materiais;Engenharia, produção e construção;2010;2019;6;2015;10;2019;60;2;1;5;0;3,3;10;86,7;1,7;8,3
1028;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;64877;SISTEMAS DE INFORMAÇÃO;4.0;43.0;4305108.0;1;1;Sistemas de informação;Computação e Tecnologias da Informação e Comunicação (TIC);2010;2019;5;2014;8;2017;71;2;1;6;0;2,8;12,7;84,5;1,4;8,5
1029;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;64929;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;4.0;43.0;4304408.0;3;1;Sistemas de informação;Computação e Tecnologias da Informação e Comunicação (TIC);2010;2019;4;2013;7;2016;25;0;0;0;0;0;28;72;0;0
1030;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;66129;EDUCAÇÃO FÍSICA;4.0;43.0;4305108.0;2;1;Educação física formação de professor;Educação;2010;2019;5;2014;8;2017;138;3;1;5;0;2,2;29,7;68,1;0,7;3,6
1031;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;66131;EDUCAÇÃO FÍSICA;4.0;43.0;4305108.0;1;1;Educação física;Saúde e bem-estar;2010;2019;5;2014;8;2017;139;5;0;4;0;3,6;28,1;68,3;0;2,9
1032;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;68172;FILOSOFIA;4.0;43.0;4305108.0;1;1;Filosofia;Artes e humanidades;2010;2019;4;2013;6;2015;26;1;0;0;0;3,8;34,6;61,5;0;0
1033;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;68237;ADMINISTRAÇÃO;4.0;43.0;4309407.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;8;2017;60;5;0;1;0;8,3;58,3;33,3;0;1,7
1034;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;68243;DIREITO;4.0;43.0;4307906.0;1;1;Direito;Negócios, administração e direito;2010;2019;6;2015;10;2019;69;7;0;1;0;10,1;30,4;59,4;0;1,4
1035;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;68245;CIÊNCIAS CONTÁBEIS;4.0;43.0;4313300.0;1;1;Contabilidade;Negócios, administração e direito;2010;2019;5;2014;8;2017;53;4;0;1;0;7,5;52,8;39,6;0;1,9
1036;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;70604;FARMÁCIA;4.0;43.0;4305108.0;1;1;Farmácia;Saúde e bem-estar;2010;2019;6;2015;10;2019;79;0;1;2;0;0;38;62;1,3;2,5
1038;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;72777;NUTRIÇÃO;4.0;43.0;4305108.0;1;1;Nutrição;Saúde e bem-estar;2010;2019;5;2014;8;2017;104;3;0;2;0;2,9;41,3;55,8;0;1,9
1039;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;75926;TECNOLOGIAS DIGITAIS;4.0;43.0;4305108.0;1;1;Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC);Computação e Tecnologias da Informação e Comunicação (TIC);2010;2019;5;2014;8;2017;48;0;1;0;0;0;6,3;93,8;2,1;0
1040;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;75934;EDUCAÇÃO FÍSICA;4.0;43.0;4322509.0;2;1;Educação física formação de professor;Educação;2010;2019;5;2014;8;2017;6;0;0;0;0;0;16,7;83,3;0;0
1041;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;88562;AGRONOMIA;4.0;43.0;4305108.0;1;1;Agronomia;Agricultura, silvicultura, pesca e veterinária;2010;2019;6;2015;10;2019;71;3;4;1;0;4,2;54,9;40,8;5,6;1,4
