;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
589;universidade regional integrada do alto uruguai e das missões;engenharia de alimentos;7;8820;130;59.0;engenharia, produção e construção;5.38
590;universidade regional integrada do alto uruguai e das missões;engenharia elétrica;9;1126142;990;368.0;engenharia, produção e construção;0.91
591;universidade regional integrada do alto uruguai e das missões;engenharia mecânica;15;8785;1450;796.0;engenharia, produção e construção;1.03
592;universidade regional integrada do alto uruguai e das missões;farmácia;22;20106;1230;594.0;saúde e bem-estar;1.79
593;universidade regional integrada do alto uruguai e das missões;fisioterapia;20;64164;410;148.0;saúde e bem-estar;4.88
594;universidade regional integrada do alto uruguai e das missões;letras - língua portuguesa;8;1151951;750;281.0;educação;1.07
595;universidade regional integrada do alto uruguai e das missões;matemática;4;8790;660;414.0;educação;0.61
596;universidade regional integrada do alto uruguai e das missões;nutrição;10;88810;550;157.0;saúde e bem-estar;1.82
597;universidade regional integrada do alto uruguai e das missões;odontologia;7;122800;510;87.0;saúde e bem-estar;1.37
598;universidade regional integrada do alto uruguai e das missões;pedagogia;16;8788;1910;723.0;educação;0.84
599;universidade regional integrada do alto uruguai e das missões;psicologia;23;49498;2090;823.0;ciências sociais, comunicação e informação;1.1
600;universidade regional integrada do alto uruguai e das missões;química;12;64040;940;407.0;ciências naturais, matemática e estatística;1.28
601;universidade regional integrada do alto uruguai e das missões;serviço social;15;73206;120;41.0;saúde e bem-estar;12.5
602;universidade regional integrada do alto uruguai e das missões;sistemas de informação;9;88180;510;334.0;computação e tecnologias da informação e comunicação (tic);1.76
