;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
149;faculdade monteiro lobato;ciências contábeis;1;68358;290;98.0;negócios, administração e direito;0.34
150;faculdade monteiro lobato;gestão ambiental;2;115394;250;134.0;engenharia, produção e construção;0.8
151;faculdade monteiro lobato;produção cênica;4;115392;200;114.0;artes e humanidades;2.0
152;faculdade nossa senhora de fátima;administração;20;67645;710;499.0;negócios, administração e direito;2.82
153;faculdade nossa senhora de fátima;enfermagem;15;67647;830;513.0;saúde e bem-estar;1.81
154;faculdade nossa senhora de fátima;fonoaudiologia;7;81068;260;133.0;saúde e bem-estar;2.69
155;faculdade nossa senhora de fátima;nutrição;9;80824;280;151.0;saúde e bem-estar;3.21
156;faculdade novo hamburgo;psicologia;3;1077039;220;128.0;ciências sociais, comunicação e informação;1.36
157;faculdade novo hamburgo;redes de computadores;1;119946;160;80.0;computação e tecnologias da informação e comunicação (tic);0.62
158;faculdade santo augusto;administração;10;114901;550;333.0;negócios, administração e direito;1.82
159;faculdade santo augusto;ciências contábeis;9;114903;300;177.0;negócios, administração e direito;3.0
160;faculdade santo augusto;educação física;7;1110541;170;82.0;educação;4.12
161;faculdade são francisco de assis;administração;13;67774;1330;833.0;negócios, administração e direito;0.98
162;faculdade são francisco de assis;arquitetura e urbanismo;6;1060058;470;275.0;engenharia, produção e construção;1.28
163;faculdade são francisco de assis;ciência da computação;2;1134546;260;180.0;computação e tecnologias da informação e comunicação (tic);0.77
164;faculdade são francisco de assis;ciências contábeis;4;67776;930;476.0;negócios, administração e direito;0.43
165;faculdade são francisco de assis;direito;8;5000865;1130;556.0;negócios, administração e direito;0.71
166;faculdade são francisco de assis;psicologia;8;1053146;970;549.0;ciências sociais, comunicação e informação;0.82
167;faculdade três de maio;administração;6;6741;740;249.0;negócios, administração e direito;0.81
168;faculdade três de maio;agronomia;3;119212;490;150.0;agricultura, silvicultura, pesca e veterinária;0.61
169;faculdade três de maio;design de moda;2;1077618;180;62.0;artes e humanidades;1.11
170;faculdade três de maio;enfermagem;3;45559;390;150.0;saúde e bem-estar;0.77
171;faculdade três de maio;engenharia de produção;3;68980;490;183.0;engenharia, produção e construção;0.61
172;faculdade três de maio;pedagogia;2;32470;210;49.0;educação;0.95
173;faculdade três de maio;psicologia;5;104028;270;50.0;ciências sociais, comunicação e informação;1.85
174;faculdade três de maio;redes de computadores;2;72485;120;51.0;computação e tecnologias da informação e comunicação (tic);1.67
175;faculdade três de maio;sistemas de informação;3;20130;200;93.0;computação e tecnologias da informação e comunicação (tic);1.5
176;faculdades est;música;4;1073438;270;92.0;educação;1.48
177;faculdades integradas machado de assis;administração;19;18732;1530;682.0;negócios, administração e direito;1.24
178;faculdades integradas machado de assis;ciências contábeis;22;8901;1290;495.0;negócios, administração e direito;1.71
179;faculdades integradas machado de assis;direito;18;96010;1720;611.0;negócios, administração e direito;1.05
180;faculdades integradas machado de assis;gestão da tecnologia da informação;6;1101105;460;211.0;computação e tecnologias da informação e comunicação (tic);1.3
181;faculdades integradas machado de assis;gestão de recursos humanos;10;1101106;610;195.0;negócios, administração e direito;1.64
182;faculdades integradas machado de assis;serviço social;3;73453;100;81.0;saúde e bem-estar;3.0
183;instituto superior de educação ivoti;música;3;1100369;270;126.0;educação;1.11
184;instituto superior de educação ivoti;pedagogia;8;119032;730;461.0;educação;1.1
185;instituto superior de filosofia berthier;filosofia;3;74493;250;113.0;artes e humanidades;1.2
186;pontifícia universidade católica do rio grande do sul;administração;113;88923;16910;4697.0;negócios, administração e direito;0.67
187;pontifícia universidade católica do rio grande do sul;arquitetura e urbanismo;19;18056;1620;555.0;engenharia, produção e construção;1.17
188;pontifícia universidade católica do rio grande do sul;ciência da computação;25;1904;1590;809.0;computação e tecnologias da informação e comunicação (tic);1.57
189;pontifícia universidade católica do rio grande do sul;ciências aeronáuticas;8;1923;690;161.0;serviços;1.16
190;pontifícia universidade católica do rio grande do sul;ciências biológicas;25;1905;2150;1042.0;educação;1.16
191;pontifícia universidade católica do rio grande do sul;ciências contábeis;33;88932;1300;355.0;negócios, administração e direito;2.54
192;pontifícia universidade católica do rio grande do sul;ciências econômicas;8;1890;1030;361.0;ciências sociais, comunicação e informação;0.78
193;pontifícia universidade católica do rio grande do sul;ciências sociais;45;1894;820;456.0;educação;5.49
194;pontifícia universidade católica do rio grande do sul;direito;56;1888;9930;2302.0;negócios, administração e direito;0.56
195;pontifícia universidade católica do rio grande do sul;educação física;45;39514;2990;1184.0;educação;1.51
196;pontifícia universidade católica do rio grande do sul;enfermagem;42;19334;770;169.0;saúde e bem-estar;5.45
197;pontifícia universidade católica do rio grande do sul;engenharia de computação;17;56702;910;503.0;computação e tecnologias da informação e comunicação (tic);1.87
198;pontifícia universidade católica do rio grande do sul;engenharia de controle e automação;18;1925;820;396.0;engenharia, produção e construção;2.2
199;pontifícia universidade católica do rio grande do sul;engenharia de produção;9;64746;1420;424.0;engenharia, produção e construção;0.63
200;pontifícia universidade católica do rio grande do sul;engenharia elétrica e eletrônica;13;116150;240;220.0;engenharia, produção e construção;5.42
201;pontifícia universidade católica do rio grande do sul;engenharia mecânica;10;1914;1530;620.0;engenharia, produção e construção;0.65
202;pontifícia universidade católica do rio grande do sul;engenharia química;11;1915;910;268.0;engenharia, produção e construção;1.21
203;pontifícia universidade católica do rio grande do sul;farmácia;24;1924;810;263.0;saúde e bem-estar;2.96
204;pontifícia universidade católica do rio grande do sul;filosofia;30;1881;1280;651.0;educação;2.34
205;pontifícia universidade católica do rio grande do sul;fisioterapia;30;39516;760;186.0;saúde e bem-estar;3.95
206;pontifícia universidade católica do rio grande do sul;física;35;1896;760;330.0;educação;4.61
207;pontifícia universidade católica do rio grande do sul;geografia;26;1893;1380;705.0;educação;1.88
208;pontifícia universidade católica do rio grande do sul;gestão de turismo;34;1107916;750;262.0;serviços;4.53
209;pontifícia universidade católica do rio grande do sul;história;30;102728;2760;1321.0;educação;1.09
210;pontifícia universidade católica do rio grande do sul;hotelaria;40;1107917;490;292.0;serviços;8.16
211;pontifícia universidade católica do rio grande do sul;jornalismo;19;27508;1880;539.0;ciências sociais, comunicação e informação;1.01
212;pontifícia universidade católica do rio grande do sul;matemática;55;1907;740;461.0;educação;7.43
213;pontifícia universidade católica do rio grande do sul;medicina;11;1879;940;15.0;saúde e bem-estar;1.17
214;pontifícia universidade católica do rio grande do sul;nutrição;22;56696;600;103.0;saúde e bem-estar;3.67
215;pontifícia universidade católica do rio grande do sul;odontologia;8;1883;750;132.0;saúde e bem-estar;1.07
216;pontifícia universidade católica do rio grande do sul;pedagogia;50;1882;1290;464.0;educação;3.88
217;pontifícia universidade católica do rio grande do sul;produção audiovisual;4;73235;400;119.0;artes e humanidades;1.0
218;pontifícia universidade católica do rio grande do sul;psicologia;30;1903;3290;839.0;ciências sociais, comunicação e informação;0.91
219;pontifícia universidade católica do rio grande do sul;química;30;1906;1760;798.0;ciências naturais, matemática e estatística;1.7
220;pontifícia universidade católica do rio grande do sul;relações públicas;26;33288;890;257.0;negócios, administração e direito;2.92
221;pontifícia universidade católica do rio grande do sul;serviço social;40;1887;940;240.0;saúde e bem-estar;4.26
222;pontifícia universidade católica do rio grande do sul;sistemas de informação;36;56766;1470;656.0;computação e tecnologias da informação e comunicação (tic);2.45
223;universidade católica de pelotas;administração;19;1517;1110;471.0;negócios, administração e direito;1.71
224;universidade católica de pelotas;arquitetura e urbanismo;3;1534;530;173.0;engenharia, produção e construção;0.57
225;universidade católica de pelotas;comunicação social - publicidade e propaganda;4;49996;270;137.0;negócios, administração e direito;1.48
226;universidade católica de pelotas;design de moda;2;103186;470;148.0;artes e humanidades;0.43
227;universidade católica de pelotas;direito;27;1531;2490;787.0;negócios, administração e direito;1.08
228;universidade católica de pelotas;enfermagem;7;89467;750;315.0;saúde e bem-estar;0.93
229;universidade católica de pelotas;engenharia civil;2;1511;640;225.0;engenharia, produção e construção;0.31
230;universidade católica de pelotas;farmácia;3;90207;150;72.0;saúde e bem-estar;2.0
231;universidade católica de pelotas;filosofia;10;301513;190;94.0;artes e humanidades;5.26
232;universidade católica de pelotas;fisioterapia;4;64838;420;114.0;saúde e bem-estar;0.95
233;universidade católica de pelotas;jornalismo;4;49991;480;165.0;ciências sociais, comunicação e informação;0.83
234;universidade católica de pelotas;letras - português e inglês;10;1514;160;47.0;educação;6.25
235;universidade católica de pelotas;medicina;10;1518;1080;118.0;saúde e bem-estar;0.93
236;universidade católica de pelotas;pedagogia;4;1515;350;38.0;educação;1.14
237;universidade católica de pelotas;psicologia;5;1516;430;185.0;ciências sociais, comunicação e informação;1.16
238;universidade católica de pelotas;serviço social;5;1526;140;33.0;saúde e bem-estar;3.57
239;universidade de caxias do sul;administração;102;31041;16660;6696.0;negócios, administração e direito;0.61
240;universidade de caxias do sul;agronomia;16;88562;1750;684.0;agricultura, silvicultura, pesca e veterinária;0.91
241;universidade de caxias do sul;arquitetura e urbanismo;15;1140;1980;875.0;engenharia, produção e construção;0.76
242;universidade de caxias do sul;artes visuais;1;112356;360;168.0;educação;0.28
243;universidade de caxias do sul;automação industrial;7;1127914;730;423.0;engenharia, produção e construção;0.96
244;universidade de caxias do sul;ciência da computação;9;1110;880;467.0;computação e tecnologias da informação e comunicação (tic);1.02
245;universidade de caxias do sul;ciências biológicas;8;1109;970;470.0;educação;0.82
246;universidade de caxias do sul;ciências contábeis;48;1103;5400;1983.0;negócios, administração e direito;0.89
247;universidade de caxias do sul;ciências econômicas;6;1104;890;431.0;ciências sociais, comunicação e informação;0.67
248;universidade de caxias do sul;comunicação social - publicidade e propaganda;7;24299;980;447.0;negócios, administração e direito;0.71
249;universidade de caxias do sul;comércio internacional;18;106910;2300;965.0;negócios, administração e direito;0.78
250;universidade de caxias do sul;design;11;1105331;1810;945.0;artes e humanidades;0.61
251;universidade de caxias do sul;design de moda;5;121110;780;344.0;artes e humanidades;0.64
252;universidade de caxias do sul;direito;85;1101;11030;4000.0;negócios, administração e direito;0.77
253;universidade de caxias do sul;educação física;28;66129;3120;1240.0;educação;0.9
254;universidade de caxias do sul;enfermagem;7;45693;780;314.0;saúde e bem-estar;0.9
255;universidade de caxias do sul;engenharia ambiental;6;40404;930;588.0;engenharia, produção e construção;0.65
256;universidade de caxias do sul;engenharia civil;15;1105330;2570;1229.0;engenharia, produção e construção;0.58
257;universidade de caxias do sul;engenharia de alimentos;5;50304;360;207.0;engenharia, produção e construção;1.39
258;universidade de caxias do sul;engenharia de controle e automação;8;98118;1210;613.0;engenharia, produção e construção;0.66
259;universidade de caxias do sul;engenharia de materiais;5;57714;820;485.0;engenharia, produção e construção;0.61
260;universidade de caxias do sul;engenharia de produção;28;40405;3180;1664.0;engenharia, produção e construção;0.88
261;universidade de caxias do sul;engenharia eletrônica;4;1115910;590;299.0;engenharia, produção e construção;0.68
262;universidade de caxias do sul;engenharia elétrica;12;57706;1700;801.0;engenharia, produção e construção;0.71
263;universidade de caxias do sul;engenharia mecânica;42;22642;4330;1952.0;engenharia, produção e construção;0.97
264;universidade de caxias do sul;engenharia química;9;26065;1030;393.0;engenharia, produção e construção;0.87
265;universidade de caxias do sul;eventos;3;1127023;250;126.0;serviços;1.2
266;universidade de caxias do sul;farmácia;13;70604;750;401.0;saúde e bem-estar;1.73
267;universidade de caxias do sul;filosofia;3;45735;530;216.0;educação;0.57
268;universidade de caxias do sul;fisioterapia;6;50302;830;380.0;saúde e bem-estar;0.72
269;universidade de caxias do sul;fotografia;3;1116795;580;237.0;artes e humanidades;0.52
270;universidade de caxias do sul;gastronomia;2;1172253;570;271.0;serviços;0.35
271;universidade de caxias do sul;gestão comercial;2;1116798;590;194.0;negócios, administração e direito;0.34
272;universidade de caxias do sul;gestão da qualidade;2;1153962;1040;311.0;negócios, administração e direito;0.19
273;universidade de caxias do sul;gestão de recursos humanos;12;1115906;1950;735.0;negócios, administração e direito;0.62
274;universidade de caxias do sul;história;4;1095;600;228.0;educação;0.67
275;universidade de caxias do sul;letras - inglês;3;29730;520;233.0;educação;0.58
276;universidade de caxias do sul;letras - língua portuguesa;5;25674;600;275.0;educação;0.83
277;universidade de caxias do sul;marketing;1;1117530;850;272.0;negócios, administração e direito;0.12
278;universidade de caxias do sul;matemática;6;1112;470;302.0;educação;1.28
279;universidade de caxias do sul;medicina;7;1107;850;120.0;saúde e bem-estar;0.82
280;universidade de caxias do sul;música;4;1105328;560;250.0;educação;0.71
281;universidade de caxias do sul;nutrição;7;72777;650;283.0;saúde e bem-estar;1.08
282;universidade de caxias do sul;pedagogia;14;98307;2240;836.0;educação;0.62
283;universidade de caxias do sul;polímeros;1;18043;320;197.0;engenharia, produção e construção;0.31
284;universidade de caxias do sul;processos gerenciais;2;1115907;1030;367.0;negócios, administração e direito;0.19
285;universidade de caxias do sul;psicologia;15;29733;1890;925.0;ciências sociais, comunicação e informação;0.79
286;universidade de caxias do sul;radiologia;3;1168449;290;133.0;saúde e bem-estar;1.03
287;universidade de caxias do sul;secretariado;2;1105571;210;115.0;negócios, administração e direito;0.95
288;universidade de caxias do sul;serviço social;6;1098;460;249.0;saúde e bem-estar;1.3
289;universidade de caxias do sul;sistemas de informação;19;50298;1440;702.0;computação e tecnologias da informação e comunicação (tic);1.32
290;universidade de caxias do sul;tecnologias digitais;3;75926;350;197.0;computação e tecnologias da informação e comunicação (tic);0.86
291;universidade de caxias do sul;turismo;1;1168445;280;167.0;serviços;0.36
292;universidade de cruz alta;administração;11;9229;790;294.0;negócios, administração e direito;1.39
293;universidade de cruz alta;agronomia;11;9228;530;189.0;agricultura, silvicultura, pesca e veterinária;2.08
294;universidade de cruz alta;arquitetura e urbanismo;3;18051;640;236.0;engenharia, produção e construção;0.47
295;universidade de cruz alta;biomedicina;4;69109;250;135.0;saúde e bem-estar;1.6
296;universidade de cruz alta;ciência da computação;7;20966;290;128.0;computação e tecnologias da informação e comunicação (tic);2.41
297;universidade de cruz alta;ciências contábeis;4;9236;300;119.0;negócios, administração e direito;1.33
298;universidade de cruz alta;direito;17;9227;1560;603.0;negócios, administração e direito;1.09
299;universidade de cruz alta;educação física;1;9225;320;147.0;educação;0.31
300;universidade de cruz alta;estética e cosmética;2;112062;220;57.0;serviços;0.91
301;universidade de cruz alta;jornalismo;2;35859;180;108.0;ciências sociais, comunicação e informação;1.11
302;universidade de cruz alta;medicina veterinária;14;19005;1130;382.0;agricultura, silvicultura, pesca e veterinária;1.24
303;universidade de passo fundo;administração;178;1729;5760;2322.0;negócios, administração e direito;3.09
304;universidade de passo fundo;agronomia;20;1728;1300;388.0;agricultura, silvicultura, pesca e veterinária;1.54
305;universidade de passo fundo;análise e desenvolvimento de sistemas;34;98361;1150;507.0;computação e tecnologias da informação e comunicação (tic);2.96
306;universidade de passo fundo;arquitetura e urbanismo;15;1786;950;244.0;engenharia, produção e construção;1.58
307;universidade de passo fundo;artes visuais;6;88502;250;75.0;educação;2.4
308;universidade de passo fundo;ciência da computação;22;1721;760;415.0;computação e tecnologias da informação e comunicação (tic);2.89
309;universidade de passo fundo;ciências biológicas;25;66005;1020;375.0;ciências naturais, matemática e estatística;2.45
310;universidade de passo fundo;ciências contábeis;145;1734;3720;1072.0;negócios, administração e direito;3.9
311;universidade de passo fundo;ciências econômicas;15;1735;450;154.0;ciências sociais, comunicação e informação;3.33
312;universidade de passo fundo;comércio exterior;17;1133188;580;207.0;negócios, administração e direito;2.93
313;universidade de passo fundo;design de moda;16;115484;540;175.0;artes e humanidades;2.96
314;universidade de passo fundo;design de produto;11;115478;270;115.0;artes e humanidades;4.07
315;universidade de passo fundo;design gráfico;18;111744;520;176.0;artes e humanidades;3.46
316;universidade de passo fundo;direito;132;1736;4970;1546.0;negócios, administração e direito;2.66
317;universidade de passo fundo;educação física;60;1724;2530;806.0;educação;2.37
318;universidade de passo fundo;enfermagem;19;1727;700;129.0;saúde e bem-estar;2.71
319;universidade de passo fundo;engenharia civil;17;1748;1670;394.0;engenharia, produção e construção;1.02
320;universidade de passo fundo;engenharia de alimentos;12;20948;340;155.0;engenharia, produção e construção;3.53
321;universidade de passo fundo;engenharia de produção;16;86484;330;95.0;engenharia, produção e construção;4.85
322;universidade de passo fundo;engenharia elétrica;19;1109501;1060;369.0;engenharia, produção e construção;1.79
323;universidade de passo fundo;engenharia mecânica;30;1718;1780;636.0;engenharia, produção e construção;1.69
324;universidade de passo fundo;estética e cosmética;23;115482;720;109.0;serviços;3.19
325;universidade de passo fundo;fabricação mecânica;27;111740;900;480.0;engenharia, produção e construção;3.0
326;universidade de passo fundo;farmácia;9;18483;290;40.0;saúde e bem-estar;3.1
327;universidade de passo fundo;filosofia;6;1738;250;96.0;educação;2.4
328;universidade de passo fundo;fisioterapia;10;20949;560;102.0;saúde e bem-estar;1.79
329;universidade de passo fundo;fonoaudiologia;12;64832;380;31.0;saúde e bem-estar;3.16
330;universidade de passo fundo;física;7;73302;250;119.0;educação;2.8
331;universidade de passo fundo;gestão comercial;16;1107869;390;139.0;negócios, administração e direito;4.1
332;universidade de passo fundo;gestão de recursos humanos;19;115500;620;175.0;negócios, administração e direito;3.06
333;universidade de passo fundo;história;14;1740;490;212.0;educação;2.86
334;universidade de passo fundo;jornalismo;26;29604;640;179.0;ciências sociais, comunicação e informação;4.06
335;universidade de passo fundo;letras - português e espanhol;5;88496;130;60.0;educação;3.85
336;universidade de passo fundo;logística;18;115512;410;115.0;negócios, administração e direito;4.39
337;universidade de passo fundo;matemática;19;1717;630;280.0;educação;3.02
338;universidade de passo fundo;medicina;8;1725;930;17.0;saúde e bem-estar;0.86
339;universidade de passo fundo;medicina veterinária;10;18484;840;122.0;agricultura, silvicultura, pesca e veterinária;1.19
340;universidade de passo fundo;música;9;1750;610;253.0;educação;1.48
341;universidade de passo fundo;nutrição;11;64836;290;57.0;saúde e bem-estar;3.79
