;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
60;centro universitário ritter dos reis;medicina veterinária;28;1214342;4912;1475.0;agricultura, silvicultura, pesca e veterinária;0.57
61;centro universitário ritter dos reis;nutrição;10;1190141;1432;541.0;saúde e bem-estar;0.7
62;centro universitário ritter dos reis;pedagogia;10;8535;1320;534.0;educação;0.76
63;centro universitário ritter dos reis;psicologia;19;1107747;2112;663.0;ciências sociais, comunicação e informação;0.9
64;centro universitário ritter dos reis;publicidade e propaganda;11;1169004;1616;646.0;negócios, administração e direito;0.68
65;centro universitário ritter dos reis;relações internacionais;8;1133632;888;406.0;ciências sociais, comunicação e informação;0.9
66;centro universitário uniftec;administração;3;1122184;536;350.0;negócios, administração e direito;0.56
67;centro universitário uniftec;análise e desenvolvimento de sistemas;2;60168;416;235.0;computação e tecnologias da informação e comunicação (tic);0.48
68;centro universitário uniftec;arquitetura e urbanismo;7;1202982;264;165.0;engenharia, produção e construção;2.65
69;centro universitário uniftec;ciências contábeis;2;1043151;264;107.0;negócios, administração e direito;0.76
70;centro universitário uniftec;comércio exterior;6;101157;240;105.0;negócios, administração e direito;2.5
71;centro universitário uniftec;design de moda;2;1048077;240;124.0;artes e humanidades;0.83
72;centro universitário uniftec;design de produto;8;122384;240;132.0;artes e humanidades;3.33
73;centro universitário uniftec;design gráfico;5;1190077;224;91.0;artes e humanidades;2.23
74;centro universitário uniftec;engenharia civil;7;1108450;432;211.0;engenharia, produção e construção;1.62
75;centro universitário uniftec;engenharia de computação;6;119335;336;203.0;engenharia, produção e construção;1.79
76;centro universitário uniftec;engenharia de produção;8;119339;600;369.0;engenharia, produção e construção;1.33
77;centro universitário uniftec;engenharia elétrica;7;1154623;448;232.0;engenharia, produção e construção;1.56
78;centro universitário uniftec;engenharia mecânica;13;1108433;968;517.0;engenharia, produção e construção;1.34
79;centro universitário uniftec;gestão ambiental;3;1077731;192;108.0;engenharia, produção e construção;1.56
80;centro universitário uniftec;gestão comercial;3;104048;600;281.0;negócios, administração e direito;0.5
81;centro universitário uniftec;gestão da qualidade;6;102103;360;175.0;negócios, administração e direito;1.67
82;centro universitário uniftec;gestão da tecnologia da informação;4;75921;264;105.0;computação e tecnologias da informação e comunicação (tic);1.52
83;centro universitário uniftec;gestão de recursos humanos;4;101151;752;316.0;negócios, administração e direito;0.53
84;centro universitário uniftec;gestão financeira;5;101192;336;139.0;negócios, administração e direito;1.49
85;centro universitário uniftec;logística;5;107984;720;336.0;negócios, administração e direito;0.69
86;centro universitário uniftec;marketing;4;101155;280;140.0;negócios, administração e direito;1.43
87;centro universitário uniftec;pilotagem profissional de aeronaves;2;1186013;208;119.0;serviços;0.96
88;centro universitário uniftec;processos gerenciais;11;1104027;504;206.0;negócios, administração e direito;2.18
89;centro universitário uniftec;produção multimídia;7;1074227;264;90.0;artes e humanidades;2.65
90;centro universitário uniftec;redes de computadores;6;75917;272;164.0;computação e tecnologias da informação e comunicação (tic);2.21
91;faculdade américa latina;administração;2;116818;192;175.0;negócios, administração e direito;1.04
92;faculdade américa latina;design;1;87254;672;602.0;artes e humanidades;0.15
93;faculdade anglicana de erechim;administração;2;103860;344;66.0;negócios, administração e direito;0.58
94;faculdade anglicana de erechim;ciências contábeis;2;1100620;248;34.0;negócios, administração e direito;0.81
95;faculdade anglicana de erechim;design;2;101256;216;99.0;artes e humanidades;0.93
96;faculdade anglicana de erechim;eletrônica industrial;2;1123213;208;61.0;engenharia, produção e construção;0.96
97;faculdade anglicana de erechim;pedagogia;2;101287;384;120.0;educação;0.52
98;faculdade anhanguera de caxias do sul;administração;11;115184;752;501.0;negócios, administração e direito;1.46
99;faculdade anhanguera de caxias do sul;ciências contábeis;6;117521;400;202.0;negócios, administração e direito;1.5
100;faculdade anhanguera de caxias do sul;engenharia de produção;12;1123439;656;393.0;engenharia, produção e construção;1.83
101;faculdade anhanguera de caxias do sul;serviço social;4;117524;248;152.0;saúde e bem-estar;1.61
102;faculdade anhanguera de passo fundo;administração;15;48455;1568;648.0;negócios, administração e direito;0.96
103;faculdade anhanguera de passo fundo;ciências contábeis;11;68178;680;263.0;negócios, administração e direito;1.62
104;faculdade anhanguera de passo fundo;direito;21;66395;2880;1367.0;negócios, administração e direito;0.73
105;faculdade anhanguera de passo fundo;gestão comercial;5;104042;384;183.0;negócios, administração e direito;1.3
106;faculdade anhanguera de passo fundo;gestão de recursos humanos;8;1070127;440;225.0;negócios, administração e direito;1.82
107;faculdade anhanguera de pelotas;administração;25;59316;2168;1141.0;negócios, administração e direito;1.15
108;faculdade anhanguera de pelotas;ciências biológicas;12;105959;568;291.0;educação;2.11
109;faculdade anhanguera de pelotas;direito;20;86408;2432;1123.0;negócios, administração e direito;0.82
110;faculdade anhanguera de pelotas;educação física;6;98728;2760;1181.0;educação;0.22
111;faculdade anhanguera de pelotas;enfermagem;26;98723;2920;1182.0;saúde e bem-estar;0.89
112;faculdade anhanguera de pelotas;engenharia de produção;12;1117478;840;475.0;engenharia, produção e construção;1.43
113;faculdade anhanguera de pelotas;engenharia mecânica;29;1117754;1896;985.0;engenharia, produção e construção;1.53
114;faculdade anhanguera do rio grande;administração;25;59309;1360;728.0;negócios, administração e direito;1.84
115;faculdade anhanguera do rio grande;direito;28;87933;920;420.0;negócios, administração e direito;3.04
116;faculdade anhanguera do rio grande;enfermagem;19;5000331;712;368.0;saúde e bem-estar;2.67
117;faculdade anhanguera do rio grande;engenharia de controle e automação;14;1119305;768;483.0;engenharia, produção e construção;1.82
118;faculdade anhanguera do rio grande;engenharia de produção;19;5000330;1832;1102.0;engenharia, produção e construção;1.04
119;faculdade anhanguera do rio grande;engenharia mecânica;19;1117755;992;478.0;engenharia, produção e construção;1.92
120;faculdade anhanguera do rio grande;fisioterapia;15;104382;1712;846.0;saúde e bem-estar;0.88
121;faculdade anhanguera do rio grande;psicologia;19;99604;1232;505.0;ciências sociais, comunicação e informação;1.54
122;faculdade antônio meneghetti;administração;3;108118;624;268.0;negócios, administração e direito;0.48
123;faculdade antônio meneghetti;direito;7;1129140;576;207.0;negócios, administração e direito;1.22
124;faculdade antônio meneghetti;sistema de informação;6;1057622;280;162.0;computação e tecnologias da informação e comunicação (tic);2.14
125;faculdade camaqüense de ciências contábeis e administrativas;administração;4;9449;208;137.0;negócios, administração e direito;1.92
126;faculdade camaqüense de ciências contábeis e administrativas;ciências contábeis;5;9450;120;37.0;negócios, administração e direito;4.17
127;faculdade camaqüense de ciências contábeis e administrativas;educação física;9;1135235;288;153.0;saúde e bem-estar;3.12
128;faculdade cnec farroupilha;administração;6;14943;264;117.0;negócios, administração e direito;2.27
129;faculdade cnec farroupilha;direito;6;96000;240;75.0;negócios, administração e direito;2.5
130;faculdade cnec farroupilha;engenharia de produção;2;1203246;152;50.0;engenharia, produção e construção;1.32
131;faculdade cnec farroupilha;gestão de recursos humanos;2;1192717;88;26.0;negócios, administração e direito;2.27
132;faculdade cnec farroupilha;pedagogia;2;100474;136;25.0;educação;1.47
133;faculdade cnec farroupilha;processos gerenciais;2;1192718;184;69.0;negócios, administração e direito;1.09
134;faculdade cnec gravataí;administração;36;54552;1096;433.0;negócios, administração e direito;3.28
135;faculdade cnec gravataí;ciências contábeis;3;98054;424;159.0;negócios, administração e direito;0.71
136;faculdade cnec gravataí;direito;3;104396;720;263.0;negócios, administração e direito;0.42
137;faculdade cnec gravataí;gestão comercial;1;1199661;144;86.0;negócios, administração e direito;0.69
138;faculdade cnec gravataí;gestão de produção industrial;1;1200061;224;121.0;negócios, administração e direito;0.45
139;faculdade cnec gravataí;logística;1;1200060;192;108.0;negócios, administração e direito;0.52
140;faculdade de direito de santa maria;ciências contábeis;20;1161122;528;232.0;negócios, administração e direito;3.79
141;faculdade de direito de santa maria;direito;34;67110;2192;907.0;negócios, administração e direito;1.55
142;faculdade de integração do ensino superior do cone sul;administração;4;69253;392;197.0;negócios, administração e direito;1.02
143;faculdade de integração do ensino superior do cone sul;ciências contábeis;4;119536;232;86.0;negócios, administração e direito;1.72
144;faculdade de integração do ensino superior do cone sul;gestão comercial;6;118598;280;80.0;negócios, administração e direito;2.14
145;faculdade de integração do ensino superior do cone sul;gestão de recursos humanos;4;118600;304;69.0;negócios, administração e direito;1.32
146;faculdade de tecnologia da serra gaúcha - caxias do sul;análise e desenvolvimento de sistemas;1;1138872;168;106.0;computação e tecnologias da informação e comunicação (tic);0.6
147;faculdade de tecnologia la salle - estrela;administração;3;1121670;136;81.0;negócios, administração e direito;2.21
148;faculdade de tecnologia la salle - estrela;agronegócio;3;1045356;104;33.0;agricultura, silvicultura, pesca e veterinária;2.88
149;faculdade de tecnologia la salle - estrela;gestão ambiental;6;1122119;56;13.0;engenharia, produção e construção;10.71
150;faculdade de tecnologia la salle - estrela;gestão financeira;5;1122127;80;20.0;negócios, administração e direito;6.25
151;faculdade de tecnologia la salle - estrela;processos gerenciais;2;1122128;96;26.0;negócios, administração e direito;2.08
152;faculdade dom alberto;administração;21;67267;1280;653.0;negócios, administração e direito;1.64
153;faculdade dom alberto;ciências contábeis;13;67270;696;280.0;negócios, administração e direito;1.87
154;faculdade dom alberto;direito;8;89321;1224;537.0;negócios, administração e direito;0.65
155;faculdade dom bosco de porto alegre;administração;2;57908;176;31.0;negócios, administração e direito;1.14
156;faculdade dom bosco de porto alegre;ciências contábeis;3;59091;200;59.0;negócios, administração e direito;1.5
157;faculdade dom bosco de porto alegre;direito;9;106816;552;86.0;negócios, administração e direito;1.63
158;faculdade dom bosco de porto alegre;engenharia ambiental e sanitária;5;86449;264;64.0;engenharia, produção e construção;1.89
159;faculdade dom bosco de porto alegre;sistemas de informação;3;57906;136;28.0;computação e tecnologias da informação e comunicação (tic);2.21
160;faculdade especializada na área de saúde do rio grande do sul;odontologia;11;1024230;1128;102.0;saúde e bem-estar;0.98
161;faculdade estácio do rio grande do sul - estácio fargs;administração;7;17316;2200;1136.0;negócios, administração e direito;0.32
162;faculdade estácio do rio grande do sul - estácio fargs;ciências contábeis;2;17315;480;247.0;negócios, administração e direito;0.42
163;faculdade estácio do rio grande do sul - estácio fargs;direito;23;57396;3744;1600.0;negócios, administração e direito;0.61
164;faculdade estácio do rio grande do sul - estácio fargs;gestão financeira;1;1114158;48;31.0;negócios, administração e direito;2.08
165;faculdade horizontina;ciências econômicas;3;81867;384;216.0;ciências sociais, comunicação e informação;0.78
166;faculdade horizontina;engenharia de produção;3;74249;544;270.0;engenharia, produção e construção;0.55
167;faculdade horizontina;engenharia mecânica;8;48113;528;237.0;engenharia, produção e construção;1.52
168;faculdade integrada de santa maria;administração;18;67609;856;423.0;negócios, administração e direito;2.1
169;faculdade integrada de santa maria;enfermagem;17;67569;1384;567.0;saúde e bem-estar;1.23
170;faculdade integrada de santa maria;psicologia;30;96094;1424;573.0;ciências sociais, comunicação e informação;2.11
171;faculdade la salle - caxias;processos gerenciais;10;1076060;200;162.0;negócios, administração e direito;5.0
172;faculdade meridional;arquitetura e urbanismo;22;122796;2264;797.0;engenharia, produção e construção;0.97
173;faculdade meridional;direito;16;80299;2544;1044.0;negócios, administração e direito;0.63
174;faculdade meridional;engenharia civil;17;1153354;1896;840.0;engenharia, produção e construção;0.9
175;faculdade meridional;odontologia;11;122802;728;215.0;saúde e bem-estar;1.51
176;faculdade meridional;psicologia;21;98065;1984;746.0;ciências sociais, comunicação e informação;1.06
177;faculdade meridional;sistema de informação;1;96855;472;235.0;computação e tecnologias da informação e comunicação (tic);0.21
178;faculdade monteiro lobato;ciências contábeis;2;68358;304;118.0;negócios, administração e direito;0.66
179;faculdade nossa senhora de fátima;administração;6;67645;352;239.0;negócios, administração e direito;1.7
180;faculdade nossa senhora de fátima;enfermagem;18;67647;704;367.0;saúde e bem-estar;2.56
181;faculdade nossa senhora de fátima;fonoaudiologia;8;81068;232;138.0;saúde e bem-estar;3.45
182;faculdade nossa senhora de fátima;nutrição;7;80824;192;77.0;saúde e bem-estar;3.65
183;faculdade novo hamburgo;administração;14;101454;264;91.0;negócios, administração e direito;5.3
184;faculdade novo hamburgo;psicologia;7;1077039;264;102.0;ciências sociais, comunicação e informação;2.65
185;faculdade novo hamburgo;redes de computadores;8;119946;120;44.0;computação e tecnologias da informação e comunicação (tic);6.67
186;faculdade são francisco de assis;administração;10;67774;816;460.0;negócios, administração e direito;1.23
187;faculdade são francisco de assis;arquitetura e urbanismo;2;1060058;456;273.0;engenharia, produção e construção;0.44
188;faculdade são francisco de assis;ciência da computação;3;1134546;408;251.0;computação e tecnologias da informação e comunicação (tic);0.74
189;faculdade são francisco de assis;ciências contábeis;3;67776;568;308.0;negócios, administração e direito;0.53
190;faculdade são francisco de assis;direito;6;5000865;584;306.0;negócios, administração e direito;1.03
191;faculdade são francisco de assis;psicologia;7;1053146;560;292.0;ciências sociais, comunicação e informação;1.25
192;faculdade três de maio;administração;4;6741;552;214.0;negócios, administração e direito;0.72
193;faculdade três de maio;agronomia;4;119212;448;91.0;agricultura, silvicultura, pesca e veterinária;0.89
194;faculdade três de maio;design de moda;2;1077618;64;12.0;artes e humanidades;3.12
195;faculdade três de maio;enfermagem;6;45559;384;85.0;saúde e bem-estar;1.56
196;faculdade três de maio;engenharia de produção;5;68980;424;206.0;engenharia, produção e construção;1.18
197;faculdade três de maio;pedagogia;2;32470;160;52.0;educação;1.25
198;faculdade três de maio;psicologia;3;104028;248;48.0;ciências sociais, comunicação e informação;1.21
199;faculdade três de maio;redes de computadores;2;72485;144;73.0;computação e tecnologias da informação e comunicação (tic);1.39
200;faculdade três de maio;sistemas de informação;2;20130;120;59.0;computação e tecnologias da informação e comunicação (tic);1.67
201;faculdades est;musicoterapia;3;54911;144;89.0;saúde e bem-estar;2.08
202;faculdades est;música;6;1073438;368;246.0;educação;1.63
203;faculdades est;teologia;4;20484;736;166.0;artes e humanidades;0.54
204;faculdades integradas machado de assis;administração;19;18732;816;341.0;negócios, administração e direito;2.33
205;faculdades integradas machado de assis;ciências contábeis;22;8901;728;229.0;negócios, administração e direito;3.02
206;faculdades integradas machado de assis;direito;28;96010;824;213.0;negócios, administração e direito;3.4
207;faculdades integradas machado de assis;gestão da tecnologia da informação;4;1101105;168;66.0;computação e tecnologias da informação e comunicação (tic);2.38
208;faculdades integradas machado de assis;gestão de recursos humanos;6;1101106;384;132.0;negócios, administração e direito;1.56
209;instituto superior de educação ivoti;letras - língua portuguesa;1;1179778;64;45.0;educação;1.56
210;instituto superior de educação ivoti;letras - português e alemão;3;1158381;128;41.0;educação;2.34
211;instituto superior de educação ivoti;música;2;1100369;176;81.0;educação;1.14
212;instituto superior de educação ivoti;pedagogia;4;119032;296;124.0;educação;1.35
213;instituto superior de filosofia berthier;filosofia;6;74493;256;116.0;artes e humanidades;2.34
214;pontifícia universidade católica do rio grande do sul;ciências aeronáuticas;3;1923;496;110.0;serviços;0.6
215;pontifícia universidade católica do rio grande do sul;direito;16;1888;7272;1677.0;negócios, administração e direito;0.22
216;pontifícia universidade católica do rio grande do sul;engenharia de computação;4;56702;784;489.0;computação e tecnologias da informação e comunicação (tic);0.51
217;pontifícia universidade católica do rio grande do sul;engenharia de controle e automação;5;1925;560;281.0;engenharia, produção e construção;0.89
218;pontifícia universidade católica do rio grande do sul;engenharia de produção;2;64746;1144;376.0;engenharia, produção e construção;0.17
219;pontifícia universidade católica do rio grande do sul;engenharia química;6;1915;848;365.0;engenharia, produção e construção;0.71
220;pontifícia universidade católica do rio grande do sul;história;3;102728;1104;348.0;educação;0.27
221;pontifícia universidade católica do rio grande do sul;jornalismo;1;27508;1248;290.0;ciências sociais, comunicação e informação;0.08
222;pontifícia universidade católica do rio grande do sul;matemática;1;1907;272;136.0;educação;0.37
223;pontifícia universidade católica do rio grande do sul;medicina;7;1879;624;15.0;saúde e bem-estar;1.12
224;pontifícia universidade católica do rio grande do sul;odontologia;7;1883;608;74.0;saúde e bem-estar;1.15
225;pontifícia universidade católica do rio grande do sul;produção audiovisual;3;73235;440;96.0;artes e humanidades;0.68
226;pontifícia universidade católica do rio grande do sul;psicologia;13;1903;2760;598.0;ciências sociais, comunicação e informação;0.47
227;pontifícia universidade católica do rio grande do sul;teologia;4;1880;280;70.0;artes e humanidades;1.43
228;universidade católica de pelotas;administração;63;1517;664;221.0;negócios, administração e direito;9.49
229;universidade católica de pelotas;arquitetura e urbanismo;22;1534;664;201.0;engenharia, produção e construção;3.31
230;universidade católica de pelotas;ciências contábeis;30;1523;416;105.0;negócios, administração e direito;7.21
231;universidade católica de pelotas;comunicação social - publicidade e propaganda;19;49996;280;114.0;negócios, administração e direito;6.79
232;universidade católica de pelotas;design de moda;32;103186;248;91.0;artes e humanidades;12.9
233;universidade católica de pelotas;direito;80;1531;1944;633.0;negócios, administração e direito;4.12
234;universidade católica de pelotas;enfermagem;44;89467;392;150.0;saúde e bem-estar;11.22
235;universidade católica de pelotas;engenharia civil;25;1511;840;336.0;engenharia, produção e construção;2.98
236;universidade católica de pelotas;engenharia elétrica;29;1512;336;161.0;engenharia, produção e construção;8.63
237;universidade católica de pelotas;farmácia;20;90207;440;117.0;saúde e bem-estar;4.55
238;universidade católica de pelotas;filosofia;26;1513;192;118.0;educação;13.54
239;universidade católica de pelotas;fisioterapia;30;64838;480;143.0;saúde e bem-estar;6.25
240;universidade católica de pelotas;jornalismo;15;49991;288;78.0;ciências sociais, comunicação e informação;5.21
241;universidade católica de pelotas;letras - língua portuguesa;35;45497;296;98.0;educação;11.82
242;universidade católica de pelotas;medicina;10;1518;752;47.0;saúde e bem-estar;1.33
243;universidade católica de pelotas;pedagogia;38;1515;376;84.0;educação;10.11
244;universidade católica de pelotas;produção fonográfica;22;110309;384;154.0;artes e humanidades;5.73
245;universidade católica de pelotas;psicologia;26;1516;768;292.0;ciências sociais, comunicação e informação;3.39
246;universidade católica de pelotas;serviço social;36;1526;328;98.0;saúde e bem-estar;10.98
247;universidade de caxias do sul;administração;198;31041;8544;2967.0;negócios, administração e direito;2.32
248;universidade de caxias do sul;agronomia;33;88562;1248;312.0;agricultura, silvicultura, pesca e veterinária;2.64
249;universidade de caxias do sul;análise e desenvolvimento de sistemas;1;1190154;256;86.0;computação e tecnologias da informação e comunicação (tic);0.39
250;universidade de caxias do sul;arquitetura e urbanismo;53;1140;2264;930.0;engenharia, produção e construção;2.34
251;universidade de caxias do sul;artes visuais;22;112356;408;145.0;educação;5.39
252;universidade de caxias do sul;automação industrial;9;1127914;304;141.0;engenharia, produção e construção;2.96
253;universidade de caxias do sul;ciência da computação;16;1110;1000;458.0;computação e tecnologias da informação e comunicação (tic);1.6
254;universidade de caxias do sul;ciências biológicas;56;1109;888;338.0;educação;6.31
255;universidade de caxias do sul;ciências contábeis;102;1103;3168;854.0;negócios, administração e direito;3.22
256;universidade de caxias do sul;ciências econômicas;9;1104;744;197.0;ciências sociais, comunicação e informação;1.21
257;universidade de caxias do sul;comunicação social - publicidade e propaganda;14;24299;808;312.0;negócios, administração e direito;1.73
258;universidade de caxias do sul;comércio internacional;27;106910;1456;428.0;negócios, administração e direito;1.85
259;universidade de caxias do sul;design;22;1105331;1032;419.0;artes e humanidades;2.13
260;universidade de caxias do sul;design de interiores;13;1268886;360;167.0;artes e humanidades;3.61
261;universidade de caxias do sul;design de moda;7;121110;560;177.0;artes e humanidades;1.25
262;universidade de caxias do sul;direito;169;1101;9496;2694.0;negócios, administração e direito;1.78
263;universidade de caxias do sul;educação física;99;66129;2760;998.0;educação;3.59
264;universidade de caxias do sul;enfermagem;19;45693;528;183.0;saúde e bem-estar;3.6
265;universidade de caxias do sul;engenharia ambiental;12;40404;528;264.0;engenharia, produção e construção;2.27
266;universidade de caxias do sul;engenharia automotiva;11;1264481;440;206.0;engenharia, produção e construção;2.5
267;universidade de caxias do sul;engenharia civil;48;1105330;2776;971.0;engenharia, produção e construção;1.73
268;universidade de caxias do sul;engenharia de alimentos;1;50304;72;25.0;engenharia, produção e construção;1.39
269;universidade de caxias do sul;engenharia de computação;12;1264482;432;226.0;engenharia, produção e construção;2.78
270;universidade de caxias do sul;engenharia de controle e automação;7;98118;568;259.0;engenharia, produção e construção;1.23
271;universidade de caxias do sul;engenharia de produção;37;40405;2088;979.0;engenharia, produção e construção;1.77
272;universidade de caxias do sul;engenharia eletrônica;13;1115910;288;118.0;engenharia, produção e construção;4.51
273;universidade de caxias do sul;engenharia elétrica;28;57706;1104;500.0;engenharia, produção e construção;2.54
274;universidade de caxias do sul;engenharia mecânica;62;22642;3640;1254.0;engenharia, produção e construção;1.7
275;universidade de caxias do sul;engenharia química;17;26065;768;240.0;engenharia, produção e construção;2.21
276;universidade de caxias do sul;estética e cosmética;17;1264523;520;193.0;serviços;3.27
277;universidade de caxias do sul;farmácia;19;70604;416;140.0;saúde e bem-estar;4.57
278;universidade de caxias do sul;fisioterapia;19;50302;768;257.0;saúde e bem-estar;2.47
279;universidade de caxias do sul;fotografia;14;1116795;656;255.0;artes e humanidades;2.13
280;universidade de caxias do sul;gastronomia;17;1172253;568;185.0;serviços;2.99
281;universidade de caxias do sul;gestão comercial;11;1116798;512;200.0;negócios, administração e direito;2.15
282;universidade de caxias do sul;gestão da qualidade;15;1153962;520;178.0;negócios, administração e direito;2.88
283;universidade de caxias do sul;gestão de recursos humanos;29;1115906;1056;319.0;negócios, administração e direito;2.75
284;universidade de caxias do sul;história;25;1095;736;212.0;educação;3.4
285;universidade de caxias do sul;letras - inglês;1;29730;288;98.0;educação;0.35
286;universidade de caxias do sul;letras - língua portuguesa;60;25674;488;173.0;educação;12.3
287;universidade de caxias do sul;marketing;15;1117530;528;130.0;negócios, administração e direito;2.84
288;universidade de caxias do sul;matemática;21;1112;376;230.0;educação;5.59
289;universidade de caxias do sul;medicina;9;1107;872;64.0;saúde e bem-estar;1.03
