;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
0;centro universitário da serra gaúcha;administração;50;111340;4912;2305.0;negócios, administração e direito;1.02
1;centro universitário da serra gaúcha;arquitetura e urbanismo;5;5000224;1488;894.0;engenharia, produção e construção;0.34
2;centro universitário da serra gaúcha;biomedicina;3;5000225;1304;994.0;saúde e bem-estar;0.23
3;centro universitário da serra gaúcha;ciências contábeis;6;87550;920;560.0;negócios, administração e direito;0.65
4;centro universitário da serra gaúcha;design;3;95914;1088;713.0;artes e humanidades;0.28
5;centro universitário da serra gaúcha;direito;7;67977;1848;872.0;negócios, administração e direito;0.38
6;centro universitário da serra gaúcha;educação física;7;50265;1408;836.0;educação;0.5
7;centro universitário da serra gaúcha;enfermagem;3;5000228;1024;512.0;saúde e bem-estar;0.29
8;centro universitário da serra gaúcha;engenharia civil;5;1060234;1072;700.0;engenharia, produção e construção;0.47
9;centro universitário da serra gaúcha;engenharia de produção;6;1059809;944;648.0;engenharia, produção e construção;0.64
10;centro universitário da serra gaúcha;fisioterapia;2;75671;904;449.0;saúde e bem-estar;0.22
11;centro universitário da serra gaúcha;nutrição;6;1130277;768;427.0;saúde e bem-estar;0.78
12;centro universitário da serra gaúcha;odontologia;2;1122568;760;476.0;saúde e bem-estar;0.26
13;centro universitário da serra gaúcha;psicologia;6;81050;1960;850.0;ciências sociais, comunicação e informação;0.31
14;centro universitário metodista;administração;35;74816;984;170.0;negócios, administração e direito;3.56
15;centro universitário metodista;arquitetura e urbanismo;24;91286;752;228.0;engenharia, produção e construção;3.19
16;centro universitário metodista;biomedicina;22;75703;496;91.0;saúde e bem-estar;4.44
17;centro universitário metodista;ciências contábeis;47;75715;624;102.0;negócios, administração e direito;7.53
18;centro universitário metodista;comunicação social - publicidade e propaganda;27;75726;448;87.0;negócios, administração e direito;6.03
19;centro universitário metodista;design de interiores;6;115698;616;95.0;artes e humanidades;0.97
20;centro universitário metodista;direito;66;56442;1456;268.0;negócios, administração e direito;4.53
21;centro universitário metodista;educação física;63;83938;2176;486.0;saúde e bem-estar;2.9
22;centro universitário metodista;enfermagem;24;75705;848;99.0;saúde e bem-estar;2.83
23;centro universitário metodista;engenharia civil;21;91288;848;201.0;engenharia, produção e construção;2.48
24;centro universitário metodista;engenharia de produção;36;91290;512;111.0;engenharia, produção e construção;7.03
25;centro universitário metodista;farmácia;20;75717;312;90.0;saúde e bem-estar;6.41
26;centro universitário metodista;fisioterapia;69;9018;1488;340.0;saúde e bem-estar;4.64
27;centro universitário metodista;fonoaudiologia;12;15763;200;22.0;saúde e bem-estar;6.0
28;centro universitário metodista;jornalismo;25;87977;328;52.0;ciências sociais, comunicação e informação;7.62
29;centro universitário metodista;música;43;83945;1032;257.0;educação;4.17
30;centro universitário metodista;nutrição;25;15762;608;99.0;saúde e bem-estar;4.11
31;centro universitário metodista;pedagogia;38;75724;536;141.0;educação;7.09
32;centro universitário metodista;psicologia;51;110300;1200;227.0;ciências sociais, comunicação e informação;4.25
33;centro universitário metodista;serviço social;27;75728;304;82.0;saúde e bem-estar;8.88
34;centro universitário metodista;turismo;26;21309;328;77.0;serviços;7.93
35;centro universitário ritter dos reis;administração;36;8548;5632;2328.0;negócios, administração e direito;0.64
36;centro universitário ritter dos reis;análise e desenvolvimento de sistemas;6;103549;968;418.0;computação e tecnologias da informação e comunicação (tic);0.62
37;centro universitário ritter dos reis;arquitetura e urbanismo;28;9264;3728;1508.0;engenharia, produção e construção;0.75
38;centro universitário ritter dos reis;biomedicina;15;1166231;864;368.0;saúde e bem-estar;1.74
39;centro universitário ritter dos reis;ciência da computação;11;1190311;608;299.0;computação e tecnologias da informação e comunicação (tic);1.81
40;centro universitário ritter dos reis;ciências contábeis;6;8550;1848;681.0;negócios, administração e direito;0.32
41;centro universitário ritter dos reis;comunicação social - relações públicas;4;1266268;920;425.0;negócios, administração e direito;0.43
42;centro universitário ritter dos reis;design de moda;8;103554;944;241.0;artes e humanidades;0.85
43;centro universitário ritter dos reis;design de produto;2;50868;304;48.0;artes e humanidades;0.66
44;centro universitário ritter dos reis;design gráfico;3;50867;688;145.0;artes e humanidades;0.44
45;centro universitário ritter dos reis;direito;48;9263;11200;3682.0;negócios, administração e direito;0.43
46;centro universitário ritter dos reis;enfermagem;13;1183600;1992;591.0;saúde e bem-estar;0.65
47;centro universitário ritter dos reis;engenharia ambiental e sanitária;5;1190230;512;228.0;engenharia, produção e construção;0.98
48;centro universitário ritter dos reis;engenharia civil;27;1130130;3944;1405.0;engenharia, produção e construção;0.68
49;centro universitário ritter dos reis;engenharia de controle e automação;4;1266136;320;244.0;engenharia, produção e construção;1.25
50;centro universitário ritter dos reis;engenharia de produção;4;1169140;728;404.0;engenharia, produção e construção;0.55
51;centro universitário ritter dos reis;engenharia elétrica;4;1214340;720;250.0;engenharia, produção e construção;0.56
52;centro universitário ritter dos reis;engenharia mecânica;8;1169139;1632;732.0;engenharia, produção e construção;0.49
53;centro universitário ritter dos reis;engenharia química;2;1214341;344;172.0;engenharia, produção e construção;0.58
54;centro universitário ritter dos reis;farmácia;4;1183641;632;237.0;saúde e bem-estar;0.63
55;centro universitário ritter dos reis;fisioterapia;9;1166454;1144;533.0;saúde e bem-estar;0.79
56;centro universitário ritter dos reis;gestão de recursos humanos;7;1159862;584;249.0;negócios, administração e direito;1.2
57;centro universitário ritter dos reis;jogos digitais;7;1183656;1024;457.0;computação e tecnologias da informação e comunicação (tic);0.68
58;centro universitário ritter dos reis;jornalismo;9;1168946;1312;520.0;ciências sociais, comunicação e informação;0.69
59;centro universitário ritter dos reis;marketing;5;1160601;392;180.0;negócios, administração e direito;1.28
