;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
1190;centro universitário metodista izabela hendrix;109714;ciências contábeis;23;68;33.82;52,9
1191;centro universitário metodista izabela hendrix;99316;direito;17;196;8.67;53,1
1192;centro universitário metodista izabela hendrix;101302;educação física;18;108;16.67;52,8
1193;centro universitário metodista izabela hendrix;64559;enfermagem;34;138;24.64;55,3
1194;centro universitário metodista izabela hendrix;118646;engenharia ambiental e sanitária;20;94;21.28;47,9
1195;centro universitário metodista izabela hendrix;118650;engenharia civil;26;180;14.44;48,3
1196;centro universitário metodista izabela hendrix;118652;engenharia de produção;18;91;19.78;69,2
1197;centro universitário metodista izabela hendrix;53701;fisioterapia;20;71;28.17;58,7
1198;centro universitário metodista izabela hendrix;5781;fonoaudiologia;11;42;26.19;35,7
1199;centro universitário metodista izabela hendrix;109980;música;16;35;45.71;62,9
1200;centro universitário metodista izabela hendrix;64547;nutrição;8;25;32.0;56
1201;centro universitário metodista izabela hendrix;101298;pedagogia;1;48;2.08;65
1202;centro universitário metodista izabela hendrix;109744;publicidade e propaganda;2;11;18.18;63,6
1203;centro universitário metodista izabela hendrix;109718;serviço social;7;35;20.0;28,6
1204;centro universitário metodista izabela hendrix;121526;teologia;11;28;39.29;50
1205;centro universitário metropolitano de são paulo;9919;administração;44;196;22.45;55,6
1206;centro universitário metropolitano de são paulo;9927;ciências biológicas;11;56;19.64;96,4
1207;centro universitário metropolitano de são paulo;9920;ciências contábeis;21;109;19.27;53,2
1208;centro universitário metropolitano de são paulo;9922;direito;54;329;16.41;50,2
1209;centro universitário metropolitano de são paulo;9926;educação artística;4;15;26.67;40
1210;centro universitário metropolitano de são paulo;9923;educação física;23;99;23.23;94,3
1211;centro universitário metropolitano de são paulo;59770;geografia;5;17;29.41;64,7
1212;centro universitário metropolitano de são paulo;99065;gestão ambiental;9;21;42.86;47,6
1213;centro universitário metropolitano de são paulo;59768;história;13;21;61.9;47,6
1214;centro universitário metropolitano de são paulo;9924;matemática;7;16;43.75;50
1215;centro universitário metropolitano de são paulo;59052;pedagogia;21;105;20.0;54,3
1216;centro universitário metropolitano de são paulo;99061;sistema de informação;18;23;78.26;65,2
1217;centro universitário moura lacerda;5577;administração;4;216;1.85;63,4
1218;centro universitário moura lacerda;19000;agronomia;9;42;21.43;64,3
1219;centro universitário moura lacerda;18997;direito;9;146;6.16;64,4
1220;centro universitário moura lacerda;102657;educação física;9;115;7.83;20,7
1221;centro universitário moura lacerda;5584;engenharia civil;8;109;7.34;74,3
1222;centro universitário moura lacerda;27559;letras - português e inglês;3;25;12.0;56
1223;centro universitário moura lacerda;18995;medicina veterinária;1;21;4.76;76,2
1224;centro universitário moura lacerda;18994;moda;2;36;5.56;94,4
1225;centro universitário moura lacerda;5579;pedagogia;7;85;8.24;32,9
1226;centro universitário módulo;20711;arquitetura e urbanismo;6;52;11.54;55,8
1227;centro universitário módulo;56744;ciências biológicas;7;37;18.92;62,2
1228;centro universitário módulo;22001;direito;8;113;7.08;57,5
1229;centro universitário módulo;19984;educação física;1;76;1.32;75
1230;centro universitário módulo;106436;enfermagem;4;50;8.0;60
1231;centro universitário módulo;106438;engenharia de produção;5;37;13.51;62,2
1232;centro universitário módulo;106426;gestão de recursos humanos;6;50;12.0;54
1233;centro universitário módulo;119268;petróleo e gás;3;27;11.11;66,7
1234;centro universitário newton paiva;7581;administração;14;423;3.31;92,2
1235;centro universitário newton paiva;7582;ciências contábeis;2;112;1.79;67
1236;centro universitário newton paiva;7583;ciências econômicas;3;44;6.82;81,8
1237;centro universitário newton paiva;18983;direito;7;782;0.9;66,4
1238;centro universitário newton paiva;99200;enfermagem;10;147;6.8;63,9
1239;centro universitário newton paiva;123292;engenharia ambiental;10;133;7.52;60,2
1240;centro universitário newton paiva;116042;engenharia civil;36;465;7.74;58,5
1241;centro universitário newton paiva;121021;engenharia de produção;10;89;11.24;67,4
1242;centro universitário newton paiva;116048;engenharia elétrica;8;128;6.25;69,5
1243;centro universitário newton paiva;116044;engenharia mecânica;21;223;9.42;63,7
1244;centro universitário newton paiva;115776;estética e cosmética;9;103;8.74;62,1
1245;centro universitário newton paiva;18984;farmácia;9;152;5.92;62,5
1246;centro universitário newton paiva;20830;geografia;7;62;11.29;95,2
1247;centro universitário newton paiva;103096;gestão comercial;12;222;5.41;53,2
1248;centro universitário newton paiva;123304;gestão comercial - contact center;9;116;7.76;15,5
1249;centro universitário newton paiva;105496;gestão de recursos humanos;11;85;12.94;51,8
1250;centro universitário newton paiva;123288;gestão de turismo;4;55;7.27;52,7
1251;centro universitário newton paiva;109696;gestão financeira;5;104;4.81;48,1
1252;centro universitário newton paiva;100862;logística;6;79;7.59;46,8
1253;centro universitário newton paiva;123286;marketing;5;77;6.49;54,5
1254;centro universitário newton paiva;18985;nutrição;1;52;1.92;84,6
1255;centro universitário newton paiva;53314;odontologia;13;200;6.5;63
1256;centro universitário newton paiva;7588;psicologia;2;243;0.82;57,2
1257;centro universitário newton paiva;100864;secretariado;5;53;9.43;32,1
1258;centro universitário newton paiva;99198;sistemas de informação;7;128;5.47;57
1259;centro universitário nossa senhora do patrocínio;17864;administração;35;324;10.8;42,4
1260;centro universitário nossa senhora do patrocínio;17866;análise de sistemas;1;20;5.0;45
1261;centro universitário nossa senhora do patrocínio;97785;análise e desenvolvimento de sistemas;1;37;2.7;48,6
1262;centro universitário nossa senhora do patrocínio;20089;arquitetura e urbanismo;6;126;4.76;57,1
1263;centro universitário nossa senhora do patrocínio;113512;artes cênicas;2;9;22.22;100
1264;centro universitário nossa senhora do patrocínio;72401;biologia;5;60;8.33;45
1265;centro universitário nossa senhora do patrocínio;97794;cinema;3;27;11.11;44,4
1266;centro universitário nossa senhora do patrocínio;89064;ciência da computação;2;40;5.0;50
1267;centro universitário nossa senhora do patrocínio;17868;ciências contábeis;7;62;11.29;29
1268;centro universitário nossa senhora do patrocínio;89086;comunicação social;4;27;14.81;37
1269;centro universitário nossa senhora do patrocínio;35818;comunicação social - publicidade e propaganda;5;66;7.58;39,4
1270;centro universitário nossa senhora do patrocínio;97790;comunicação social - relações públicas;2;17;11.76;35,3
1271;centro universitário nossa senhora do patrocínio;106841;comércio exterior;5;52;9.62;15,4
1272;centro universitário nossa senhora do patrocínio;89208;decoração & design;6;42;14.29;33,3
1273;centro universitário nossa senhora do patrocínio;89183;design de moda;6;150;4.0;13,3
1274;centro universitário nossa senhora do patrocínio;48549;direito;23;213;10.8;46,9
1275;centro universitário nossa senhora do patrocínio;23225;educação artística;14;42;33.33;11,9
1276;centro universitário nossa senhora do patrocínio;18271;educação física;16;171;9.36;41
1277;centro universitário nossa senhora do patrocínio;72407;enfermagem;5;78;6.41;47,4
1278;centro universitário nossa senhora do patrocínio;115422;engenharia ambiental e sanitária;5;50;10.0;66
1279;centro universitário nossa senhora do patrocínio;19333;engenharia civil;8;108;7.41;50
1280;centro universitário nossa senhora do patrocínio;19332;engenharia de produção mecânica;19;131;14.5;61,1
1281;centro universitário nossa senhora do patrocínio;89157;engenharia elétrica;12;37;32.43;70,3
1282;centro universitário nossa senhora do patrocínio;89153;engenharia mecatrônica;9;135;6.67;74,8
1283;centro universitário nossa senhora do patrocínio;97791;eventos;1;27;3.7;22,2
1284;centro universitário nossa senhora do patrocínio;89088;farmácia;2;54;3.7;66,7
1285;centro universitário nossa senhora do patrocínio;18593;fisioterapia;9;61;14.75;34,4
1286;centro universitário nossa senhora do patrocínio;48367;fonoaudiologia;1;19;5.26;21,1
1287;centro universitário nossa senhora do patrocínio;97787;fotografia;5;94;5.32;19,1
1288;centro universitário nossa senhora do patrocínio;89060;gastronomia;16;335;4.78;7,5
1289;centro universitário nossa senhora do patrocínio;89164;gestão ambiental;3;123;2.44;7,3
1290;centro universitário nossa senhora do patrocínio;106845;gestão da qualidade;18;250;7.2;6,5
1291;centro universitário nossa senhora do patrocínio;89168;gestão de recursos humanos;5;205;2.44;8,8
1292;centro universitário nossa senhora do patrocínio;97783;gestão financeira;7;88;7.95;8
1293;centro universitário nossa senhora do patrocínio;115424;gestão pública;2;25;8.0;0
1294;centro universitário nossa senhora do patrocínio;5041;história;1;33;3.03;36,4
1295;centro universitário nossa senhora do patrocínio;89062;hotelaria;1;31;3.23;19,4
1296;centro universitário nossa senhora do patrocínio;97788;logística;39;276;14.13;10,9
1297;centro universitário nossa senhora do patrocínio;89172;marketing;4;65;6.15;16,9
1298;centro universitário nossa senhora do patrocínio;72403;matemática;2;19;10.53;26,3
1299;centro universitário nossa senhora do patrocínio;19304;nutrição;4;41;9.76;41,5
1300;centro universitário nossa senhora do patrocínio;35172;pedagogia;18;65;27.69;18,5
1301;centro universitário nossa senhora do patrocínio;106952;processos gerenciais;4;84;4.76;11,9
1302;centro universitário nossa senhora do patrocínio;123171;psicologia;18;152;11.84;45,4
1303;centro universitário nossa senhora do patrocínio;115428;redes de computadores;2;26;7.69;26,9
1304;centro universitário nossa senhora do patrocínio;48365;secretariado executivo;3;24;12.5;20,8
1305;centro universitário nossa senhora do patrocínio;1161077;segurança no trabalho;4;20;20.0;65
1306;centro universitário nossa senhora do patrocínio;97796;serviço social;2;28;7.14;42,9
1307;centro universitário nossa senhora do patrocínio;115376;sistemas para internet;5;28;17.86;10,7
1308;centro universitário padre anchieta;8046;administração;11;357;3.08;65,3
1309;centro universitário padre anchieta;8045;ciências contábeis;7;136;5.15;55,1
1310;centro universitário padre anchieta;8044;ciências econômicas;7;35;20.0;62,9
1311;centro universitário padre anchieta;97025;comunicação social - publicidade e propaganda;3;93;3.23;69,9
1312;centro universitário padre anchieta;97031;comércio exterior;5;59;8.47;42,4
1313;centro universitário padre anchieta;8037;direito;32;443;7.22;58,2
1314;centro universitário padre anchieta;88656;educação física;4;90;4.44;53,1
1315;centro universitário padre anchieta;88662;enfermagem;6;160;3.75;45,6
1316;centro universitário padre anchieta;97027;engenharia civil;14;259;5.41;56,4
1317;centro universitário padre anchieta;106494;engenharia de alimentos;4;40;10.0;50
1318;centro universitário padre anchieta;97029;engenharia de produção;38;297;12.79;54,9
1319;centro universitário padre anchieta;106496;engenharia eletrônica;3;85;3.53;63,5
1320;centro universitário padre anchieta;106492;engenharia química;16;186;8.6;57,5
1321;centro universitário padre anchieta;97023;farmácia;2;79;2.53;41,8
1322;centro universitário padre anchieta;88658;fisioterapia;9;115;7.83;58,3
1323;centro universitário padre anchieta;88668;gestão ambiental;2;59;3.39;40,7
1324;centro universitário padre anchieta;8040;letras - português e inglês;1;32;3.12;68,8
1325;centro universitário padre anchieta;97033;logística;3;236;1.27;55,1
1326;centro universitário padre anchieta;88676;marketing;1;57;1.75;59,6
1327;centro universitário padre anchieta;88660;nutrição;2;60;3.33;53,3
1328;centro universitário padre anchieta;8034;pedagogia;8;50;16.0;38
1329;centro universitário padre anchieta;88680;processos químicos;6;59;10.17;55,9
1330;centro universitário padre anchieta;33549;psicologia;2;93;2.15;49,5
1331;centro universitário padre anchieta;51022;sistemas de informação;11;72;15.28;70,8
1332;centro universitário para o desenvolvimento do alto vale do itajaí;3776;administração;30;269;11.15;75,4
1333;centro universitário para o desenvolvimento do alto vale do itajaí;3777;ciências contábeis;7;69;10.14;75,4
1334;centro universitário para o desenvolvimento do alto vale do itajaí;67670;ciências econômicas;6;55;10.91;83,6
1335;centro universitário para o desenvolvimento do alto vale do itajaí;20048;direito;4;245;1.63;75,4
1336;centro universitário para o desenvolvimento do alto vale do itajaí;84852;educação física;1;98;1.02;70,3
1337;centro universitário para o desenvolvimento do alto vale do itajaí;65771;enfermagem;1;17;5.88;100
1338;centro universitário para o desenvolvimento do alto vale do itajaí;57470;engenharia de produção;3;51;5.88;90,2
1339;centro universitário para o desenvolvimento do alto vale do itajaí;57440;jornalismo;3;9;33.33;100
1340;centro universitário para o desenvolvimento do alto vale do itajaí;96907;processos químicos;2;23;8.7;73,9
1341;centro universitário para o desenvolvimento do alto vale do itajaí;37895;psicologia;6;44;13.64;86,4
1342;centro universitário planalto do distrito federal - uniplan;121409;administração;9;115;7.83;72,2
1343;centro universitário planalto do distrito federal - uniplan;121413;arquitetura e urbanismo;8;174;4.6;79,3
1344;centro universitário planalto do distrito federal - uniplan;121431;design de interiores;6;229;2.62;54,1
1345;centro universitário planalto do distrito federal - uniplan;21142;direito;37;417;8.87;96
1346;centro universitário planalto do distrito federal - uniplan;121419;educação física;5;238;2.1;69,2
1347;centro universitário planalto do distrito federal - uniplan;121421;enfermagem;10;241;4.15;63,9
1348;centro universitário planalto do distrito federal - uniplan;121427;engenharia civil;10;431;2.32;72,9
1349;centro universitário planalto do distrito federal - uniplan;67423;gestão de recursos humanos;2;758;0.26;74,1
1350;centro universitário planalto do distrito federal - uniplan;21137;pedagogia;2;98;2.04;72,4
1351;centro universitário planalto do distrito federal - uniplan;121435;processos gerenciais;3;548;0.55;76,1
1352;centro universitário planalto do distrito federal - uniplan;68491;redes de computadores;4;114;3.51;61,4
1353;centro universitário salesiano de são paulo;17327;administração;37;705;5.25;58,9
1354;centro universitário salesiano de são paulo;17341;automação industrial;15;171;8.77;85,4
1355;centro universitário salesiano de são paulo;22065;ciência da computação;2;66;3.03;68,2
1356;centro universitário salesiano de são paulo;19353;ciências contábeis;5;83;6.02;36,1
1357;centro universitário salesiano de são paulo;30691;comunicação social;11;60;18.33;45
1358;centro universitário salesiano de são paulo;17365;direito;36;822;4.38;42,2
1359;centro universitário salesiano de são paulo;71913;engenharia ambiental;3;53;5.66;62,3
1360;centro universitário salesiano de são paulo;17337;engenharia de automação e controle;9;354;2.54;43,8
1361;centro universitário salesiano de são paulo;47295;engenharia elétrica;3;202;1.49;64,7
1362;centro universitário salesiano de são paulo;71915;moda;5;75;6.67;49,3
1363;centro universitário salesiano de são paulo;17329;pedagogia;10;298;3.36;34,6
1364;centro universitário salesiano de são paulo;17345;psicologia;10;185;5.41;57
1365;centro universitário salesiano de são paulo;17328;serviço social;6;51;11.76;43,1
1366;centro universitário salesiano de são paulo;68612;sistema de informação;6;82;7.32;72,2
1367;centro universitário salesiano de são paulo;108438;sistemas automotivos;1;54;1.85;87
1368;centro universitário salesiano de são paulo;74430;teologia;7;38;18.42;44,7
1369;centro universitário senac;86974;administração;12;225;5.33;56
1370;centro universitário senac;88314;audiovisual;17;99;17.17;45,5
1371;centro universitário senac;18818;ciência da computação;10;54;18.52;85,2
1372;centro universitário senac;87004;design;5;222;2.25;58,8
1373;centro universitário senac;86976;engenharia ambiental e sanitária;9;91;9.89;52,7
1374;centro universitário senac;118830;estética e cosmética;10;100;10.0;43
1375;centro universitário senac;18023;fotografia;17;107;15.89;68,2
1376;centro universitário senac;21841;gastronomia;70;600;11.67;29,3
1377;centro universitário senac;16931;hotelaria;36;209;17.22;53,5
1378;centro universitário senac;118836;jogos digitais;8;81;9.88;76,5
1379;centro universitário senac;118832;logística;5;81;6.17;54,3
1380;centro universitário senac;118838;nutrição;1;38;2.63;36,8
1381;centro universitário senac;18305;produção multimídia;11;119;9.24;52,9
1382;centro universitário senac;105286;redes de computadores;14;109;12.84;56
1383;centro universitário senac;86972;sistemas de informação;16;107;14.95;52,3
1384;centro universitário serra dos órgãos;92001;ciência da computação;11;51;21.57;62,7
1385;centro universitário serra dos órgãos;122090;ciências biológicas;17;117;14.53;100
1386;centro universitário serra dos órgãos;9808;enfermagem;3;62;4.84;54,8
1387;centro universitário serra dos órgãos;121543;engenharia ambiental e sanitária;11;57;19.3;63,2
1388;centro universitário serra dos órgãos;121541;engenharia de produção;8;98;8.16;74,5
1389;centro universitário serra dos órgãos;107550;farmácia;3;59;5.08;37,3
1390;centro universitário serra dos órgãos;50807;fisioterapia;5;57;8.77;57,9
1391;centro universitário serra dos órgãos;122092;matemática;13;31;41.94;48,4
1392;centro universitário serra dos órgãos;9805;medicina;27;203;13.3;50,2
1393;centro universitário serra dos órgãos;21548;medicina veterinária;8;61;13.11;60,7
1394;centro universitário serra dos órgãos;20732;odontologia;1;59;1.69;49,2
1395;centro universitário serra dos órgãos;18142;pedagogia;27;68;39.71;45,6
1396;centro universitário sociesc;80867;administração;1;72;1.39;63,9
1397;centro universitário sociesc;74432;arquitetura e urbanismo;8;131;6.11;57,3
1398;centro universitário sociesc;99602;ciências contábeis;5;69;7.25;66,2
1399;centro universitário sociesc;108804;design de produto;3;23;13.04;60,9
1400;centro universitário sociesc;104710;direito;7;160;4.38;52,8
1401;centro universitário sociesc;99600;engenharia civil;3;178;1.69;62,9
1402;centro universitário sociesc;74438;engenharia de controle e automação;2;37;5.41;70,3
1403;centro universitário sociesc;74440;engenharia de produção;7;151;4.64;80,8
1404;centro universitário sociesc;99521;engenharia elétrica;4;76;5.26;64,5
1405;centro universitário sociesc;74434;engenharia mecânica;10;206;4.85;78,2
1406;centro universitário sociesc;57880;fabricação mecânica;5;55;9.09;72,7
1407;centro universitário sociesc;82308;gestão da qualidade;2;64;3.12;67,2
1408;centro universitário sociesc;92984;pedagogia;2;27;7.41;55,6
1409;centro universitário sociesc;82306;processos gerenciais;65;1077;6.04;60
1410;centro universitário sociesc;41710;sistema de informação;3;61;4.92;76,7
1411;centro universitário sociesc;72044;sistemas para internet;3;25;12.0;84
1412;centro universitário são camilo;58316;administração;5;185;2.7;49,2
1413;centro universitário são camilo;112564;biomedicina;24;166;14.46;57,2
1414;centro universitário são camilo;16511;ciências biológicas;6;240;2.5;68,8
1415;centro universitário são camilo;16510;enfermagem;43;354;12.15;42,7
1416;centro universitário são camilo;21356;farmácia;7;109;6.42;52,3
1417;centro universitário são camilo;71819;filosofia;3;70;4.29;67,1
1418;centro universitário são camilo;19036;fisioterapia;20;181;11.05;38,9
1419;centro universitário são camilo;112562;gastronomia;15;79;18.99;41,8
1420;centro universitário são camilo;100958;medicina;6;96;6.25;15,6
1421;centro universitário são camilo;16508;nutrição;42;370;11.35;36
1422;centro universitário são camilo;16513;pedagogia;13;127;10.24;44,9
1423;centro universitário são camilo;99663;psicologia;5;116;4.31;47,4
1424;centro universitário são camilo;19038;radiologia;12;126;9.52;58,7
1425;centro universitário são camilo;19037;terapia ocupacional;6;86;6.98;39,5
1426;centro universitário são camilo - espírito santo;21167;ciências biológicas;26;72;36.11;0
1427;centro universitário são camilo - espírito santo;119152;ciências contábeis;3;53;5.66;18,9
1428;centro universitário são camilo - espírito santo;90788;direito;2;59;3.39;27,1
1429;centro universitário são camilo - espírito santo;123555;farmácia;6;91;6.59;33
1430;centro universitário são camilo - espírito santo;74251;fisioterapia;5;44;11.36;22,7
1431;centro universitário são camilo - espírito santo;21166;matemática;13;53;24.53;34
1432;centro universitário são camilo - espírito santo;119154;petróleo e gás;3;24;12.5;33,3
1433;centro universitário são camilo - espírito santo;100134;psicologia;10;88;11.36;17,4
1434;centro universitário são lucas;20698;administração;55;371;14.82;67,4
1435;centro universitário são lucas;52743;biomedicina;23;148;15.54;79,7
1436;centro universitário são lucas;47560;ciências biológicas;15;208;7.21;60,2
1437;centro universitário são lucas;74038;direito;13;203;6.4;68,5
1438;centro universitário são lucas;54924;fisioterapia;20;113;17.7;54,9
1439;centro universitário são lucas;50992;fonoaudiologia;11;89;12.36;62,9
1440;centro universitário são lucas;112868;hotelaria;3;30;10.0;36,7
1441;centro universitário são lucas;85652;medicina;15;117;12.82;41,9
1442;centro universitário são lucas;45877;nutrição;5;106;4.72;68,9
1443;centro universitário são lucas;57926;odontologia;15;100;15.0;38
1444;centro universitário tabosa de almeida;67291;biomedicina;4;47;8.51;36,2
1445;centro universitário tabosa de almeida;5275;direito;28;344;8.14;29,7
1446;centro universitário tabosa de almeida;67259;educação física;13;77;16.88;32,5
1447;centro universitário tabosa de almeida;89994;enfermagem;9;101;8.91;27,7
1448;centro universitário tabosa de almeida;89996;farmácia;5;55;9.09;21,8
1449;centro universitário tabosa de almeida;67261;fisioterapia;6;87;6.9;33,3
1450;centro universitário tabosa de almeida;5277;odontologia;2;48;4.17;12,5
1451;centro universitário teresa d'ávila;48812;administração;7;82;8.54;50
1452;centro universitário teresa d'ávila;101251;computação;2;16;12.5;50
1453;centro universitário teresa d'ávila;16534;design;1;36;2.78;41,7
1454;centro universitário teresa d'ávila;48810;enfermagem;13;69;18.84;37,7
1455;centro universitário teresa d'ávila;57376;pedagogia;4;49;8.16;26,5
1456;centro universitário tiradentes;92927;administração;7;88;7.95;81,8
1457;centro universitário tiradentes;107656;biomedicina;2;55;3.64;61,8
1458;centro universitário tiradentes;92929;ciências contábeis;1;36;2.78;63,9
1459;centro universitário tiradentes;104404;direito;17;320;5.31;62,2
1460;centro universitário tiradentes;101135;enfermagem;23;255;9.02;52,5
1461;centro universitário tiradentes;114604;fisioterapia;6;91;6.59;72,5
1462;centro universitário tiradentes;110242;gestão de recursos humanos;4;68;5.88;77,9
1463;centro universitário tiradentes;101900;psicologia;12;169;7.1;63,9
1464;centro universitário tiradentes;92925;serviço social;10;171;5.85;56,7
1465;centro universitário toledo;20648;administração;13;138;9.42;57,7
1466;centro universitário toledo;20649;ciências contábeis;5;49;10.2;51
1467;centro universitário toledo;114312;design de interiores;3;49;6.12;36,7
1468;centro universitário toledo;96753;design de moda;1;35;2.86;45,7
1469;centro universitário toledo;20642;direito;25;398;6.28;46,7
1470;centro universitário toledo;20647;educação física;4;109;3.67;47,1
1471;centro universitário toledo;20643;história;3;23;13.04;17,4
1472;centro universitário toledo;29295;jornalismo;2;37;5.41;51,4
1473;centro universitário toledo;96743;publicidade e propaganda;2;40;5.0;37,5
1474;centro universitário toledo;22066;sistemas de informação;2;50;4.0;64
1475;centro universitário una;7621;administração;37;537;6.89;60,3
1476;centro universitário una;72981;análise e desenvolvimento de sistemas;29;262;11.07;63,1
1477;centro universitário una;93392;arquitetura e urbanismo;9;104;8.65;69,2
1478;centro universitário una;7623;ciência econômica;7;53;13.21;67,9
1479;centro universitário una;83208;ciências biológicas;20;153;13.07;54,2
1480;centro universitário una;7620;ciências contábeis;7;129;5.43;63,6
1481;centro universitário una;72939;comunicação social - publicidade e propaganda;17;170;10.0;44,7
1482;centro universitário una;97869;design de interiores;10;64;15.62;46,9
1483;centro universitário una;107006;design de moda;6;73;8.22;57,5
1484;centro universitário una;89463;design gráfico;6;96;6.25;49
1485;centro universitário una;57588;direito;28;382;7.33;84,8
1486;centro universitário una;72933;enfermagem;43;239;17.99;48,1
1487;centro universitário una;111422;engenharia ambiental e sanitária;29;171;16.96;74,9
1488;centro universitário una;111424;engenharia civil;16;396;4.04;70,7
1489;centro universitário una;97751;engenharia de computação;6;72;8.33;83,3
1490;centro universitário una;97753;engenharia de controle e automação;22;139;15.83;74,1
1491;centro universitário una;88450;engenharia de produção;33;148;22.3;78,4
1492;centro universitário una;111426;engenharia elétrica;6;140;4.29;71,9
1493;centro universitário una;111428;engenharia mecânica;16;236;6.78;78
1494;centro universitário una;111430;engenharia química;22;162;13.58;70,4
1495;centro universitário una;111432;estética e cosmética;13;115;11.3;46,1
1496;centro universitário una;72935;farmácia;13;146;8.9;66,4
1497;centro universitário una;115760;gestão ambiental;16;195;8.21;70,9
1498;centro universitário una;92823;gestão comercial;16;130;12.31;39,2
1499;centro universitário una;97867;gestão da produção industrial;10;108;9.26;66,7
1500;centro universitário una;111418;gestão da qualidade;8;98;8.16;54,1
1501;centro universitário una;72953;gestão de recursos humanos;48;405;11.85;62
1502;centro universitário una;72957;gestão financeira;5;125;4.0;48
1503;centro universitário una;88470;gestão hospitalar;9;37;24.32;51,4
1504;centro universitário una;93401;história;8;23;34.78;69,6
1505;centro universitário una;72955;logística;46;235;19.57;63,3
1506;centro universitário una;102808;marketing;21;114;18.42;53,5
1507;centro universitário una;72929;moda;23;172;13.37;58,7
1508;centro universitário una;72931;nutrição;19;69;27.54;55,1
1509;centro universitário una;72947;pedagogia;26;147;17.69;55,1
1510;centro universitário una;115762;pilotagem profissional de aeronaves;14;123;11.38;68,3
1511;centro universitário una;72949;processos gerenciais;51;379;13.46;57
1512;centro universitário una;99847;psicologia;16;229;6.99;44,5
1513;centro universitário una;72983;redes de computadores;19;161;11.8;56,5
1514;centro universitário una;72938;relações públicas;10;74;13.51;52,7
1515;centro universitário una;93394;serviço social;40;208;19.23;57,4
1516;centro universitário una;53405;sistemas de informação;17;132;12.88;91,7
1517;centro universitário unifafibe;21285;administração;20;135;14.81;47,8
1518;centro universitário unifafibe;22004;ciências biológicas;7;73;9.59;31,3
1519;centro universitário unifafibe;21257;ciências contábeis;7;110;6.36;44,5
1520;centro universitário unifafibe;68903;direito;4;100;4.0;47
1521;centro universitário unifafibe;21231;educação física;3;108;2.78;58,2
1522;centro universitário unifafibe;47613;enfermagem;6;213;2.82;45,7
1523;centro universitário unifafibe;47615;fisioterapia;7;88;7.95;56,8
1524;centro universitário unifafibe;98676;letras - português e espanhol;2;10;20.0;70
1525;centro universitário unifafibe;25699;letras - português e inglês;1;12;8.33;66,7
1526;centro universitário unifafibe;4389;pedagogia;4;38;10.53;57,9
1527;centro universitário unifafibe;74426;psicologia;2;70;2.86;34,3
1528;centro universitário unifafibe;71305;sistema de informação;8;75;10.67;70,3
1529;centro universitário uniftec;60168;análise e desenvolvimento de sistemas;5;120;4.17;74,2
1530;centro universitário uniftec;110216;comunicação institucional;2;4;50.0;100
1531;centro universitário uniftec;101157;comércio exterior;6;47;12.77;61,7
1532;centro universitário uniftec;122384;design de produto;4;49;8.16;73,5
1533;centro universitário uniftec;119335;engenharia de computação;9;80;11.25;86,3
1534;centro universitário uniftec;119339;engenharia de produção;9;142;6.34;80,3
1535;centro universitário uniftec;104048;gestão comercial;1;85;1.18;76,5
1536;centro universitário uniftec;102103;gestão da qualidade;5;93;5.38;68,8
1537;centro universitário uniftec;75921;gestão da tecnologia da informação;2;55;3.64;61,8
1538;centro universitário uniftec;101151;gestão de recursos humanos;6;126;4.76;62,7
1539;centro universitário uniftec;101192;gestão financeira;2;56;3.57;75
1540;centro universitário uniftec;107984;logística;3;106;2.83;63,2
1541;centro universitário uniftec;101155;marketing;5;65;7.69;73,8
1542;centro universitário uniftec;75917;redes de computadores;6;67;8.96;71,6
1543;centro universitário álvares penteado;45365;administração;21;505;4.16;68,3
1544;centro universitário álvares penteado;5718;ciências contábeis;15;435;3.45;63,2
1545;centro universitário álvares penteado;5717;ciências econômicas;6;161;3.73;71,4
1546;centro universitário álvares penteado;34274;comunicação social - publicidade e propaganda;5;65;7.69;67,7
1547;centro universitário álvares penteado;72219;relações internacionais;5;34;14.71;55,9
1548;centro universitário álvares penteado;88622;relações públicas;7;66;10.61;63,6
1549;centro universitário álvares penteado;20366;secretariado executivo;3;25;12.0;56
1550;christus faculdade do piauí;88518;administração;13;34;38.24;35,3
1551;christus faculdade do piauí;88520;ciências contábeis;3;35;8.57;51,4
1552;christus faculdade do piauí;93601;direito;25;148;16.89;52
1553;christus faculdade do piauí;116816;enfermagem;15;59;25.42;23,7
1554;escola de educação física de assis;16308;educação física;4;59;6.78;40,7
1555;escola de enfermagem da fundação técnico educacional souza marques;28072;enfermagem;2;39;5.13;48,7
1556;escola de engenharia de agrimensura;8289;engenharia de agrimensura;5;60;8.33;79,7
1557;escola de engenharia kennedy;7632;engenharia civil;57;472;12.08;59,1
1558;escola de ensino superior fabra;51230;letras - inglês;3;50;6.0;58
1559;escola de ensino superior fabra;51229;pedagogia;15;173;8.67;15,6
1560;escola de ensino superior fabra;51233;sistemas de informação;4;23;17.39;65,2
1561;escola de estudos superiores de viçosa;99226;serviço social;9;41;21.95;51,2
1562;escola de medicina souza marques da fundação técnico-educacional souza marques;5345;medicina;27;435;6.21;32,6
1563;escola superior associada de goiânia;73472;administração;1;17;5.88;94,1
1564;escola superior associada de goiânia;89828;direito;3;83;3.61;63,9
