;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
566;centro universitário de rio preto;4679;medicina veterinária;14;191;7.33;25,2
567;centro universitário de rio preto;55412;moda;4;82;4.88;50
568;centro universitário de rio preto;19898;odontologia;13;71;18.31;50,7
569;centro universitário de sete lagoas;20151;administração;32;60;53.33;55
570;centro universitário de sete lagoas;100214;ciências biológicas;12;13;92.31;46,2
571;centro universitário de sete lagoas;46793;ciências contábeis;18;20;90.0;50
572;centro universitário de sete lagoas;4238;direito;72;85;84.71;38,8
573;centro universitário de sete lagoas;100212;educação física;10;36;27.78;33,3
574;centro universitário de sete lagoas;121344;enfermagem;5;16;31.25;37,5
575;centro universitário de sete lagoas;100363;engenharia ambiental;44;49;89.8;63,3
576;centro universitário de sete lagoas;108794;engenharia de produção mecânica;30;39;76.92;71,8
577;centro universitário de sete lagoas;121352;engenharia metalúrgica;6;10;60.0;80
578;centro universitário de sete lagoas;121356;gestão ambiental;5;17;29.41;17,6
579;centro universitário de sete lagoas;121354;gestão de recursos humanos;10;52;19.23;88,5
580;centro universitário de sete lagoas;115631;logística;7;8;87.5;75
581;centro universitário de sete lagoas;121348;nutrição;4;6;66.67;66,7
582;centro universitário de sete lagoas;4243;pedagogia;2;21;9.52;95,2
583;centro universitário de sete lagoas;111524;serviço social;3;16;18.75;43,8
584;centro universitário de votuporanga;20420;arquitetura e urbanismo;11;129;8.53;65,9
585;centro universitário de votuporanga;52831;ciências biológicas;2;49;4.08;57,1
586;centro universitário de votuporanga;5885;ciências contábeis;9;98;9.18;52
587;centro universitário de votuporanga;23283;comunicação social - publicidade e propaganda;3;32;9.38;71,9
588;centro universitário de votuporanga;19117;direito;30;257;11.67;52,1
589;centro universitário de votuporanga;20424;educação física;6;131;4.58;80,3
590;centro universitário de votuporanga;20419;enfermagem;31;95;32.63;50,5
591;centro universitário de votuporanga;20418;engenharia de computação;5;42;11.9;45,2
592;centro universitário de votuporanga;107304;engenharia eletrônica;5;45;11.11;77,8
593;centro universitário de votuporanga;115518;engenharia elétrica;6;64;9.38;81,3
594;centro universitário de votuporanga;115506;fabricação mecânica;3;40;7.5;70
595;centro universitário de votuporanga;20417;farmácia;47;159;29.56;55,3
596;centro universitário de votuporanga;20416;fisioterapia;16;57;28.07;66,7
597;centro universitário de votuporanga;122432;gastronomia;1;28;3.57;46,4
598;centro universitário de votuporanga;5883;geografia;2;43;4.65;53,5
599;centro universitário de votuporanga;103606;gestão comercial;1;17;5.88;41,2
600;centro universitário de votuporanga;103610;gestão da produção industrial;4;34;11.76;70,6
601;centro universitário de votuporanga;115496;gestão de recursos humanos;1;40;2.5;40
602;centro universitário de votuporanga;32899;jornalismo;3;20;15.0;60
603;centro universitário de votuporanga;32635;letras - português e inglês;3;24;12.5;70,8
604;centro universitário de votuporanga;103608;logística;2;23;8.7;56,5
605;centro universitário de votuporanga;52961;matemática;1;32;3.12;37,5
606;centro universitário de votuporanga;20421;nutrição;13;49;26.53;44,9
607;centro universitário de votuporanga;5882;pedagogia;3;140;2.14;50,4
608;centro universitário de votuporanga;97865;psicologia;9;57;15.79;63,2
609;centro universitário de votuporanga;52834;química;6;65;9.23;61,5
610;centro universitário de votuporanga;20422;serviço social;8;52;15.38;50
611;centro universitário de votuporanga;54890;sistema de informação;4;36;11.11;72,2
612;centro universitário de várzea grande;16946;administração;22;401;5.49;73,3
613;centro universitário de várzea grande;64734;análise e desenvolvimento de sistemas;3;72;4.17;93,1
614;centro universitário de várzea grande;20017;ciências biológicas;14;123;11.38;67,6
615;centro universitário de várzea grande;16945;ciências contábeis;8;258;3.1;68,6
616;centro universitário de várzea grande;17594;direito;19;1130;1.68;75,8
617;centro universitário de várzea grande;70338;enfermagem;12;357;3.36;49,9
618;centro universitário de várzea grande;102019;engenharia ambiental;3;214;1.4;80,8
619;centro universitário de várzea grande;102017;engenharia de alimentos;4;75;5.33;88
620;centro universitário de várzea grande;52216;fisioterapia;3;60;5.0;61,7
621;centro universitário de várzea grande;60582;fonoaudiologia;3;38;7.89;71,1
622;centro universitário de várzea grande;88161;gestão comercial;3;44;6.82;70,5
623;centro universitário de várzea grande;85066;gestão de recursos humanos;2;63;3.17;50,8
624;centro universitário de várzea grande;81301;gestão de segurança privada;1;22;4.55;50
625;centro universitário de várzea grande;64738;gestão pública;2;14;14.29;35,7
626;centro universitário de várzea grande;19969;letras - português e espanhol;6;14;42.86;92,9
627;centro universitário de várzea grande;52212;matemática;6;62;9.68;45,2
628;centro universitário de várzea grande;20016;odontologia;2;84;2.38;44
629;centro universitário de várzea grande;19594;pedagogia;22;112;19.64;51,8
630;centro universitário de várzea grande;63516;psicologia;10;123;8.13;50,4
631;centro universitário de várzea grande;122408;radiologia;2;171;1.17;62,6
632;centro universitário de várzea grande;101098;serviço social;20;324;6.17;46,7
633;centro universitário de várzea grande;19595;sistema de informação;1;87;1.15;78,2
634;centro universitário dinâmica das cataratas;48997;administração;7;252;2.78;73
635;centro universitário dinâmica das cataratas;107635;agronomia;4;88;4.55;77
636;centro universitário dinâmica das cataratas;20742;arquitetura e urbanismo;6;173;3.47;81,5
637;centro universitário dinâmica das cataratas;113122;ciências contábeis;5;64;7.81;62,5
638;centro universitário dinâmica das cataratas;34083;comunicação social - publicidade e propaganda;6;77;7.79;72,4
639;centro universitário dinâmica das cataratas;52904;direito;12;232;5.17;75
640;centro universitário dinâmica das cataratas;59013;engenharia ambiental;4;81;4.94;85,2
641;centro universitário dinâmica das cataratas;48995;engenharia civil;6;149;4.03;77,6
642;centro universitário dinâmica das cataratas;25329;jornalismo;8;31;25.81;67,7
643;centro universitário dinâmica das cataratas;52894;letras - português e inglês e respectivas literaturas;5;50;10.0;62
644;centro universitário dinâmica das cataratas;21489;pedagogia;7;161;4.35;43,9
645;centro universitário dinâmica das cataratas;22017;sistemas de informação;2;48;4.17;87,5
646;centro universitário dinâmica das cataratas;21742;turismo;1;36;2.78;63,9
647;centro universitário do cerrado-patrocínio;22009;administração;42;111;37.84;49,5
648;centro universitário do cerrado-patrocínio;97596;agronegócio;9;34;26.47;64,7
649;centro universitário do cerrado-patrocínio;89210;agronomia;12;54;22.22;64,8
650;centro universitário do cerrado-patrocínio;49000;ciências biológicas;3;49;6.12;51,7
651;centro universitário do cerrado-patrocínio;50789;ciências contábeis;16;53;30.19;41,5
652;centro universitário do cerrado-patrocínio;97598;design de interiores;2;5;40.0;100
653;centro universitário do cerrado-patrocínio;89212;educação física;9;48;18.75;46,2
654;centro universitário do cerrado-patrocínio;88298;enfermagem;13;41;31.71;39
655;centro universitário do cerrado-patrocínio;21218;fisioterapia;5;34;14.71;38,2
656;centro universitário do cerrado-patrocínio;97592;fonoaudiologia;2;5;40.0;100
657;centro universitário do cerrado-patrocínio;47118;matemática;4;7;57.14;100
658;centro universitário do cerrado-patrocínio;21217;pedagogia;16;44;36.36;36,4
659;centro universitário do cerrado-patrocínio;110296;psicologia;8;61;13.11;47,5
660;centro universitário do cerrado-patrocínio;89214;sistemas de informação;3;38;7.89;68,4
661;centro universitário do distrito federal;10484;administração;5;574;0.87;49,3
662;centro universitário do distrito federal;88382;ciência política;2;44;4.55;79,5
663;centro universitário do distrito federal;10483;ciências contábeis;1;327;0.31;40,4
664;centro universitário do distrito federal;10480;direito;35;764;4.58;70,7
665;centro universitário do distrito federal;1108569;engenharia civil;2;263;0.76;69,2
666;centro universitário do distrito federal;114381;eventos;1;55;1.82;58,2
667;centro universitário do distrito federal;114374;gestão pública;4;99;4.04;35,4
668;centro universitário do distrito federal;114379;jogos digitais;2;64;3.12;75
669;centro universitário do distrito federal;88378;relações internacionais;1;94;1.06;52,1
670;centro universitário do espírito santo;37882;administração;14;107;13.08;94,1
671;centro universitário do espírito santo;37886;análise e desenvolvimento de sistemas;2;29;6.9;65,5
672;centro universitário do espírito santo;37883;ciências contábeis;12;97;12.37;55,7
673;centro universitário do espírito santo;89284;design de moda;4;19;21.05;52,6
674;centro universitário do espírito santo;37884;direito;34;333;10.21;50
675;centro universitário do espírito santo;92734;educação física;6;161;3.73;60,8
676;centro universitário do espírito santo;51601;enfermagem;7;86;8.14;59,3
677;centro universitário do espírito santo;119684;farmácia;5;33;15.15;45,5
678;centro universitário do espírito santo;119686;fisioterapia;4;79;5.06;50,6
679;centro universitário do espírito santo;72663;medicina;14;129;10.85;27,9
680;centro universitário do espírito santo;119994;medicina veterinária;3;48;6.25;10,7
681;centro universitário do espírito santo;119690;nutrição;6;39;15.38;43,6
682;centro universitário do espírito santo;105374;pedagogia;1;43;2.33;34,9
683;centro universitário do espírito santo;51603;sistemas de informação;3;18;16.67;50
684;centro universitário do estado do pará;17563;administração;11;214;5.14;39,3
685;centro universitário do estado do pará;18250;ciência da computação;12;83;14.46;48,2
686;centro universitário do estado do pará;63942;ciências biológicas;5;32;15.62;62,5
687;centro universitário do estado do pará;39425;ciências contábeis;5;44;11.36;40,9
688;centro universitário do estado do pará;19598;direito;41;283;14.49;29,7
689;centro universitário do estado do pará;92284;enfermagem;3;62;4.84;38,7
690;centro universitário do estado do pará;99583;engenharia de produção;16;89;17.98;39,3
691;centro universitário do estado do pará;62191;farmácia;13;73;17.81;43,8
692;centro universitário do estado do pará;74092;fisioterapia;6;108;5.56;51,9
693;centro universitário do estado do pará;98506;medicina;6;107;5.61;14
694;centro universitário do estado do pará;55334;nutrição;10;75;13.33;54,7
695;centro universitário do estado do pará;18166;odontologia;4;82;4.88;17,1
696;centro universitário do estado do pará;55332;sistemas de informação;1;50;2.0;58
697;centro universitário do instituto de educação superior de brasília - iesb;37242;administração;47;928;5.06;60,3
698;centro universitário do instituto de educação superior de brasília - iesb;101318;ciência da computação;1;33;3.03;93,9
699;centro universitário do instituto de educação superior de brasília - iesb;102027;comunicação social - cinema e mídias digitais;7;87;8.05;73,6
700;centro universitário do instituto de educação superior de brasília - iesb;29661;comunicação social - jornalismo;3;117;2.56;58,1
701;centro universitário do instituto de educação superior de brasília - iesb;34972;comunicação social - publicidade e propaganda;13;265;4.91;66,8
702;centro universitário do instituto de educação superior de brasília - iesb;102111;design de interiores;8;144;5.56;50
703;centro universitário do instituto de educação superior de brasília - iesb;102113;design de moda;14;179;7.82;47,5
704;centro universitário do instituto de educação superior de brasília - iesb;37240;direito;10;762;1.31;53,4
705;centro universitário do instituto de educação superior de brasília - iesb;49970;engenharia de computação;5;103;4.85;85,4
706;centro universitário do instituto de educação superior de brasília - iesb;80653;engenharia elétrica;8;85;9.41;71,8
707;centro universitário do instituto de educação superior de brasília - iesb;115390;estética e cosmética;11;61;18.03;60,7
708;centro universitário do instituto de educação superior de brasília - iesb;100185;gastronomia;17;227;7.49;51,3
709;centro universitário do instituto de educação superior de brasília - iesb;102745;pedagogia;12;754;1.59;64,9
710;centro universitário do instituto de educação superior de brasília - iesb;65346;psicologia;8;335;2.39;60,7
711;centro universitário do instituto de educação superior de brasília - iesb;47077;relações internacionais;9;99;9.09;77,8
712;centro universitário do instituto de educação superior de brasília - iesb;37246;secretariado executivo;10;58;17.24;51,7
713;centro universitário do instituto de educação superior de brasília - iesb;20013;turismo;13;62;20.97;61,3
714;centro universitário do norte;85756;administração;233;1723;13.52;69,4
715;centro universitário do norte;72879;análise e desenvolvimento de sistemas;23;70;32.86;74,3
716;centro universitário do norte;20679;arquitetura e urbanismo;40;300;13.33;71
717;centro universitário do norte;106996;ciência da computação;31;298;10.4;83,2
718;centro universitário do norte;20676;ciências biológicas;25;326;7.67;77,3
719;centro universitário do norte;21741;ciências contábeis;71;717;9.9;55,4
720;centro universitário do norte;20675;ciências econômicas;10;69;14.49;62,3
721;centro universitário do norte;75101;computação;2;66;3.03;83,3
722;centro universitário do norte;48492;comunicação social;31;38;81.58;57,9
723;centro universitário do norte;107055;design gráfico;9;117;7.69;65
724;centro universitário do norte;21151;direito;32;555;5.77;59,3
725;centro universitário do norte;73248;educação física;18;429;4.2;62
726;centro universitário do norte;73259;enfermagem;95;771;12.32;53,7
727;centro universitário do norte;107004;engenharia civil;27;447;6.04;59,7
728;centro universitário do norte;107008;engenharia de produção;18;58;31.03;62,1
729;centro universitário do norte;107010;engenharia de produção mecânica;7;4;175.0;100
730;centro universitário do norte;116026;engenharia eletrônica;7;52;13.46;100
731;centro universitário do norte;115045;engenharia elétrica;17;150;11.33;62,7
732;centro universitário do norte;116028;engenharia mecânica;26;224;11.61;60,3
733;centro universitário do norte;92657;estética e cosmética;16;220;7.27;49,1
734;centro universitário do norte;75106;farmácia;47;461;10.2;44,5
735;centro universitário do norte;73250;fisioterapia;69;330;20.91;66,1
736;centro universitário do norte;73262;fonoaudiologia;23;145;15.86;56,6
737;centro universitário do norte;47055;geografia;5;53;9.43;64,2
738;centro universitário do norte;92649;gestão da qualidade;17;158;10.76;62
739;centro universitário do norte;37878;história;13;139;9.35;60,4
740;centro universitário do norte;46846;letras - inglês;36;297;12.12;67
741;centro universitário do norte;46845;letras - português;14;163;8.59;60,7
742;centro universitário do norte;107018;marketing;3;65;4.62;89,2
743;centro universitário do norte;75109;nutrição;28;198;14.14;60,6
744;centro universitário do norte;95047;odontologia;24;271;8.86;63,8
745;centro universitário do norte;41677;pedagogia;52;861;6.04;46,7
746;centro universitário do norte;115039;petróleo e gás;69;573;12.04;79,1
747;centro universitário do norte;34096;psicologia;44;400;11.0;66,3
748;centro universitário do norte;92643;redes de computadores;20;162;12.35;71,6
749;centro universitário do norte;20677;serviço social;100;765;13.07;59,6
750;centro universitário do norte;17570;turismo;23;248;9.27;75
751;centro universitário do norte paulista;4699;administração;27;286;9.44;62,6
752;centro universitário do norte paulista;121139;agronegócio;2;16;12.5;56,3
753;centro universitário do norte paulista;121153;análise e desenvolvimento de sistemas;2;46;4.35;97,8
754;centro universitário do norte paulista;4700;ciências contábeis;6;70;8.57;41,4
755;centro universitário do norte paulista;121125;design de interiores;1;8;12.5;37,5
756;centro universitário do norte paulista;121123;design gráfico;2;40;5.0;30
757;centro universitário do norte paulista;4701;direito;19;197;9.64;63,5
758;centro universitário do norte paulista;20348;educação física;22;268;8.21;54,1
759;centro universitário do norte paulista;121121;enfermagem;4;26;15.38;53,8
760;centro universitário do norte paulista;121115;engenharia civil;19;395;4.81;64,1
761;centro universitário do norte paulista;120414;engenharia de produção;6;108;5.56;65,7
762;centro universitário do norte paulista;121117;engenharia de segurança no trabalho;4;27;14.81;63
763;centro universitário do norte paulista;121147;engenharia elétrica;8;86;9.3;67,4
764;centro universitário do norte paulista;121119;engenharia química;11;86;12.79;59,3
765;centro universitário do norte paulista;121137;estética e cosmética;2;15;13.33;26,7
766;centro universitário do norte paulista;97317;gastronomia;3;70;4.29;87,5
767;centro universitário do norte paulista;121133;gestão ambiental;3;4;75.0;50
768;centro universitário do norte paulista;97521;gestão de recursos humanos;5;65;7.69;27,7
769;centro universitário do norte paulista;44868;letras - português e espanhol;6;32;18.75;50
770;centro universitário do norte paulista;121143;marketing;4;19;21.05;42,1
771;centro universitário do norte paulista;99857;odontologia;11;123;8.94;30,1
772;centro universitário do norte paulista;28035;psicologia;31;243;12.76;99,2
773;centro universitário do norte paulista;24304;publicidade e propaganda;4;22;18.18;77,3
774;centro universitário do norte paulista;70991;terapia ocupacional;3;22;13.64;45,5
775;centro universitário do rio grande do norte;19782;administração;18;84;21.43;58,3
776;centro universitário do rio grande do norte;19781;ciências contábeis;18;112;16.07;58
777;centro universitário do rio grande do norte;19783;direito;91;359;25.35;53,6
778;centro universitário do rio grande do norte;116370;educação física;32;169;18.93;52,1
779;centro universitário do rio grande do norte;87929;enfermagem;12;102;11.76;39,2
780;centro universitário do rio grande do norte;87931;fisioterapia;5;66;7.58;68,2
781;centro universitário do rio grande do norte;75094;nutrição;11;76;14.47;51,3
782;centro universitário do rio grande do norte;74902;psicologia;13;92;14.13;50
783;centro universitário do rio grande do norte;19780;sistema de informação;13;64;20.31;76,6
784;centro universitário do sul de minas;63344;administração;12;172;6.98;90
785;centro universitário do sul de minas;107462;análise e desenvolvimento de sistemas;5;43;11.63;97,7
786;centro universitário do sul de minas;63338;biomedicina;14;72;19.44;90,3
787;centro universitário do sul de minas;39407;ciência da computação;6;44;13.64;88,6
788;centro universitário do sul de minas;34373;comunicação social - publicidade e propaganda;4;58;6.9;86,2
789;centro universitário do sul de minas;2647;educação física;7;90;7.78;63,6
790;centro universitário do sul de minas;63342;enfermagem;3;48;6.25;81,3
791;centro universitário do sul de minas;63336;engenharia de produção;9;85;10.59;90,5
792;centro universitário do sul de minas;2656;engenharia mecânica;15;135;11.11;85,9
793;centro universitário do sul de minas;88194;gestão ambiental;3;37;8.11;86,5
794;centro universitário do sul de minas;107464;gestão de recursos humanos;7;37;18.92;83,8
795;centro universitário do sul de minas;88184;logística;2;52;3.85;96,2
796;centro universitário do sul de minas;51750;nutrição;4;54;7.41;92,6
797;centro universitário do sul de minas;2645;pedagogia;17;70;24.29;76,7
798;centro universitário do sul de minas;107466;processos gerenciais;4;97;4.12;87,6
799;centro universitário do sul de minas;63340;serviço social;10;40;25.0;87,5
800;centro universitário doutor leão sampaio;47937;administração;13;249;5.22;59,3
801;centro universitário doutor leão sampaio;120172;análise e desenvolvimento de sistemas;12;321;3.74;57,8
802;centro universitário doutor leão sampaio;90434;biomedicina;11;169;6.51;80,5
803;centro universitário doutor leão sampaio;59082;ciências contábeis;9;81;11.11;50,6
804;centro universitário doutor leão sampaio;73168;educação física;12;167;7.19;56,9
805;centro universitário doutor leão sampaio;90529;enfermagem;38;352;10.8;50,3
806;centro universitário doutor leão sampaio;75875;fisioterapia;14;220;6.36;55
807;centro universitário doutor leão sampaio;120140;gestão de recursos humanos;6;149;4.03;38,3
808;centro universitário doutor leão sampaio;97445;psicologia;24;362;6.63;58
809;centro universitário doutor leão sampaio;90432;serviço social;36;419;8.59;48,9
810;centro universitário estácio da amazônia;46564;administração;6;145;4.14;75,2
811;centro universitário estácio da amazônia;88864;agronegócio;2;53;3.77;64,2
812;centro universitário estácio da amazônia;111198;computação;7;11;63.64;72,7
813;centro universitário estácio da amazônia;110460;comércio exterior;10;31;32.26;58,1
814;centro universitário estácio da amazônia;112466;design gráfico;2;54;3.7;74,1
815;centro universitário estácio da amazônia;105764;gestão ambiental;1;90;1.11;57,8
816;centro universitário estácio da amazônia;69027;gestão pública;2;17;11.76;76,5
817;centro universitário estácio da amazônia;99724;secretariado;2;32;6.25;62,5
818;centro universitário estácio da amazônia;114606;serviço social;10;208;4.81;64,4
819;centro universitário estácio de belo horizonte - estácio bh;21756;administração;1;188;0.53;65,4
820;centro universitário estácio de belo horizonte - estácio bh;104632;design de moda;2;83;2.41;65,1
821;centro universitário estácio de belo horizonte - estácio bh;66629;educação física;2;78;2.56;68
822;centro universitário estácio de belo horizonte - estácio bh;105949;história;1;57;1.75;63,2
823;centro universitário estácio de belo horizonte - estácio bh;118876;pedagogia;1;119;0.84;39,5
824;centro universitário estácio de brasília - estácio brasília;46390;administração;13;204;6.37;98,3
825;centro universitário estácio de brasília - estácio brasília;103320;ciências contábeis;4;98;4.08;54,1
826;centro universitário estácio de brasília - estácio brasília;68924;direito;7;265;2.64;66
827;centro universitário estácio de brasília - estácio brasília;117635;engenharia de produção;4;69;5.8;62,3
828;centro universitário estácio de brasília - estácio brasília;50773;jornalismo;10;97;10.31;50,5
829;centro universitário estácio de brasília - estácio brasília;107026;matemática;3;101;2.97;69,3
830;centro universitário estácio de brasília - estácio brasília;74104;pedagogia;6;270;2.22;47
831;centro universitário estácio de brasília - estácio brasília;50774;publicidade e propaganda;12;121;9.92;65,3
832;centro universitário estácio de brasília - estácio brasília;102254;redes de computadores;9;163;5.52;58,3
833;centro universitário estácio de brasília - estácio brasília;53898;sistema de informação;2;82;2.44;70,7
834;centro universitário estácio de brasília - estácio brasília;102250;sistemas para internet;2;13;15.38;61,5
835;centro universitário estácio de brasília - estácio brasília;74102;turismo;3;54;5.56;66,7
836;centro universitário estácio de ribeirão preto;88448;arquitetura e urbanismo;1;41;2.44;70,7
837;centro universitário estácio de ribeirão preto;46884;ciência da computação;18;72;25.0;63,9
838;centro universitário estácio de ribeirão preto;46930;ciências contábeis;31;2756;1.12;33,3
839;centro universitário estácio de ribeirão preto;46813;comunicação social - publicidade e propaganda;1;34;2.94;55,9
840;centro universitário estácio de ribeirão preto;46807;direito;13;182;7.14;72,4
841;centro universitário estácio de ribeirão preto;38177;engenharia ambiental;2;18;11.11;61,1
842;centro universitário estácio de ribeirão preto;46839;engenharia de computação;2;26;7.69;88,5
843;centro universitário estácio de ribeirão preto;99650;engenharia de produção;4;50;8.0;90
844;centro universitário estácio de ribeirão preto;21287;pedagogia;13;4059;0.32;46,7
845;centro universitário estácio de santa catarina - estácio santa catarina;105868;enfermagem;3;160;1.88;46,9
846;centro universitário estácio de santa catarina - estácio santa catarina;112938;farmácia;8;80;10.0;50
847;centro universitário estácio de santa catarina - estácio santa catarina;63536;fisioterapia;1;106;0.94;63,2
848;centro universitário estácio de santa catarina - estácio santa catarina;67879;gestão de recursos humanos;5;51;9.8;47,1
849;centro universitário estácio de santa catarina - estácio santa catarina;50274;jornalismo;4;70;5.71;52,9
850;centro universitário estácio de santa catarina - estácio santa catarina;109280;moda;5;63;7.94;63,5
851;centro universitário estácio de santa catarina - estácio santa catarina;112538;nutrição;9;146;6.16;51,4
852;centro universitário estácio de santa catarina - estácio santa catarina;109248;psicologia;6;137;4.38;56,2
853;centro universitário estácio de santa catarina - estácio santa catarina;72057;redes de computadores;10;92;10.87;55,4
854;centro universitário estácio do ceará;18006;administração;41;712;5.76;87,6
855;centro universitário estácio do ceará;70051;análise e desenvolvimento de sistemas;8;317;2.52;74,1
856;centro universitário estácio do ceará;108388;design de moda;5;163;3.07;65,6
857;centro universitário estácio do ceará;108790;design gráfico;2;68;2.94;75
858;centro universitário estácio do ceará;21254;fisioterapia;7;259;2.7;66,8
859;centro universitário estácio do ceará;68279;gestão de recursos humanos;8;269;2.97;63,2
860;centro universitário estácio do ceará;68267;gestão hospitalar;1;48;2.08;56,3
861;centro universitário estácio do ceará;45153;jornalismo;2;82;2.44;90,2
862;centro universitário estácio do ceará;68275;marketing;4;368;1.09;74,5
863;centro universitário estácio do ceará;109284;nutrição;9;287;3.14;53
864;centro universitário estácio do ceará;68211;processos gerenciais;11;176;6.25;69,3
865;centro universitário estácio do ceará;72070;redes de computadores;6;204;2.94;60,8
866;centro universitário estácio do ceará;68261;telemática;1;58;1.72;81
867;centro universitário eurípedes de marília;8933;administração;18;214;8.41;100
868;centro universitário eurípedes de marília;18001;ciência da computação;4;69;5.8;71
869;centro universitário eurípedes de marília;8934;ciências contábeis;5;72;6.94;50
870;centro universitário eurípedes de marília;72313;design de interiores;2;25;8.0;16
871;centro universitário eurípedes de marília;72311;design gráfico;10;78;12.82;33,3
872;centro universitário eurípedes de marília;8937;direito;20;312;6.41;44,2
873;centro universitário eurípedes de marília;98552;engenharia de produção;11;90;12.22;60
874;centro universitário eurípedes de marília;72305;gestão de recursos humanos;13;89;14.61;23,6
875;centro universitário eurípedes de marília;88262;logística;5;52;9.62;21,2
876;centro universitário eurípedes de marília;72303;processos gerenciais;12;162;7.41;29,6
877;centro universitário eurípedes de marília;88258;sistemas de informação;7;61;11.48;63,9
878;centro universitário facex;102235;administração;88;161;54.66;53,4
879;centro universitário facex;21279;ciências biológicas;22;50;44.0;60
880;centro universitário facex;21278;ciências contábeis;25;145;17.24;60,7
881;centro universitário facex;96387;direito;14;129;10.85;55,8
882;centro universitário facex;86883;enfermagem;6;254;2.36;47,2
883;centro universitário facex;81012;gestão de recursos humanos;24;122;19.67;34,4
884;centro universitário facex;81010;gestão financeira;19;111;17.12;47,7
885;centro universitário facex;97139;gestão pública;30;71;42.25;31
886;centro universitário facex;81016;hotelaria;35;33;106.06;42,4
887;centro universitário facex;81014;marketing;25;112;22.32;67
888;centro universitário facex;18215;pedagogia;20;73;27.4;46,6
889;centro universitário facex;88718;psicologia;15;80;18.75;50
890;centro universitário facex;16313;secretariado;27;48;56.25;50
891;centro universitário facex;46903;serviço social;38;151;25.17;43,7
892;centro universitário facex;16314;turismo;26;61;42.62;70,5
893;centro universitário fieo;6185;administração;49;1021;4.8;62,6
894;centro universitário fieo;81328;análise e desenvolvimento de sistemas;10;327;3.06;61,5
895;centro universitário fieo;20544;ciência da computação;4;104;3.85;78,8
896;centro universitário fieo;20542;ciências biológicas;2;68;2.94;27,1
897;centro universitário fieo;6188;ciências contábeis;10;172;5.81;66,3
898;centro universitário fieo;39053;comunicação social - publicidade e propaganda;4;266;1.5;45,5
899;centro universitário fieo;102955;comércio exterior e negócios internacionais;2;126;1.59;74,6
900;centro universitário fieo;57886;design digital;39;217;17.97;70,5
901;centro universitário fieo;6186;direito;46;605;7.6;65,3
902;centro universitário fieo;20545;educação física;3;109;2.75;52,8
903;centro universitário fieo;39193;engenharia de computação;4;128;3.12;79,7
904;centro universitário fieo;81338;eventos;4;73;5.48;52,1
905;centro universitário fieo;63750;farmácia;7;61;11.48;62,3
906;centro universitário fieo;20546;fisioterapia;5;94;5.32;74,5
907;centro universitário fieo;20547;geografia;2;45;4.44;12,8
908;centro universitário fieo;111934;gestão de recursos humanos;23;401;5.74;41,4
909;centro universitário fieo;122898;gestão financeira;16;204;7.84;42,6
910;centro universitário fieo;20548;história;19;135;14.07;51,1
911;centro universitário fieo;39056;jornalismo;6;81;7.41;25,9
912;centro universitário fieo;73628;logística;12;135;8.89;72,6
913;centro universitário fieo;81548;pedagogia;9;101;8.91;54,5
914;centro universitário fieo;91054;psicopedagogia;1;30;3.33;53,3
915;centro universitário fieo;20541;química;7;195;3.59;69,6
916;centro universitário fieo;73630;redes de computadores;2;91;2.2;56
917;centro universitário fieo;43922;sistemas de informação;3;175;1.71;74,9
918;centro universitário filadélfia;18027;administração;11;206;5.34;55,3
919;centro universitário filadélfia;119110;agronomia;6;111;5.41;52,3
920;centro universitário filadélfia;8939;arquitetura e urbanismo;11;137;8.03;46
921;centro universitário filadélfia;83604;biomedicina;8;93;8.6;38,7
922;centro universitário filadélfia;105678;ciência da computação;4;62;6.45;67,7
923;centro universitário filadélfia;18204;ciências contábeis;5;78;6.41;44,9
924;centro universitário filadélfia;48793;direito;14;233;6.01;45,9
925;centro universitário filadélfia;92184;educação física;9;101;8.91;63,4
926;centro universitário filadélfia;8940;enfermagem;8;93;8.6;23,7
927;centro universitário filadélfia;119102;engenharia civil;9;90;10.0;55,6
928;centro universitário filadélfia;119108;estética e cosmética;8;106;7.55;51,9
929;centro universitário filadélfia;51587;farmácia;9;61;14.75;27,9
930;centro universitário filadélfia;51584;fisioterapia;4;74;5.41;34,9
931;centro universitário filadélfia;119106;gastronomia;8;84;9.52;50
932;centro universitário filadélfia;119104;gestão ambiental;8;47;17.02;80,9
933;centro universitário filadélfia;119112;medicina veterinária;4;48;8.33;68,8
934;centro universitário filadélfia;8946;nutrição;9;114;7.89;50
935;centro universitário filadélfia;8944;pedagogia;14;79;17.72;39
936;centro universitário filadélfia;8943;psicologia;6;134;4.48;46,3
937;centro universitário filadélfia;62574;sistemas de informação;4;48;8.33;62,5
938;centro universitário filadélfia;51878;teologia;1;8;12.5;100
939;centro universitário fundação de ensino octávio bastos - feob;6096;administração;2;74;2.7;51,4
940;centro universitário fundação de ensino octávio bastos - feob;102928;agronegócio;3;10;30.0;60
941;centro universitário fundação de ensino octávio bastos - feob;49004;ciências biológicas;2;57;3.51;0
942;centro universitário fundação de ensino octávio bastos - feob;6095;ciências contábeis;7;47;14.89;44,7
943;centro universitário fundação de ensino octávio bastos - feob;102922;comércio exterior;1;7;14.29;57,1
