;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
86;centro universitário anhanguera de campo grande;117220;design de interiores;27;117;23.08;24,8
87;centro universitário anhanguera de campo grande;17553;direito;120;438;27.4;53,3
88;centro universitário anhanguera de campo grande;107126;enfermagem;56;226;24.78;42,9
89;centro universitário anhanguera de campo grande;117126;engenharia de controle e automação;19;40;47.5;57,5
90;centro universitário anhanguera de campo grande;89368;engenharia de produção;29;108;26.85;69,2
91;centro universitário anhanguera de campo grande;117134;engenharia mecânica;19;51;37.25;60,8
92;centro universitário anhanguera de campo grande;107128;fisioterapia;14;77;18.18;59,7
93;centro universitário anhanguera de campo grande;112066;logística;9;23;39.13;87
94;centro universitário anhanguera de campo grande;17556;pedagogia;33;103;32.04;31,1
95;centro universitário anhanguera de campo grande;117224;produção sucroalcooleira;16;32;50.0;43,8
96;centro universitário anhanguera de campo grande;107156;redes de computadores;14;65;21.54;50,8
97;centro universitário anhanguera de campo grande;59029;relações internacionais;12;43;27.91;58,1
98;centro universitário anhanguera de niterói;15214;administração;4;81;4.94;71,3
99;centro universitário anhanguera de niterói;20148;arquitetura e urbanismo;8;127;6.3;68,5
100;centro universitário anhanguera de niterói;80356;design de moda;2;73;2.74;60,3
101;centro universitário anhanguera de niterói;20441;direito;6;175;3.43;67,2
102;centro universitário anhanguera de niterói;69197;enfermagem;24;208;11.54;55,8
103;centro universitário anhanguera de niterói;62198;farmácia;5;53;9.43;69,8
104;centro universitário anhanguera de niterói;80354;gestão ambiental;11;142;7.75;34,5
105;centro universitário anhanguera de niterói;120755;gestão de turismo;8;32;25.0;56,3
106;centro universitário anhanguera de niterói;10421;letras - língua portuguesa;1;18;5.56;71,4
107;centro universitário anhanguera de niterói;120753;marketing;11;33;33.33;60,6
108;centro universitário anhanguera de niterói;10423;medicina veterinária;18;55;32.73;74,5
109;centro universitário anhanguera de niterói;69434;serviço social;11;131;8.4;59,5
110;centro universitário anhanguera de santo andré;6166;administração;101;308;32.79;54,5
111;centro universitário anhanguera de santo andré;97621;análise e desenvolvimento de sistemas;17;119;14.29;45,4
112;centro universitário anhanguera de santo andré;6165;automação industrial;3;4;75.0;100
113;centro universitário anhanguera de santo andré;104044;ciências biológicas;1;7;14.29;57,1
114;centro universitário anhanguera de santo andré;113183;ciências contábeis;22;55;40.0;27,3
115;centro universitário anhanguera de santo andré;97613;comércio exterior;2;4;50.0;100
116;centro universitário anhanguera de santo andré;64094;design de interiores;9;39;23.08;10,3
117;centro universitário anhanguera de santo andré;66379;direito;45;153;29.41;47,1
118;centro universitário anhanguera de santo andré;53916;enfermagem;51;509;10.02;54,4
119;centro universitário anhanguera de santo andré;69900;engenharia de produção;79;247;31.98;34,4
120;centro universitário anhanguera de santo andré;113187;engenharia mecânica;33;182;18.13;51,1
121;centro universitário anhanguera de santo andré;6164;fabricação mecânica;30;121;24.79;34,7
122;centro universitário anhanguera de santo andré;53930;gestão ambiental;10;98;10.2;30,6
123;centro universitário anhanguera de santo andré;92793;gestão comercial;14;64;21.88;48,4
124;centro universitário anhanguera de santo andré;115548;gestão da qualidade;10;131;7.63;29,8
125;centro universitário anhanguera de santo andré;69906;gestão de recursos humanos;23;237;9.7;25,7
