,instituicao,qtd_bolsas_parciais,qtd_bolsas_integrais,cod_estado,qtd_ingressantes,grande_area,qtd_desistencias,qtd_total_bolsas,percentual_bolsas_parciais,percentual_bolsas_integrais,percentual_total_bolsas,taxa_desistencia_acumulada
31,faculdade anhanguera de campinas,0,3,35,55,computacao e tecnologias da informacao e comunicacao (tic),42,3,0.0,100.0,5.45,76.36
22,centro universitario metrocamp wyden,44,0,35,79,computacao e tecnologias da informacao e comunicacao (tic),37,44,100.0,0.0,55.7,46.84
36,faculdade anhanguera de sao jose,0,3,35,34,computacao e tecnologias da informacao e comunicacao (tic),28,3,0.0,100.0,8.82,82.35
47,faculdade padre joao bagozzi,0,1,41,7,"engenharia, producao e construcao",5,1,0.0,100.0,14.29,71.43
20,centro universitario internacional,25,6,41,226,"engenharia, producao e construcao",151,31,80.65,19.35,13.72,66.81
78,universidade positivo,0,107,41,792,"engenharia, producao e construcao",540,107,0.0,100.0,13.51,68.18
38,faculdade de engenharia e inovacao tecnico profissi,8,6,41,42,"engenharia, producao e construcao",30,14,57.14,42.86,33.33,71.43
73,universidade do vale do itajai,3,98,42,460,"engenharia, producao e construcao",331,101,2.97,97.03,21.96,71.96
25,centro universitario sociesc,52,12,42,455,"engenharia, producao e construcao",287,64,81.25,18.75,14.07,63.08
72,universidade do oeste de santa catarina,51,49,42,578,"engenharia, producao e construcao",324,100,51.0,49.0,17.3,56.06
75,universidade la salle,0,1,43,14,"engenharia, producao e construcao",11,1,0.0,100.0,7.14,78.57
28,centro universitario uniftec,6,44,43,396,"engenharia, producao e construcao",284,50,12.0,88.0,12.63,71.72
66,universidade de caxias do sul,9,22,43,212,"engenharia, producao e construcao",135,31,29.03,70.97,14.62,63.68
70,universidade de santa cruz do sul,3,30,43,358,computacao e tecnologias da informacao e comunicacao (tic),258,33,9.09,90.91,9.22,72.07
68,universidade de passo fundo,23,15,43,74,computacao e tecnologias da informacao e comunicacao (tic),42,38,60.53,39.47,51.35,56.76
58,pontificia universidade catolica do rio grande do sul,5,122,43,807,computacao e tecnologias da informacao e comunicacao (tic),519,127,3.94,96.06,15.74,64.31
4,centro universitario da serra gaucha,0,5,43,40,"engenharia, producao e construcao",34,5,0.0,100.0,12.5,85.0
62,universidade catolica dom bosco,0,34,50,319,"engenharia, producao e construcao",227,34,0.0,100.0,10.66,71.16
67,universidade de cuiaba,0,15,51,229,computacao e tecnologias da informacao e comunicacao (tic),160,15,0.0,100.0,6.55,69.87
30,faculdade anhanguera de anapolis,0,7,52,98,computacao e tecnologias da informacao e comunicacao (tic),87,7,0.0,100.0,7.14,88.78
7,centro universitario de goias,11,6,52,116,"engenharia, producao e construcao",81,17,64.71,35.29,14.66,69.83
55,pontificia universidade catolica de goias,0,118,52,897,computacao e tecnologias da informacao e comunicacao (tic),577,118,0.0,100.0,13.15,64.33
11,centro universitario do instituto de educacao superior de brasilia - iesb,60,32,53,829,computacao e tecnologias da informacao e comunicacao (tic),664,92,65.22,34.78,11.1,80.1
