instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
faculdade sao francisco de assis;ciencia da computacao;2;1;43;51;37;computacao e tecnologias da informacao e comunicacao (tic);3;0.02;66.67;33.33;72.55
faculdade unica de ipatinga;ciencia da computacao;0;7;31;38;18;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;47.37
instituto cuiaba de ensino e cultura;ciencia da computacao;0;4;51;36;23;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;63.89
instituto de educacao superior raimundo sa;ciencia da computacao;0;6;22;21;18;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;85.71
instituto de ensino superior da grande florianopolis;ciencia da computacao;0;3;42;44;32;computacao e tecnologias da informacao e comunicacao (tic);3;0.02;0.0;100.0;72.73
instituto de ensino superior fucapi;ciencia da computacao;17;10;13;90;56;computacao e tecnologias da informacao e comunicacao (tic);27;0.22;62.96;37.04;62.22
instituto paraibano de ensino renovado;ciencia da computacao;0;1;25;47;46;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;97.87
pontificia universidade catolica de goias;ciencia da computacao;0;22;52;238;181;computacao e tecnologias da informacao e comunicacao (tic);22;0.18;0.0;100.0;76.05
pontificia universidade catolica de minas gerais;ciencia da computacao;22;36;31;192;105;computacao e tecnologias da informacao e comunicacao (tic);58;0.47;37.93;62.07;54.69
pontificia universidade catolica de sao paulo;ciencia da computacao;0;10;35;52;24;computacao e tecnologias da informacao e comunicacao (tic);10;0.08;0.0;100.0;46.15
pontificia universidade catolica do parana;ciencia da computacao;0;7;41;49;27;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;55.1
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;5;33;49;27;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;55.1
