,instituicao,qtd_bolsas_parciais,qtd_bolsas_integrais,cod_estado,qtd_ingressantes,grande_area,qtd_desistencias,qtd_total_bolsas,percentual_bolsas_parciais,percentual_bolsas_integrais,percentual_total_bolsas,taxa_desistencia_acumulada
123,universidade cidade de sao paulo,54,35,35,1094,computacao e tecnologias da informacao e comunicacao (tic),723,89,60.67,39.33,8.14,66.09
124,universidade cruzeiro do sul,95,58,35,1585,computacao e tecnologias da informacao e comunicacao (tic),1212,153,62.09,37.91,9.65,76.47
5,centro universitario barao de maua,22,12,35,330,computacao e tecnologias da informacao e comunicacao (tic),201,34,64.71,35.29,10.3,60.91
132,universidade de sorocaba,0,54,35,377,computacao e tecnologias da informacao e comunicacao (tic),243,54,0.0,100.0,14.32,64.46
143,universidade ibirapuera,90,17,35,522,computacao e tecnologias da informacao e comunicacao (tic),328,107,84.11,15.89,20.5,62.84
153,universidade sao judas tadeu,870,52,35,2038,computacao e tecnologias da informacao e comunicacao (tic),1336,922,94.36,5.64,45.24,65.55
30,centro universitario euripedes de marilia,54,32,35,411,computacao e tecnologias da informacao e comunicacao (tic),187,86,62.79,37.21,20.92,45.5
36,centro universitario fieo,0,28,35,271,computacao e tecnologias da informacao e comunicacao (tic),182,28,0.0,100.0,10.33,67.16
63,faculdade anhanguera de piracicaba,16,31,35,427,computacao e tecnologias da informacao e comunicacao (tic),243,47,34.04,65.96,11.01,56.91
84,faculdade de tecnologia ibta - sao jose dos campos,21,2,35,45,computacao e tecnologias da informacao e comunicacao (tic),37,23,91.3,8.7,51.11,82.22
61,faculdade anhanguera de jundiai,41,46,35,629,computacao e tecnologias da informacao e comunicacao (tic),333,87,47.13,52.87,13.83,52.94
1,centro universitario anhanguera,28,26,35,326,computacao e tecnologias da informacao e comunicacao (tic),131,54,51.85,48.15,16.56,40.18
59,faculdade anhanguera de indaiatuba,18,31,35,353,computacao e tecnologias da informacao e comunicacao (tic),180,49,36.73,63.27,13.88,50.99
58,faculdade anhanguera de campinas,52,121,35,1392,computacao e tecnologias da informacao e comunicacao (tic),955,173,30.06,69.94,12.43,68.61
64,faculdade anhanguera de ribeirao preto,2,16,35,327,computacao e tecnologias da informacao e comunicacao (tic),225,18,11.11,88.89,5.5,68.81
57,faculdade anhanguera de bauru,26,37,35,606,computacao e tecnologias da informacao e comunicacao (tic),350,63,41.27,58.73,10.4,57.76
53,centro universitario unibta,0,6,35,72,computacao e tecnologias da informacao e comunicacao (tic),49,6,0.0,100.0,8.33,68.06
42,centro universitario padre anchieta,10,7,35,175,computacao e tecnologias da informacao e comunicacao (tic),119,17,58.82,41.18,9.71,68.0
51,centro universitario sumare,0,6,35,62,computacao e tecnologias da informacao e comunicacao (tic),57,6,0.0,100.0,9.68,91.94
49,centro universitario senac,25,13,35,421,computacao e tecnologias da informacao e comunicacao (tic),321,38,65.79,34.21,9.03,76.25
48,centro universitario salesiano de sao paulo,0,20,35,227,computacao e tecnologias da informacao e comunicacao (tic),136,20,0.0,100.0,8.81,59.91
47,centro universitario sagrado coracao,8,10,35,88,computacao e tecnologias da informacao e comunicacao (tic),40,18,44.44,55.56,20.45,45.45
156,universidade universus veritas guarulhos,0,13,35,119,computacao e tecnologias da informacao e comunicacao (tic),78,13,0.0,100.0,10.92,65.55
65,faculdade anhanguera de rio claro,8,21,35,284,computacao e tecnologias da informacao e comunicacao (tic),166,29,27.59,72.41,10.21,58.45
62,faculdade anhanguera de limeira,27,37,35,481,computacao e tecnologias da informacao e comunicacao (tic),248,64,42.19,57.81,13.31,51.56
67,faculdade anhanguera de sao caetano,2,0,35,103,computacao e tecnologias da informacao e comunicacao (tic),4,2,100.0,0.0,1.94,3.88
82,faculdade de sao paulo,6,12,35,416,computacao e tecnologias da informacao e comunicacao (tic),373,18,33.33,66.67,4.33,89.66
81,faculdade de presidente epitacio - fape,2,4,35,21,computacao e tecnologias da informacao e comunicacao (tic),10,6,33.33,66.67,28.57,47.62
66,faculdade anhanguera de santa barbara,19,24,35,222,computacao e tecnologias da informacao e comunicacao (tic),113,43,44.19,55.81,19.37,50.9
40,centro universitario metrocamp wyden,40,0,35,99,computacao e tecnologias da informacao e comunicacao (tic),41,40,100.0,0.0,40.4,41.41
41,centro universitario nossa senhora do patrocinio,5,30,35,548,computacao e tecnologias da informacao e comunicacao (tic),354,35,14.29,85.71,6.39,64.6
72,faculdade anhanguera pitagoras votorantim,0,3,35,52,computacao e tecnologias da informacao e comunicacao (tic),52,3,0.0,100.0,5.77,100.0
75,faculdade de americana,9,36,35,459,computacao e tecnologias da informacao e comunicacao (tic),253,45,20.0,80.0,9.8,55.12
128,universidade de franca,76,35,35,768,computacao e tecnologias da informacao e comunicacao (tic),502,111,68.47,31.53,14.45,65.36
68,faculdade anhanguera de sao jose,15,36,35,383,computacao e tecnologias da informacao e comunicacao (tic),229,51,29.41,70.59,13.32,59.79
69,faculdade anhanguera de sorocaba,12,6,35,77,computacao e tecnologias da informacao e comunicacao (tic),45,18,66.67,33.33,23.38,58.44
71,faculdade anhanguera de valinhos,20,29,35,244,computacao e tecnologias da informacao e comunicacao (tic),125,49,40.82,59.18,20.08,51.23
70,faculdade anhanguera de taubate,34,66,35,573,computacao e tecnologias da informacao e comunicacao (tic),303,100,34.0,66.0,17.45,52.88
37,centro universitario filadelfia,0,43,41,514,computacao e tecnologias da informacao e comunicacao (tic),349,43,0.0,100.0,8.37,67.9
78,faculdade de economia e processamento de dados de foz do iguacu,0,17,41,165,computacao e tecnologias da informacao e comunicacao (tic),134,17,0.0,100.0,10.3,81.21
22,centro universitario dinamica das cataratas,2,2,41,59,computacao e tecnologias da informacao e comunicacao (tic),45,4,50.0,50.0,6.78,76.27
77,faculdade de cascavel,11,27,41,230,computacao e tecnologias da informacao e comunicacao (tic),148,38,28.95,71.05,16.52,64.35
112,pontificia universidade catolica do parana,26,47,41,774,computacao e tecnologias da informacao e comunicacao (tic),578,73,35.62,64.38,9.43,74.68
76,faculdade de ampere,1,1,41,25,computacao e tecnologias da informacao e comunicacao (tic),3,2,50.0,50.0,8.0,12.0
155,universidade tuiuti do parana,7,7,41,110,computacao e tecnologias da informacao e comunicacao (tic),92,14,50.0,50.0,12.73,83.64
7,centro universitario campos de andrade,161,4,41,318,computacao e tecnologias da informacao e comunicacao (tic),201,165,97.58,2.42,51.89,63.21
134,universidade do oeste de santa catarina,64,54,42,566,computacao e tecnologias da informacao e comunicacao (tic),326,118,54.24,45.76,20.85,57.6
136,universidade do sul de santa catarina,5,102,42,689,computacao e tecnologias da informacao e comunicacao (tic),452,107,4.67,95.33,15.53,65.6
137,universidade do vale do itajai,3,265,42,1512,computacao e tecnologias da informacao e comunicacao (tic),1055,268,1.12,98.88,17.72,69.78
133,universidade do extremo sul catarinense,1,91,42,738,computacao e tecnologias da informacao e comunicacao (tic),281,92,1.09,98.91,12.47,38.08
