instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;7;35;67;26;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;38.81
centro universitario anhanguera;ciencia da computacao;0;4;35;54;23;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;42.59
centro universitario barao de maua;ciencia da computacao;1;1;35;26;16;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;50.0;50.0;61.54
centro universitario campos de andrade;ciencia da computacao;21;0;41;56;32;computacao e tecnologias da informacao e comunicacao (tic);21;0.18;100.0;0.0;57.14
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;3;31;32;17;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;53.12
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;9;16;35;130;64;computacao e tecnologias da informacao e comunicacao (tic);25;0.22;36.0;64.0;49.23
centro universitario da grande dourados;ciencia da computacao;4;1;50;58;54;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;80.0;20.0;93.1
centro universitario das faculdades metropolitanas unidas;ciencia da computacao;0;22;35;175;125;computacao e tecnologias da informacao e comunicacao (tic);22;0.19;0.0;100.0;71.43
centro universitario de belo horizonte;ciencia da computacao;23;12;31;213;157;computacao e tecnologias da informacao e comunicacao (tic);35;0.3;65.71;34.29;73.71
centro universitario de brasilia;ciencia da computacao;0;13;53;170;49;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;28.82
centro universitario de joao pessoa;ciencia da computacao;0;27;25;167;119;computacao e tecnologias da informacao e comunicacao (tic);27;0.23;0.0;100.0;71.26
centro universitario do estado do para;ciencia da computacao;0;5;15;46;27;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;58.7
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;6;6;53;102;70;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;50.0;50.0;68.63
centro universitario do norte;ciencia da computacao;0;45;13;263;204;computacao e tecnologias da informacao e comunicacao (tic);45;0.39;0.0;100.0;77.57
centro universitario euripedes de marilia;ciencia da computacao;0;6;35;35;18;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;51.43
