instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
faculdade pitagoras de sao luiz;ciencia da computacao;0;6;21;113;71;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;62.83
fatece - faculdade de tecnologia, ciencias e educacao;ciencia da computacao;0;4;35;25;12;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;48.0
instituto de educacao superior raimundo sa;ciencia da computacao;0;6;22;30;18;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;60.0
instituto de ensino superior da grande florianopolis;ciencia da computacao;0;4;42;86;64;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;74.42
instituto de ensino superior de alagoas;ciencia da computacao;0;8;27;30;22;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;73.33
instituto paraibano de ensino renovado;ciencia da computacao;0;6;25;101;73;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;72.28
instituto pernambucano de ensino superior;ciencia da computacao;0;8;26;59;45;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;76.27
pontificia universidade catolica de goias;ciencia da computacao;0;3;52;125;92;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;73.6
pontificia universidade catolica de minas gerais;ciencia da computacao;43;27;31;151;65;computacao e tecnologias da informacao e comunicacao (tic);70;0.64;61.43;38.57;43.05
pontificia universidade catolica de sao paulo;ciencia da computacao;0;15;35;83;57;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;0.0;100.0;68.67
pontificia universidade catolica do parana;ciencia da computacao;0;2;41;186;167;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;89.78
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;6;33;37;26;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;70.27
pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;25;43;147;82;computacao e tecnologias da informacao e comunicacao (tic);25;0.23;0.0;100.0;55.78
universidade anhembi morumbi;ciencia da computacao;0;8;35;116;76;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;65.52
universidade catolica de brasilia;ciencia da computacao;0;3;53;90;60;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;66.67
universidade catolica de pernambuco;ciencia da computacao;0;15;26;108;82;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;0.0;100.0;75.93
universidade catolica de santos;ciencia da computacao;0;2;35;9;1;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;11.11
universidade cidade de sao paulo;ciencia da computacao;8;3;35;33;17;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;72.73;27.27;51.52
universidade cruzeiro do sul;ciencia da computacao;16;6;35;185;160;computacao e tecnologias da informacao e comunicacao (tic);22;0.2;72.73;27.27;86.49
universidade candido mendes;ciencia da computacao;0;11;33;59;40;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;67.8
universidade da amazonia;ciencia da computacao;8;0;15;26;12;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;100.0;0.0;46.15
universidade de caxias do sul;ciencia da computacao;0;8;43;122;81;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;66.39
universidade de cruz alta;ciencia da computacao;0;2;43;9;5;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;55.56
universidade de franca;ciencia da computacao;13;2;35;83;48;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;86.67;13.33;57.83
universidade de itauna;ciencia da computacao;0;4;31;51;30;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;58.82
universidade de passo fundo;ciencia da computacao;24;9;43;75;26;computacao e tecnologias da informacao e comunicacao (tic);33;0.3;72.73;27.27;34.67
universidade de santa cruz do sul;ciencia da computacao;0;2;43;111;75;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;67.57
universidade de sorocaba;ciencia da computacao;0;15;35;74;46;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;0.0;100.0;62.16
universidade do extremo sul catarinense;ciencia da computacao;0;10;42;104;40;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;38.46
universidade do oeste de santa catarina;ciencia da computacao;0;3;42;49;34;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;69.39
universidade do oeste paulista;ciencia da computacao;0;6;35;42;19;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;45.24
universidade do sul de santa catarina;ciencia da computacao;0;18;42;125;85;computacao e tecnologias da informacao e comunicacao (tic);18;0.17;0.0;100.0;68.0
universidade do vale do itajai;ciencia da computacao;0;6;42;164;124;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;0.0;100.0;75.61
universidade do vale do rio dos sinos;ciencia da computacao;16;6;43;148;104;computacao e tecnologias da informacao e comunicacao (tic);22;0.2;72.73;27.27;70.27
universidade gama filho;ciencia da computacao;0;15;33;192;192;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;0.0;100.0;100.0
universidade ibirapuera;ciencia da computacao;20;4;35;180;131;computacao e tecnologias da informacao e comunicacao (tic);24;0.22;83.33;16.67;72.78
universidade jose do rosario vellano;ciencia da computacao;0;9;31;55;25;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;45.45
universidade luterana do brasil;ciencia da computacao;0;1;43;245;198;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;80.82
universidade nove de julho;ciencia da computacao;0;25;35;1384;997;computacao e tecnologias da informacao e comunicacao (tic);25;0.23;0.0;100.0;72.04
universidade paulista;ciencia da computacao;0;90;35;2005;1507;computacao e tecnologias da informacao e comunicacao (tic);90;0.83;0.0;100.0;75.16
universidade presbiteriana mackenzie;ciencia da computacao;0;16;35;136;69;computacao e tecnologias da informacao e comunicacao (tic);16;0.15;0.0;100.0;50.74
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;12;20;43;104;65;computacao e tecnologias da informacao e comunicacao (tic);32;0.29;37.5;62.5;62.5
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;7;16;43;90;54;computacao e tecnologias da informacao e comunicacao (tic);23;0.21;30.43;69.57;60.0
universidade salvador;ciencia da computacao;0;7;29;79;52;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;65.82
universidade santa cecilia;ciencia da computacao;0;14;35;98;69;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;0.0;100.0;70.41
universidade sao judas tadeu;ciencia da computacao;98;10;35;198;123;computacao e tecnologias da informacao e comunicacao (tic);108;0.99;90.74;9.26;62.12
universidade tiradentes;ciencia da computacao;0;1;28;66;40;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;60.61
universidade tuiuti do parana;ciencia da computacao;3;4;41;28;22;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;42.86;57.14;78.57
universidade veiga de almeida;ciencia da computacao;0;7;33;185;125;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;67.57
universidade vila velha;ciencia da computacao;0;1;32;54;42;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;77.78
