instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;3;35;51;29;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;56.86
centro universitario anhanguera de campo grande;ciencia da computacao;8;2;50;63;19;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;80.0;20.0;30.16
centro universitario anhanguera de niteroi;ciencia da computacao;0;3;33;138;40;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;28.99
centro universitario anhanguera;ciencia da computacao;13;3;35;52;5;computacao e tecnologias da informacao e comunicacao (tic);16;0.15;81.25;18.75;9.62
centro universitario barao de maua;ciencia da computacao;0;1;35;48;35;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;72.92
centro universitario campos de andrade;ciencia da computacao;2;2;41;24;15;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;50.0;50.0;62.5
centro universitario da cidade;ciencia da computacao;0;2;33;25;25;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;100.0
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;1;31;35;20;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;57.14
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;21;35;116;72;computacao e tecnologias da informacao e comunicacao (tic);21;0.19;0.0;100.0;62.07
centro universitario da grande dourados;ciencia da computacao;5;4;50;59;25;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;55.56;44.44;42.37
centro universitario de barra mansa;ciencia da computacao;0;12;33;21;2;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;0.0;100.0;9.52
centro universitario de belo horizonte;ciencia da computacao;5;0;31;168;126;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;100.0;0.0;75.0
centro universitario de joao pessoa;ciencia da computacao;0;3;25;92;61;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;66.3
centro universitario do estado do para;ciencia da computacao;0;12;15;60;27;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;0.0;100.0;45.0
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;3;1;53;87;65;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;75.0;25.0;74.71
centro universitario do norte;ciencia da computacao;23;7;13;380;293;computacao e tecnologias da informacao e comunicacao (tic);30;0.28;76.67;23.33;77.11
centro universitario do norte paulista;ciencia da computacao;6;3;35;18;13;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;66.67;33.33;72.22
centro universitario do sul de minas;ciencia da computacao;2;0;31;27;16;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;100.0;0.0;59.26
centro universitario euripedes de marilia;ciencia da computacao;10;5;35;51;28;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;66.67;33.33;54.9
centro universitario fieo;ciencia da computacao;0;16;35;89;56;computacao e tecnologias da informacao e comunicacao (tic);16;0.15;0.0;100.0;62.92
centro universitario filadelfia;ciencia da computacao;0;3;41;42;28;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;66.67
centro universitario luterano de palmas;ciencia da computacao;0;2;17;22;17;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;77.27
centro universitario nossa senhora do patrocinio;ciencia da computacao;0;1;35;65;42;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;64.62
centro universitario planalto do distrito federal - uniplan;ciencia da computacao;0;4;53;18;18;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;100.0
centro universitario salesiano de sao paulo;ciencia da computacao;0;4;35;60;34;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;56.67
centro universitario senac;ciencia da computacao;5;1;35;52;42;computacao e tecnologias da informacao e comunicacao (tic);6;0.06;83.33;16.67;80.77
faculdade anhanguera de indaiatuba;ciencia da computacao;2;1;35;49;8;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;16.33
faculdade anhanguera de jundiai;ciencia da computacao;19;2;35;80;22;computacao e tecnologias da informacao e comunicacao (tic);21;0.19;90.48;9.52;27.5
faculdade anhanguera de limeira;ciencia da computacao;10;3;35;71;24;computacao e tecnologias da informacao e comunicacao (tic);13;0.12;76.92;23.08;33.8
faculdade anhanguera de rio claro;ciencia da computacao;2;0;35;36;8;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;100.0;0.0;22.22
faculdade anhanguera de santa barbara;ciencia da computacao;9;6;35;41;13;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;60.0;40.0;31.71
faculdade anhanguera de taubate;ciencia da computacao;13;4;35;67;22;computacao e tecnologias da informacao e comunicacao (tic);17;0.16;76.47;23.53;32.84
faculdade anhanguera de valinhos;ciencia da computacao;10;4;35;40;15;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;71.43;28.57;37.5
faculdade anhanguera de bauru;ciencia da computacao;11;5;35;57;13;computacao e tecnologias da informacao e comunicacao (tic);16;0.15;68.75;31.25;22.81
faculdade anhanguera de campinas;ciencia da computacao;21;5;35;112;21;computacao e tecnologias da informacao e comunicacao (tic);26;0.24;80.77;19.23;18.75
faculdade anhanguera de piracicaba;ciencia da computacao;3;2;35;54;18;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;60.0;40.0;33.33
faculdade anhanguera de sao jose;ciencia da computacao;2;1;35;41;13;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;31.71
faculdade de americana;ciencia da computacao;0;7;35;57;37;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;64.91
faculdade de cascavel;ciencia da computacao;1;4;41;37;5;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;20.0;80.0;13.51
faculdade de economia e processamento de dados de foz do iguacu;ciencia da computacao;0;2;41;31;26;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;83.87
faculdade de sao paulo;ciencia da computacao;0;7;35;11;11;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;100.0
faculdade estacio de teresina;ciencia da computacao;0;8;22;74;27;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;36.49
faculdade nova roma;ciencia da computacao;7;3;26;11;4;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;70.0;30.0;36.36
faculdade pitagoras de belo horizonte;ciencia da computacao;0;7;31;66;36;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;54.55
faculdade pitagoras de guarapari;ciencia da computacao;0;3;32;26;17;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;65.38
