;instituicao;curso;qtd_bolsas;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;abeu - centro universitario;administracao;16;33.0;493;310;negocios, administracao e direito;3.25;62.88
1;abeu - centro universitario;analise e desenvolvimento de sistemas;15;33.0;167;104;computacao e tecnologias da informacao e comunicacao (tic);8.98;62.28
2;abeu - centro universitario;ciencias contabeis;6;33.0;119;70;negocios, administracao e direito;5.04;58.82
3;abeu - centro universitario;educacao fisica;23;33.0;441;187;educacao;5.22;42.4
4;abeu - centro universitario;enfermagem;13;33.0;275;164;saude e bem-estar;4.73;59.64
5;abeu - centro universitario;farmacia;13;33.0;211;108;saude e bem-estar;6.16;51.18
6;abeu - centro universitario;fisioterapia;3;33.0;97;55;saude e bem-estar;3.09;56.7
7;abeu - centro universitario;gestao de recursos humanos;7;33.0;279;138;negocios, administracao e direito;2.51;49.46
8;abeu - centro universitario;letras;9;33.0;135;84;educacao;6.67;62.22
9;abeu - centro universitario;logistica;4;33.0;135;75;negocios, administracao e direito;2.96;55.56
10;abeu - centro universitario;matematica;4;33.0;76;50;educacao;5.26;65.79
11;abeu - centro universitario;pedagogia;6;33.0;170;90;educacao;3.53;52.94
12;abeu - centro universitario;psicologia;18;33.0;207;88;ciencias sociais, comunicacao e informacao;8.7;42.51
13;abeu - centro universitario;redes de computadores;6;33.0;11;6;computacao e tecnologias da informacao e comunicacao (tic);54.55;54.55
14;abeu - centro universitario;servico social;1;33.0;95;54;saude e bem-estar;1.05;56.84
15;centro de ensino superior de ilheus;administracao;9;29.0;108;88;negocios, administracao e direito;8.33;81.48
16;centro de ensino superior de ilheus;ciencias contabeis;19;29.0;79;57;negocios, administracao e direito;24.05;72.15
17;centro de ensino superior de ilheus;direito;31;29.0;240;124;negocios, administracao e direito;12.92;51.67
18;centro de ensino superior de ilheus;enfermagem;25;29.0;122;82;saude e bem-estar;20.49;67.21
19;centro de ensino superior de ilheus;nutricao;45;29.0;118;69;saude e bem-estar;38.14;58.47
20;centro de ensino superior de vitoria;direito;5;32.0;27;18;negocios, administracao e direito;18.52;66.67
21;centro de ensino superior de vitoria;letras - ingles;2;32.0;7;7;educacao;28.57;100.0
22;centro de ensino superior de vitoria;letras - lingua portuguesa;2;32.0;11;10;educacao;18.18;90.91
23;centro de ensino superior do amapa;arquitetura e urbanismo;8;16.0;169;98;engenharia, producao e construcao;4.73;57.99
24;centro de ensino superior do amapa;design;4;16.0;45;28;artes e humanidades;8.89;62.22
25;centro de ensino superior do amapa;direito;2;16.0;277;126;negocios, administracao e direito;0.72;45.49
26;centro de ensino superior do amapa;educacao fisica;14;16.0;98;65;educacao;14.29;66.33
27;centro regional universitario de espirito santo do pinhal;administracao;1;35.0;66;27;negocios, administracao e direito;1.52;40.91
28;centro regional universitario de espirito santo do pinhal;direito;1;35.0;69;40;negocios, administracao e direito;1.45;57.97
29;centro regional universitario de espirito santo do pinhal;enfermagem;1;35.0;6;4;saude e bem-estar;16.67;66.67
30;centro regional universitario de espirito santo do pinhal;medicina veterinaria;2;35.0;34;23;agricultura, silvicultura, pesca e veterinaria;5.88;67.65
31;centro tecnico-educacional superior do oeste paranaense;administracao;1;41.0;59;19;negocios, administracao e direito;1.69;32.2
32;centro tecnico-educacional superior do oeste paranaense;pedagogia;1;41.0;39;19;educacao;2.56;48.72
33;centro universitario projecao;administracao;40;53.0;213;137;negocios, administracao e direito;18.78;64.32
34;centro universitario projecao;analise e desenvolvimento de sistemas;18;53.0;159;94;computacao e tecnologias da informacao e comunicacao (tic);11.32;59.12
35;centro universitario projecao;ciencias contabeis;4;53.0;127;70;negocios, administracao e direito;3.15;55.12
36;centro universitario projecao;comunicacao social - publicidade e propaganda;21;53.0;92;56;negocios, administracao e direito;22.83;60.87
37;centro universitario projecao;direito;69;53.0;231;92;negocios, administracao e direito;29.87;39.83
38;centro universitario projecao;logistica;8;53.0;63;30;negocios, administracao e direito;12.7;47.62
39;centro universitario projecao;redes de computadores;8;53.0;66;33;computacao e tecnologias da informacao e comunicacao (tic);12.12;50.0
40;centro universitario projecao;sistema de informacao;13;53.0;25;25;computacao e tecnologias da informacao e comunicacao (tic);52.0;100.0
41;centro universitario adventista de sao paulo;administracao;13;35.0;433;277;negocios, administracao e direito;3.0;63.97
42;centro universitario adventista de sao paulo;analise e desenvolvimento de sistemas;3;35.0;98;71;computacao e tecnologias da informacao e comunicacao (tic);3.06;72.45
43;centro universitario adventista de sao paulo;ciencia da computacao;3;35.0;51;33;computacao e tecnologias da informacao e comunicacao (tic);5.88;64.71
44;centro universitario adventista de sao paulo;ciencias biologicas;4;35.0;102;64;educacao;3.92;62.75
45;centro universitario adventista de sao paulo;ciencias contabeis;6;35.0;141;67;negocios, administracao e direito;4.26;47.52
46;centro universitario adventista de sao paulo;comunicacao social - publicidade e propaganda;7;35.0;120;86;negocios, administracao e direito;5.83;71.67
47;centro universitario adventista de sao paulo;direito;6;35.0;187;96;negocios, administracao e direito;3.21;51.34
48;centro universitario adventista de sao paulo;educacao fisica;5;35.0;318;160;educacao;1.57;50.31
49;centro universitario adventista de sao paulo;enfermagem;5;35.0;55;22;saude e bem-estar;9.09;40.0
50;centro universitario adventista de sao paulo;engenharia civil;16;35.0;192;127;engenharia, producao e construcao;8.33;66.15
51;centro universitario adventista de sao paulo;fisioterapia;6;35.0;83;36;saude e bem-estar;7.23;43.37
52;centro universitario adventista de sao paulo;historia;3;35.0;45;31;educacao;6.67;68.89
53;centro universitario adventista de sao paulo;jornalismo;3;35.0;32;7;ciencias sociais, comunicacao e informacao;9.38;21.88
54;centro universitario adventista de sao paulo;letras - ingles;3;35.0;15;9;educacao;20.0;60.0
55;centro universitario adventista de sao paulo;letras - portugues;3;35.0;37;26;educacao;8.11;70.27
56;centro universitario adventista de sao paulo;matematica;3;35.0;72;41;educacao;4.17;56.94
57;centro universitario adventista de sao paulo;musica;4;35.0;59;44;educacao;6.78;74.58
58;centro universitario adventista de sao paulo;nutricao;4;35.0;56;27;saude e bem-estar;7.14;48.21
