;instituicao;curso;qtd_bolsas;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
59;centro universitario adventista de sao paulo;pedagogia;15;35.0;480;209;educacao;3.12;43.54
60;centro universitario adventista de sao paulo;psicologia;7;35.0;119;50;ciencias sociais, comunicacao e informacao;5.88;42.02
61;centro universitario adventista de sao paulo;sistemas para internet;4;35.0;45;34;computacao e tecnologias da informacao e comunicacao (tic);8.89;75.56
62;centro universitario adventista de sao paulo;teologia;12;35.0;131;34;artes e humanidades;9.16;25.95
63;centro universitario adventista de sao paulo;tradutor e interprete;1;35.0;50;37;artes e humanidades;2.0;74.0
64;centro universitario amparense;analise e desenvolvimento de sistemas;1;35.0;29;22;computacao e tecnologias da informacao e comunicacao (tic);3.45;75.86
65;centro universitario amparense;biomedicina;3;35.0;16;13;saude e bem-estar;18.75;81.25
66;centro universitario amparense;ciencias biologicas;8;35.0;13;11;ciencias naturais, matematica e estatistica;61.54;84.62
67;centro universitario amparense;ciencias contabeis;6;35.0;9;7;negocios, administracao e direito;66.67;77.78
68;centro universitario amparense;educacao fisica;20;35.0;55;24;saude e bem-estar;36.36;43.64
69;centro universitario amparense;engenharia civil;9;35.0;50;35;engenharia, producao e construcao;18.0;70.0
70;centro universitario amparense;engenharia de producao;6;35.0;15;14;engenharia, producao e construcao;40.0;93.33
71;centro universitario amparense;gestao ambiental;4;35.0;14;6;engenharia, producao e construcao;28.57;42.86
72;centro universitario amparense;gestao da producao industrial;9;35.0;20;12;negocios, administracao e direito;45.0;60.0
73;centro universitario amparense;gestao da qualidade;7;35.0;20;12;negocios, administracao e direito;35.0;60.0
74;centro universitario amparense;gestao de recursos humanos;16;35.0;34;11;negocios, administracao e direito;47.06;32.35
75;centro universitario amparense;letras - portugues e ingles;9;35.0;11;8;educacao;81.82;72.73
76;centro universitario amparense;marketing;9;35.0;29;16;negocios, administracao e direito;31.03;55.17
77;centro universitario amparense;quimica;9;35.0;32;23;ciencias naturais, matematica e estatistica;28.12;71.88
78;centro universitario amparense;servico social;6;35.0;22;14;saude e bem-estar;27.27;63.64
79;centro universitario anhanguera de campo grande;administracao;29;50.0;312;173;negocios, administracao e direito;9.29;55.45
80;centro universitario anhanguera de campo grande;ciencia da computacao;10;50.0;63;51;computacao e tecnologias da informacao e comunicacao (tic);15.87;80.95
81;centro universitario anhanguera de campo grande;ciencias contabeis;13;50.0;111;58;negocios, administracao e direito;11.71;52.25
82;centro universitario anhanguera de campo grande;comunicacao social - publicidade e propaganda;12;50.0;44;29;negocios, administracao e direito;27.27;65.91
83;centro universitario anhanguera de campo grande;design de interiores;19;50.0;183;76;artes e humanidades;10.38;41.53
84;centro universitario anhanguera de campo grande;direito;41;50.0;487;263;negocios, administracao e direito;8.42;54.0
85;centro universitario anhanguera de campo grande;enfermagem;41;50.0;204;98;saude e bem-estar;20.1;48.04
86;centro universitario anhanguera de campo grande;engenharia de controle e automacao;25;50.0;77;39;engenharia, producao e construcao;32.47;50.65
87;centro universitario anhanguera de campo grande;engenharia de producao;23;50.0;115;69;engenharia, producao e construcao;20.0;60.0
88;centro universitario anhanguera de campo grande;engenharia mecanica;30;50.0;128;65;engenharia, producao e construcao;23.44;50.78
89;centro universitario anhanguera de campo grande;fisioterapia;31;50.0;112;56;saude e bem-estar;27.68;50.0
90;centro universitario anhanguera de campo grande;logistica;23;50.0;79;26;negocios, administracao e direito;29.11;32.91
91;centro universitario anhanguera de campo grande;pedagogia;14;50.0;122;50;educacao;11.48;40.98
92;centro universitario anhanguera de campo grande;producao sucroalcooleira;20;50.0;40;26;engenharia, producao e construcao;50.0;65.0
93;centro universitario anhanguera de campo grande;redes de computadores;13;50.0;63;38;computacao e tecnologias da informacao e comunicacao (tic);20.63;60.32
94;centro universitario anhanguera de campo grande;relacoes internacionais;9;50.0;59;27;ciencias sociais, comunicacao e informacao;15.25;45.76
95;centro universitario anhanguera de niteroi;administracao;13;33.0;187;149;negocios, administracao e direito;6.95;79.68
96;centro universitario anhanguera de niteroi;arquitetura e urbanismo;18;33.0;207;107;engenharia, producao e construcao;8.7;51.69
97;centro universitario anhanguera de niteroi;biomedicina;6;33.0;48;33;saude e bem-estar;12.5;68.75
98;centro universitario anhanguera de niteroi;ciencia da computacao;3;33.0;138;102;computacao e tecnologias da informacao e comunicacao (tic);2.17;73.91
99;centro universitario anhanguera de niteroi;ciencias contabeis;5;33.0;114;77;negocios, administracao e direito;4.39;67.54
100;centro universitario anhanguera de niteroi;comunicacao social - publicidade e propaganda;12;33.0;55;55;negocios, administracao e direito;21.82;100.0
101;centro universitario anhanguera de niteroi;design de moda;5;33.0;94;42;artes e humanidades;5.32;44.68
102;centro universitario anhanguera de niteroi;direito;23;33.0;253;123;negocios, administracao e direito;9.09;48.62
103;centro universitario anhanguera de niteroi;enfermagem;43;33.0;256;123;saude e bem-estar;16.8;48.05
104;centro universitario anhanguera de niteroi;farmacia;6;33.0;52;30;saude e bem-estar;11.54;57.69
105;centro universitario anhanguera de niteroi;fisioterapia;17;33.0;81;50;saude e bem-estar;20.99;61.73
106;centro universitario anhanguera de niteroi;gestao ambiental;6;33.0;178;72;engenharia, producao e construcao;3.37;40.45
107;centro universitario anhanguera de niteroi;gestao de turismo;10;33.0;60;32;servicos;16.67;53.33
108;centro universitario anhanguera de niteroi;marketing;2;33.0;50;29;negocios, administracao e direito;4.0;58.0
109;centro universitario anhanguera de niteroi;medicina veterinaria;6;33.0;96;64;agricultura, silvicultura, pesca e veterinaria;6.25;66.67
110;centro universitario anhanguera de niteroi;nutricao;3;33.0;69;36;saude e bem-estar;4.35;52.17
111;centro universitario anhanguera de niteroi;servico social;9;33.0;211;121;saude e bem-estar;4.27;57.35
112;centro universitario anhanguera de sao paulo;administracao;76;35.0;441;224;negocios, administracao e direito;17.23;50.79
113;centro universitario anhanguera de sao paulo;analise e desenvolvimento de sistemas;21;35.0;90;61;computacao e tecnologias da informacao e comunicacao (tic);23.33;67.78
114;centro universitario anhanguera de sao paulo;ciencias contabeis;40;35.0;187;74;negocios, administracao e direito;21.39;39.57
115;centro universitario anhanguera de sao paulo;comunicacao social - publicidade e propaganda;30;35.0;39;28;negocios, administracao e direito;76.92;71.79
116;centro universitario anhanguera de sao paulo;design;5;35.0;90;45;artes e humanidades;5.56;50.0
118;centro universitario anhanguera de sao paulo;direito;13;35.0;102;91;negocios, administracao e direito;12.75;89.22
119;centro universitario anhanguera de sao paulo;engenharia mecanica;64;35.0;325;206;engenharia, producao e construcao;19.69;63.38
120;centro universitario anhanguera de sao paulo;gestao de recursos humanos;80;35.0;420;121;negocios, administracao e direito;19.05;28.81
121;centro universitario anhanguera de sao paulo;letras - portugues e ingles;13;35.0;71;32;artes e humanidades;18.31;45.07
122;centro universitario anhanguera de sao paulo;logistica;49;35.0;278;82;negocios, administracao e direito;17.63;29.5
123;centro universitario anhanguera de sao paulo;marketing;35;35.0;169;59;negocios, administracao e direito;20.71;34.91
124;centro universitario anhanguera de sao paulo;pedagogia;78;35.0;301;133;educacao;25.91;44.19
125;centro universitario anhanguera de sao paulo;servico social;14;35.0;44;23;saude e bem-estar;31.82;52.27
126;centro universitario anhanguera de sao paulo;turismo;18;35.0;65;39;servicos;27.69;60.0
127;centro universitario anhanguera;administracao;52;35.0;242;124;negocios, administracao e direito;21.49;51.24
128;centro universitario anhanguera;ciencia da computacao;16;35.0;52;25;computacao e tecnologias da informacao e comunicacao (tic);30.77;48.08
129;centro universitario anhanguera;ciencias biologicas;10;35.0;14;11;educacao;71.43;78.57
130;centro universitario anhanguera;ciencias contabeis;16;35.0;34;22;negocios, administracao e direito;47.06;64.71
131;centro universitario anhanguera;direito;18;35.0;101;42;negocios, administracao e direito;17.82;41.58
132;centro universitario anhanguera;educacao fisica;29;35.0;76;38;educacao;38.16;50.0
133;centro universitario anhanguera;enfermagem;9;35.0;46;17;saude e bem-estar;19.57;36.96
134;centro universitario anhanguera;engenharia de producao;26;35.0;101;50;engenharia, producao e construcao;25.74;49.5
135;centro universitario anhanguera;engenharia de producao mecanica;9;35.0;89;37;engenharia, producao e construcao;10.11;41.57
136;centro universitario anhanguera;gestao de recursos humanos;15;35.0;22;13;negocios, administracao e direito;68.18;59.09
137;centro universitario anhanguera;medicina veterinaria;12;35.0;69;31;agricultura, silvicultura, pesca e veterinaria;17.39;44.93
138;centro universitario anhanguera;pedagogia;9;35.0;56;18;educacao;16.07;32.14
140;centro universitario anhanguera;psicologia;22;35.0;58;17;ciencias sociais, comunicacao e informacao;37.93;29.31
141;centro universitario autonomo do brasil;ciencias contabeis;1;41.0;152;98;negocios, administracao e direito;0.66;64.47
142;centro universitario autonomo do brasil;design;3;41.0;90;59;artes e humanidades;3.33;65.56
143;centro universitario autonomo do brasil;direito;82;41.0;614;412;negocios, administracao e direito;13.36;67.1
144;centro universitario autonomo do brasil;educacao fisica;10;41.0;328;215;educacao;3.05;65.55
145;centro universitario autonomo do brasil;enfermagem;3;41.0;63;37;saude e bem-estar;4.76;58.73
146;centro universitario autonomo do brasil;farmacia;3;41.0;82;48;saude e bem-estar;3.66;58.54
147;centro universitario autonomo do brasil;nutricao;1;41.0;80;45;saude e bem-estar;1.25;56.25
148;centro universitario autonomo do brasil;pedagogia;20;41.0;154;76;educacao;12.99;49.35
149;centro universitario autonomo do brasil;psicologia;1;41.0;107;73;ciencias sociais, comunicacao e informacao;0.93;68.22
150;centro universitario autonomo do brasil;relacoes publicas;1;41.0;21;8;negocios, administracao e direito;4.76;38.1
151;centro universitario autonomo do brasil;servico social;1;41.0;66;34;saude e bem-estar;1.52;51.52
152;centro universitario barao de maua;administracao;1;35.0;105;52;negocios, administracao e direito;0.95;49.52
153;centro universitario barao de maua;arquitetura e urbanismo;2;35.0;59;25;engenharia, producao e construcao;3.39;42.37
154;centro universitario barao de maua;biomedicina;5;35.0;94;47;saude e bem-estar;5.32;50.0
155;centro universitario barao de maua;ciencia da computacao;1;35.0;48;36;computacao e tecnologias da informacao e comunicacao (tic);2.08;75.0
156;centro universitario barao de maua;ciencias biologicas;6;35.0;60;40;educacao;10.0;66.67
157;centro universitario barao de maua;comunicacao social - jornalismo;1;35.0;41;22;ciencias sociais, comunicacao e informacao;2.44;53.66
158;centro universitario barao de maua;comunicacao social - publicidade e propaganda;3;35.0;71;39;negocios, administracao e direito;4.23;54.93
159;centro universitario barao de maua;direito;1;35.0;89;44;negocios, administracao e direito;1.12;49.44
160;centro universitario barao de maua;educacao artistica;2;35.0;21;8;educacao;9.52;38.1
161;centro universitario barao de maua;enfermagem;9;35.0;101;56;saude e bem-estar;8.91;55.45
162;centro universitario barao de maua;engenharia ambiental;6;35.0;42;17;engenharia, producao e construcao;14.29;40.48
163;centro universitario barao de maua;fisioterapia;3;35.0;107;45;saude e bem-estar;2.8;42.06
164;centro universitario barao de maua;gastronomia;4;35.0;56;26;servicos;7.14;46.43
165;centro universitario barao de maua;historia;1;35.0;33;18;educacao;3.03;54.55
166;centro universitario barao de maua;letras - portugues e ingles;1;35.0;38;18;educacao;2.63;47.37
167;centro universitario barao de maua;medicina;6;35.0;70;6;saude e bem-estar;8.57;8.57
168;centro universitario barao de maua;medicina veterinaria;1;35.0;47;24;agricultura, silvicultura, pesca e veterinaria;2.13;51.06
169;centro universitario barao de maua;psicologia;12;35.0;115;61;ciencias sociais, comunicacao e informacao;10.43;53.04
170;centro universitario barao de maua;sistemas para internet;1;35.0;17;13;computacao e tecnologias da informacao e comunicacao (tic);5.88;76.47
171;centro universitario barao de maua;turismo;1;35.0;37;16;servicos;2.7;43.24
172;centro universitario belas artes de sao paulo;arquitetura e urbanismo;18;35.0;361;169;engenharia, producao e construcao;4.99;46.81
173;centro universitario belas artes de sao paulo;artes visuais, pintura, gravura e escultura;23;35.0;136;83;artes e humanidades;16.91;61.03
174;centro universitario belas artes de sao paulo;comunicacao social - publicidade e propaganda;29;35.0;207;101;negocios, administracao e direito;14.01;48.79
175;centro universitario belas artes de sao paulo;comunicacao social - radialismo (radio e tv);2;35.0;38;17;ciencias sociais, comunicacao e informacao;5.26;44.74
176;centro universitario belas artes de sao paulo;design de moda;8;35.0;144;86;artes e humanidades;5.56;59.72
177;centro universitario belas artes de sao paulo;design de produto;13;35.0;85;40;artes e humanidades;15.29;47.06
178;centro universitario belas artes de sao paulo;design grafico;22;35.0;175;86;artes e humanidades;12.57;49.14
179;centro universitario belas artes de sao paulo;relacoes internacionais;5;35.0;84;57;ciencias sociais, comunicacao e informacao;5.95;67.86
180;centro universitario campos de andrade;administracao;6;41.0;43;27;negocios, administracao e direito;13.95;62.79
181;centro universitario campos de andrade;analise e desenvolvimento de sistemas;13;41.0;18;12;computacao e tecnologias da informacao e comunicacao (tic);72.22;66.67
182;centro universitario campos de andrade;ciencia da computacao;4;41.0;24;17;computacao e tecnologias da informacao e comunicacao (tic);16.67;70.83
183;centro universitario campos de andrade;ciencias biologicas;4;41.0;20;12;educacao;20.0;60.0
184;centro universitario campos de andrade;ciencias contabeis;9;41.0;11;11;negocios, administracao e direito;81.82;100.0
185;centro universitario campos de andrade;direito;2;41.0;115;78;negocios, administracao e direito;1.74;67.83
186;centro universitario campos de andrade;educacao fisica;39;41.0;189;76;educacao;20.63;40.21
187;centro universitario campos de andrade;enfermagem;63;41.0;187;67;saude e bem-estar;33.69;35.83
188;centro universitario campos de andrade;fisioterapia;56;41.0;84;60;saude e bem-estar;66.67;71.43
189;centro universitario campos de andrade;geografia;5;41.0;8;8;educacao;62.5;100.0
190;centro universitario campos de andrade;historia;17;41.0;28;19;educacao;60.71;67.86
191;centro universitario campos de andrade;nutricao;36;41.0;46;17;saude e bem-estar;78.26;36.96
192;centro universitario campos de andrade;pedagogia;2;41.0;24;16;educacao;8.33;66.67
193;centro universitario campos de andrade;psicologia;29;41.0;63;49;ciencias sociais, comunicacao e informacao;46.03;77.78
194;centro universitario catolica de quixada;administracao;1;23.0;44;32;negocios, administracao e direito;2.27;72.73
195;centro universitario catolica de quixada;arquitetura e urbanismo;1;23.0;26;14;engenharia, producao e construcao;3.85;53.85
196;centro universitario catolica de quixada;ciencias contabeis;4;23.0;24;10;negocios, administracao e direito;16.67;41.67
197;centro universitario catolica de quixada;direito;5;23.0;34;15;negocios, administracao e direito;14.71;44.12
198;centro universitario catolica de quixada;enfermagem;7;23.0;49;24;saude e bem-estar;14.29;48.98
199;centro universitario catolica de quixada;farmacia;1;23.0;14;7;saude e bem-estar;7.14;50.0
200;centro universitario catolica de quixada;filosofia;3;23.0;14;2;artes e humanidades;21.43;14.29
201;centro universitario catolica de quixada;fisioterapia;4;23.0;14;10;saude e bem-estar;28.57;71.43
202;centro universitario catolica de quixada;odontologia;9;23.0;55;13;saude e bem-estar;16.36;23.64
203;centro universitario catolica de quixada;psicologia;1;23.0;79;31;ciencias sociais, comunicacao e informacao;1.27;39.24
204;centro universitario catolica de quixada;sistemas de informacao;4;23.0;49;25;computacao e tecnologias da informacao e comunicacao (tic);8.16;51.02
205;centro universitario catolico salesiano auxilium;administracao;41;35.0;232;126;negocios, administracao e direito;17.67;54.31
206;centro universitario catolico salesiano auxilium;ciencias contabeis;18;35.0;125;56;negocios, administracao e direito;14.4;44.8
207;centro universitario catolico salesiano auxilium;comunicacao social;7;35.0;49;30;negocios, administracao e direito;14.29;61.22
208;centro universitario catolico salesiano auxilium;desenvolvimento de sistemas;5;35.0;63;36;computacao e tecnologias da informacao e comunicacao (tic);7.94;57.14
209;centro universitario catolico salesiano auxilium;direito;13;35.0;301;176;negocios, administracao e direito;4.32;58.47
210;centro universitario catolico salesiano auxilium;educacao fisica;17;35.0;112;56;educacao;15.18;50.0
211;centro universitario catolico salesiano auxilium;enfermagem;25;35.0;134;78;saude e bem-estar;18.66;58.21
212;centro universitario catolico salesiano auxilium;engenharia;1;35.0;152;99;engenharia, producao e construcao;0.66;65.13
213;centro universitario catolico salesiano auxilium;engenharia eletrica;5;35.0;157;88;engenharia, producao e construcao;3.18;56.05
214;centro universitario catolico salesiano auxilium;farmacia;6;35.0;27;11;saude e bem-estar;22.22;40.74
215;centro universitario catolico salesiano auxilium;fisioterapia;12;35.0;136;78;saude e bem-estar;8.82;57.35
216;centro universitario catolico salesiano auxilium;gestao ambiental;6;35.0;28;11;engenharia, producao e construcao;21.43;39.29
217;centro universitario catolico salesiano auxilium;pedagogia;4;35.0;94;44;educacao;4.26;46.81
218;centro universitario catolico salesiano auxilium;psicologia;14;35.0;63;16;ciencias sociais, comunicacao e informacao;22.22;25.4
219;centro universitario catolico salesiano auxilium;quimica;10;35.0;69;32;ciencias naturais, matematica e estatistica;14.49;46.38
220;centro universitario catolico salesiano auxilium;sistemas para internet;4;35.0;27;18;computacao e tecnologias da informacao e comunicacao (tic);14.81;66.67
221;centro universitario central paulista;administracao;4;35.0;411;251;negocios, administracao e direito;0.97;61.07
222;centro universitario central paulista;arquitetura e urbanismo;21;35.0;161;103;engenharia, producao e construcao;13.04;63.98
223;centro universitario central paulista;biomedicina;1;35.0;48;36;saude e bem-estar;2.08;75.0
224;centro universitario central paulista;ciencias biologicas;18;35.0;48;31;educacao;37.5;64.58
225;centro universitario central paulista;comunicacao social - publicidade e propaganda;10;35.0;83;44;negocios, administracao e direito;12.05;53.01
226;centro universitario central paulista;direito;16;35.0;148;90;negocios, administracao e direito;10.81;60.81
227;centro universitario central paulista;educacao fisica;21;35.0;156;85;educacao;13.46;54.49
228;centro universitario central paulista;enfermagem;5;35.0;37;19;saude e bem-estar;13.51;51.35
229;centro universitario central paulista;engenharia de computacao;5;35.0;35;28;engenharia, producao e construcao;14.29;80.0
230;centro universitario central paulista;engenharia de producao;18;35.0;345;221;engenharia, producao e construcao;5.22;64.06
231;centro universitario central paulista;engenharia eletrica;14;35.0;74;55;engenharia, producao e construcao;18.92;74.32
232;centro universitario central paulista;farmacia;11;35.0;64;30;saude e bem-estar;17.19;46.88
233;centro universitario central paulista;fisioterapia;11;35.0;74;49;saude e bem-estar;14.86;66.22
234;centro universitario central paulista;gestao de turismo;7;35.0;21;10;servicos;33.33;47.62
235;centro universitario central paulista;historia;4;35.0;23;13;educacao;17.39;56.52
236;centro universitario central paulista;letras - portugues e ingles;9;35.0;38;30;educacao;23.68;78.95
237;centro universitario central paulista;manutencao de aeronaves;17;35.0;57;43;engenharia, producao e construcao;29.82;75.44
238;centro universitario central paulista;nutricao;9;35.0;56;31;saude e bem-estar;16.07;55.36
239;centro universitario central paulista;producao sucroalcooleira;14;35.0;24;23;engenharia, producao e construcao;58.33;95.83
240;centro universitario central paulista;psicologia;15;35.0;115;73;ciencias sociais, comunicacao e informacao;13.04;63.48
241;centro universitario central paulista;radiologia;17;35.0;50;37;saude e bem-estar;34.0;74.0
242;centro universitario central paulista;sistemas de informacao;5;35.0;53;40;computacao e tecnologias da informacao e comunicacao (tic);9.43;75.47
243;centro universitario christus;administracao;40;23.0;78;45;negocios, administracao e direito;51.28;57.69
244;centro universitario christus;ciencias contabeis;19;23.0;62;29;negocios, administracao e direito;30.65;46.77
245;centro universitario christus;direito;25;23.0;121;64;negocios, administracao e direito;20.66;52.89
246;centro universitario christus;fisioterapia;20;23.0;24;8;saude e bem-estar;83.33;33.33
247;centro universitario christus;medicina;38;23.0;100;4;saude e bem-estar;38.0;4.0
248;centro universitario christus;sistemas de informacao;7;23.0;23;14;computacao e tecnologias da informacao e comunicacao (tic);30.43;60.87
249;centro universitario claretiano;administracao;15;35.0;104;43;negocios, administracao e direito;14.42;41.35
250;centro universitario claretiano;ciencias biologicas;5;35.0;34;25;educacao;14.71;73.53
251;centro universitario claretiano;educacao fisica;10;35.0;151;72;educacao;6.62;47.68
252;centro universitario claretiano;enfermagem;6;35.0;42;20;saude e bem-estar;14.29;47.62
253;centro universitario claretiano;filosofia;4;35.0;17;10;educacao;23.53;58.82
254;centro universitario claretiano;fisioterapia;18;35.0;106;54;saude e bem-estar;16.98;50.94
255;centro universitario claretiano;gestao de recursos humanos;7;35.0;109;42;negocios, administracao e direito;6.42;38.53
256;centro universitario claretiano;letras - portugues e ingles;2;35.0;9;9;educacao;22.22;100.0
257;centro universitario claretiano;nutricao;5;35.0;34;13;saude e bem-estar;14.71;38.24
258;centro universitario claretiano;pedagogia;8;35.0;116;65;educacao;6.9;56.03
259;centro universitario claretiano;quimica;6;35.0;22;11;educacao;27.27;50.0
260;centro universitario claretiano;sistemas de informacao;10;35.0;33;16;computacao e tecnologias da informacao e comunicacao (tic);30.3;48.48
261;centro universitario curitiba;administracao;36;41.0;120;77;negocios, administracao e direito;30.0;64.17
262;centro universitario curitiba;design de interiores;34;41.0;116;55;artes e humanidades;29.31;47.41
263;centro universitario curitiba;design grafico;46;41.0;148;81;artes e humanidades;31.08;54.73
264;centro universitario curitiba;direito;138;41.0;936;440;negocios, administracao e direito;14.74;47.01
265;centro universitario curitiba;eventos;12;41.0;38;19;servicos;31.58;50.0
266;centro universitario curitiba;gestao da producao industrial;15;41.0;43;30;negocios, administracao e direito;34.88;69.77
267;centro universitario curitiba;gestao de recursos humanos;39;41.0;109;47;negocios, administracao e direito;35.78;43.12
268;centro universitario curitiba;gestao financeira;25;41.0;78;39;negocios, administracao e direito;32.05;50.0
269;centro universitario curitiba;logistica;32;41.0;68;35;negocios, administracao e direito;47.06;51.47
270;centro universitario curitiba;marketing;16;41.0;46;30;negocios, administracao e direito;34.78;65.22
271;centro universitario curitiba;relacoes internacionais;23;41.0;156;94;ciencias sociais, comunicacao e informacao;14.74;60.26
272;centro universitario da cidade;administracao;59;33.0;737;733;negocios, administracao e direito;8.01;99.46
