instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
universidade catolica de brasilia;ciencia da computacao;0;11;53;79;54;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;68.35
universidade catolica de pernambuco;ciencia da computacao;0;8;26;102;60;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;58.82
universidade catolica de santos;ciencia da computacao;0;6;35;30;12;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;40.0
universidade cidade de sao paulo;ciencia da computacao;2;3;35;38;23;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;40.0;60.0;60.53
universidade cruzeiro do sul;ciencia da computacao;9;2;35;178;144;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;81.82;18.18;80.9
universidade candido mendes;ciencia da computacao;0;1;33;23;17;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;73.91
universidade de caxias do sul;ciencia da computacao;0;9;43;88;55;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;62.5
universidade de cruz alta;ciencia da computacao;0;7;43;29;14;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;48.28
universidade de franca;ciencia da computacao;8;2;35;68;41;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;80.0;20.0;60.29
universidade de itauna;ciencia da computacao;0;3;31;54;27;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;50.0
universidade de passo fundo;ciencia da computacao;14;8;43;76;35;computacao e tecnologias da informacao e comunicacao (tic);22;0.2;63.64;36.36;46.05
universidade de santa cruz do sul;ciencia da computacao;0;14;43;94;65;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;0.0;100.0;69.15
universidade de sorocaba;ciencia da computacao;0;4;35;35;22;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;62.86
universidade do extremo sul catarinense;ciencia da computacao;0;5;42;91;38;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;41.76
universidade do oeste de santa catarina;ciencia da computacao;0;7;42;87;56;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;64.37
universidade do oeste paulista;ciencia da computacao;0;2;35;30;10;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;33.33
universidade do sul de santa catarina;ciencia da computacao;0;11;42;80;51;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;63.75
universidade do vale do itajai;ciencia da computacao;3;9;42;132;93;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;25.0;75.0;70.45
universidade do vale do rio dos sinos;ciencia da computacao;3;21;43;165;110;computacao e tecnologias da informacao e comunicacao (tic);24;0.22;12.5;87.5;66.67
universidade feevale;ciencia da computacao;0;17;43;88;42;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;0.0;100.0;47.73
universidade gama filho;ciencia da computacao;0;19;33;141;140;computacao e tecnologias da informacao e comunicacao (tic);19;0.17;0.0;100.0;99.29
universidade ibirapuera;ciencia da computacao;26;0;35;49;30;computacao e tecnologias da informacao e comunicacao (tic);26;0.23;100.0;0.0;61.22
universidade jose do rosario vellano;ciencia da computacao;0;7;31;77;45;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;58.44
universidade luterana do brasil;ciencia da computacao;0;8;43;81;50;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;61.73
universidade nove de julho;ciencia da computacao;0;63;35;1101;649;computacao e tecnologias da informacao e comunicacao (tic);63;0.57;0.0;100.0;58.95
universidade paulista;ciencia da computacao;0;87;35;2124;1580;computacao e tecnologias da informacao e comunicacao (tic);87;0.79;0.0;100.0;74.39
universidade presbiteriana mackenzie;ciencia da computacao;0;10;35;161;106;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;65.84
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;2;4;43;98;76;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;33.33;66.67;77.55
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;11;7;43;134;77;computacao e tecnologias da informacao e comunicacao (tic);18;0.16;61.11;38.89;57.46
universidade salvador;ciencia da computacao;0;1;29;56;38;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;67.86
universidade sao judas tadeu;ciencia da computacao;83;5;35;183;123;computacao e tecnologias da informacao e comunicacao (tic);88;0.79;94.32;5.68;67.21
universidade tiradentes;ciencia da computacao;0;7;28;80;62;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;77.5
universidade tuiuti do parana;ciencia da computacao;1;0;41;42;40;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;100.0;0.0;95.24
universidade veiga de almeida;ciencia da computacao;4;5;33;250;148;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;44.44;55.56;59.2
universidade vila velha;ciencia da computacao;0;1;32;30;19;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;63.33
