instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;4;35;63;27;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;42.86
centro universitario anhanguera;ciencia da computacao;8;6;35;51;24;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;57.14;42.86;47.06
centro universitario barao de maua;ciencia da computacao;1;0;35;16;7;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;100.0;0.0;43.75
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;2;31;31;13;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;41.94
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;2;12;35;97;51;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;14.29;85.71;52.58
centro universitario da grande dourados;ciencia da computacao;5;1;50;60;31;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;83.33;16.67;51.67
centro universitario de belo horizonte;ciencia da computacao;0;17;31;154;100;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;0.0;100.0;64.94
centro universitario de joao pessoa;ciencia da computacao;16;19;25;193;139;computacao e tecnologias da informacao e comunicacao (tic);35;0.32;45.71;54.29;72.02
centro universitario do estado do para;ciencia da computacao;0;2;15;37;23;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;62.16
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;4;0;53;79;65;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;100.0;0.0;82.28
centro universitario do norte;ciencia da computacao;20;12;13;430;346;computacao e tecnologias da informacao e comunicacao (tic);32;0.29;62.5;37.5;80.47
centro universitario do sul de minas;ciencia da computacao;4;1;31;34;8;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;80.0;20.0;23.53
centro universitario estacio de ribeirao preto;ciencia da computacao;0;4;35;45;26;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;57.78
centro universitario euripedes de marilia;ciencia da computacao;16;4;35;39;16;computacao e tecnologias da informacao e comunicacao (tic);20;0.18;80.0;20.0;41.03
centro universitario fieo;ciencia da computacao;0;8;35;78;46;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;58.97
centro universitario filadelfia;ciencia da computacao;0;2;41;51;34;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;66.67
centro universitario luterano de palmas;ciencia da computacao;0;4;17;37;29;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;78.38
centro universitario nossa senhora do patrocinio;ciencia da computacao;1;2;35;43;26;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;33.33;66.67;60.47
centro universitario salesiano de sao paulo;ciencia da computacao;0;2;35;43;26;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;60.47
centro universitario senac;ciencia da computacao;0;1;35;46;39;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;84.78
centro universitario serra dos orgaos;ciencia da computacao;0;1;33;23;19;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;82.61
faculdade anhanguera de anapolis;ciencia da computacao;5;6;52;101;65;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;45.45;54.55;64.36
faculdade anhanguera de indaiatuba;ciencia da computacao;5;0;35;67;45;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;100.0;0.0;67.16
faculdade anhanguera de jundiai;ciencia da computacao;8;8;35;124;67;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;50.0;50.0;54.03
faculdade anhanguera de limeira;ciencia da computacao;8;5;35;100;56;computacao e tecnologias da informacao e comunicacao (tic);13;0.12;61.54;38.46;56.0
faculdade anhanguera de taubate;ciencia da computacao;2;13;35;134;87;computacao e tecnologias da informacao e comunicacao (tic);15;0.14;13.33;86.67;64.93
faculdade anhanguera de valinhos;ciencia da computacao;0;1;35;64;42;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;65.62
faculdade anhanguera pitagoras votorantim;ciencia da computacao;0;1;35;14;14;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
faculdade anhanguera de bauru;ciencia da computacao;5;1;35;93;57;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;83.33;16.67;61.29
faculdade anhanguera de campinas;ciencia da computacao;9;3;35;159;133;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;75.0;25.0;83.65
faculdade anhanguera de piracicaba;ciencia da computacao;2;2;35;72;51;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;50.0;50.0;70.83
faculdade anhanguera de ribeirao preto;ciencia da computacao;2;1;35;76;51;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;67.11
faculdade anhanguera de sao jose;ciencia da computacao;2;2;35;63;43;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;50.0;50.0;68.25
faculdade brasil norte;ciencia da computacao;0;3;16;109;92;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;84.4
faculdade de americana;ciencia da computacao;0;5;35;50;33;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;66.0
faculdade de cascavel;ciencia da computacao;10;9;41;75;55;computacao e tecnologias da informacao e comunicacao (tic);19;0.17;52.63;47.37;73.33
faculdade de economia e processamento de dados de foz do iguacu;ciencia da computacao;0;1;41;12;12;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
faculdade de educacao sao francisco;ciencia da computacao;5;3;21;30;19;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;62.5;37.5;63.33
faculdade de sao paulo;ciencia da computacao;0;2;35;175;154;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;88.0
faculdade estacio de teresina;ciencia da computacao;0;3;22;68;40;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;58.82
faculdade nova roma;ciencia da computacao;7;10;26;34;21;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;41.18;58.82;61.76
faculdade pitagoras de belo horizonte;ciencia da computacao;0;3;31;126;83;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;65.87
faculdade pitagoras de betim;ciencia da computacao;0;17;31;77;35;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;0.0;100.0;45.45
faculdade pitagoras de guarapari;ciencia da computacao;0;22;32;66;30;computacao e tecnologias da informacao e comunicacao (tic);22;0.2;0.0;100.0;45.45
faculdade pitagoras de sao luiz;ciencia da computacao;0;71;21;233;106;computacao e tecnologias da informacao e comunicacao (tic);71;0.64;0.0;100.0;45.49
faculdade pitagoras de teixeira de freitas;ciencia da computacao;0;8;29;48;33;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;68.75
faculdade sao francisco de assis;ciencia da computacao;1;1;43;26;19;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;50.0;50.0;73.08
faculdade unica de ipatinga;ciencia da computacao;0;2;31;61;24;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;39.34
fatece - faculdade de tecnologia, ciencias e educacao;ciencia da computacao;0;4;35;23;17;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;73.91
instituto cuiaba de ensino e cultura;ciencia da computacao;0;2;51;77;60;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;77.92
instituto de ensino superior da grande florianopolis;ciencia da computacao;0;11;42;75;50;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;66.67
instituto paraibano de ensino renovado;ciencia da computacao;0;5;25;82;68;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;82.93
pontificia universidade catolica de goias;ciencia da computacao;0;11;52;184;148;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;80.43
pontificia universidade catolica de minas gerais;ciencia da computacao;37;34;31;149;70;computacao e tecnologias da informacao e comunicacao (tic);71;0.64;52.11;47.89;46.98
pontificia universidade catolica de sao paulo;ciencia da computacao;0;8;35;70;45;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;64.29
pontificia universidade catolica do parana;ciencia da computacao;10;7;41;58;34;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;58.82;41.18;58.62
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;6;33;40;30;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;75.0
pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;25;43;159;98;computacao e tecnologias da informacao e comunicacao (tic);25;0.23;0.0;100.0;61.64
universidade anhembi morumbi;ciencia da computacao;0;5;35;64;46;computacao e tecnologias da informacao e comunicacao (tic);5;0.05;0.0;100.0;71.88
