;instituicao;curso;qtd_bolsas;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
380;centro universitario de anapolis;engenharia civil;12;52.0;107;39;engenharia, producao e construcao;11.21;36.45
381;centro universitario de anapolis;farmacia;7;52.0;36;14;saude e bem-estar;19.44;38.89
382;centro universitario de anapolis;fisioterapia;1;52.0;21;8;saude e bem-estar;4.76;38.1
383;centro universitario de anapolis;gastronomia;3;52.0;22;6;servicos;13.64;27.27
384;centro universitario de anapolis;gestao financeira;6;52.0;28;5;negocios, administracao e direito;21.43;17.86
385;centro universitario de anapolis;letras - portugues e ingles;4;52.0;13;5;educacao;30.77;38.46
386;centro universitario de anapolis;logistica;4;52.0;35;11;negocios, administracao e direito;11.43;31.43
387;centro universitario de anapolis;matematica;6;52.0;8;1;educacao;75.0;12.5
388;centro universitario de anapolis;medicina;4;52.0;71;3;saude e bem-estar;5.63;4.23
389;centro universitario de anapolis;odontologia;15;52.0;148;13;saude e bem-estar;10.14;8.78
390;centro universitario de anapolis;pedagogia;18;52.0;104;39;educacao;17.31;37.5
391;centro universitario de anapolis;radiologia;7;52.0;20;11;saude e bem-estar;35.0;55.0
392;centro universitario de anapolis;sistemas de informacao;7;52.0;13;8;computacao e tecnologias da informacao e comunicacao (tic);53.85;61.54
393;centro universitario de barra mansa;administracao;36;33.0;139;113;negocios, administracao e direito;25.9;81.29
394;centro universitario de barra mansa;biologia;13;33.0;47;40;ciencias naturais, matematica e estatistica;27.66;85.11
395;centro universitario de barra mansa;ciencias contabeis;10;33.0;59;45;negocios, administracao e direito;16.95;76.27
