instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;6;35;67;31;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;46.27
centro universitario anhanguera;ciencia da computacao;0;2;35;41;15;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;36.59
centro universitario barao de maua;ciencia da computacao;0;2;35;40;24;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;60.0
centro universitario campos de andrade;ciencia da computacao;21;0;41;49;35;computacao e tecnologias da informacao e comunicacao (tic);21;0.19;100.0;0.0;71.43
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;3;31;34;15;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;44.12
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;14;35;102;56;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;0.0;100.0;54.9
centro universitario da grande dourados;ciencia da computacao;6;2;50;57;22;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;75.0;25.0;38.6
centro universitario de belo horizonte;ciencia da computacao;0;13;31;159;106;computacao e tecnologias da informacao e comunicacao (tic);13;0.12;0.0;100.0;66.67
centro universitario de joao pessoa;ciencia da computacao;14;23;25;179;127;computacao e tecnologias da informacao e comunicacao (tic);37;0.33;37.84;62.16;70.95
centro universitario do estado do para;ciencia da computacao;0;1;15;33;19;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;57.58
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;3;4;53;100;83;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;42.86;57.14;83.0
centro universitario do norte;ciencia da computacao;21;12;13;327;250;computacao e tecnologias da informacao e comunicacao (tic);33;0.3;63.64;36.36;76.45
centro universitario do sul de minas;ciencia da computacao;5;1;31;24;15;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;83.33;16.67;62.5
centro universitario euripedes de marilia;ciencia da computacao;15;3;35;43;15;computacao e tecnologias da informacao e comunicacao (tic);18;0.16;83.33;16.67;34.88
centro universitario filadelfia;ciencia da computacao;0;3;41;44;35;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;79.55
centro universitario luterano de palmas;ciencia da computacao;0;10;17;50;35;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;70.0
centro universitario nossa senhora do patrocinio;ciencia da computacao;1;2;35;43;37;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;33.33;66.67;86.05
centro universitario ritter dos reis;ciencia da computacao;0;4;43;86;51;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;59.3
centro universitario senac;ciencia da computacao;2;1;35;40;31;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;77.5
centro universitario serra dos orgaos;ciencia da computacao;0;2;33;46;33;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;71.74
faculdade anhanguera de anapolis;ciencia da computacao;0;10;52;101;66;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;65.35
faculdade anhanguera de indaiatuba;ciencia da computacao;0;17;35;56;28;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;0.0;100.0;50.0
faculdade anhanguera de jundiai;ciencia da computacao;0;5;35;65;34;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;52.31
faculdade anhanguera de limeira;ciencia da computacao;0;11;35;81;55;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;67.9
faculdade anhanguera de rio claro;ciencia da computacao;0;9;35;56;37;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;66.07
faculdade anhanguera de santa barbara;ciencia da computacao;0;6;35;48;24;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;50.0
faculdade anhanguera de taubate;ciencia da computacao;0;10;35;96;60;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;62.5
faculdade anhanguera de valinhos;ciencia da computacao;0;11;35;44;21;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;47.73
faculdade anhanguera pitagoras votorantim;ciencia da computacao;0;2;35;38;38;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;100.0
faculdade anhanguera de bauru;ciencia da computacao;0;9;35;66;43;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;65.15
faculdade anhanguera de campinas;ciencia da computacao;0;58;35;235;187;computacao e tecnologias da informacao e comunicacao (tic);58;0.52;0.0;100.0;79.57
faculdade anhanguera de piracicaba;ciencia da computacao;0;7;35;63;39;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;61.9
faculdade anhanguera de sorocaba;ciencia da computacao;0;4;35;16;16;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;100.0
faculdade anhanguera de sao jose;ciencia da computacao;0;9;35;86;50;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;58.14
faculdade brasil norte;ciencia da computacao;0;4;16;68;52;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;76.47
faculdade de americana;ciencia da computacao;0;8;35;79;32;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;40.51
faculdade de cascavel;ciencia da computacao;0;4;41;64;48;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;75.0
faculdade de sao paulo;ciencia da computacao;0;1;35;201;184;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;91.54
faculdade estacio de teresina;ciencia da computacao;0;3;22;57;24;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;42.11
faculdade nova roma;ciencia da computacao;14;9;26;80;49;computacao e tecnologias da informacao e comunicacao (tic);23;0.21;60.87;39.13;61.25
faculdade pitagoras de belo horizonte;ciencia da computacao;0;4;31;57;39;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;68.42
faculdade pitagoras de betim;ciencia da computacao;0;26;31;126;64;computacao e tecnologias da informacao e comunicacao (tic);26;0.23;0.0;100.0;50.79
faculdade pitagoras de guarapari;ciencia da computacao;0;2;32;47;30;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;63.83
faculdade pitagoras de sao luiz;ciencia da computacao;0;20;21;337;185;computacao e tecnologias da informacao e comunicacao (tic);20;0.18;0.0;100.0;54.9
faculdade pitagoras de teixeira de freitas;ciencia da computacao;0;16;29;51;32;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;0.0;100.0;62.75
faculdade sao francisco de assis;ciencia da computacao;2;2;43;55;48;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;50.0;50.0;87.27
