instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
faculdade unica de ipatinga;ciencia da computacao;0;6;31;67;35;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;52.24
instituto cuiaba de ensino e cultura;ciencia da computacao;0;12;51;77;55;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;0.0;100.0;71.43
instituto de educacao superior raimundo sa;ciencia da computacao;0;11;22;20;8;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;40.0
instituto de ensino superior fucapi;ciencia da computacao;18;6;13;108;77;computacao e tecnologias da informacao e comunicacao (tic);24;0.22;75.0;25.0;71.3
instituto paraibano de ensino renovado;ciencia da computacao;0;4;25;85;67;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;78.82
pontificia universidade catolica de goias;ciencia da computacao;0;22;52;262;203;computacao e tecnologias da informacao e comunicacao (tic);22;0.2;0.0;100.0;77.48
pontificia universidade catolica de minas gerais;ciencia da computacao;42;25;31;164;85;computacao e tecnologias da informacao e comunicacao (tic);67;0.6;62.69;37.31;51.83
pontificia universidade catolica de sao paulo;ciencia da computacao;0;1;35;36;16;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;44.44
pontificia universidade catolica do parana;ciencia da computacao;0;12;41;67;55;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;0.0;100.0;82.09
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;5;33;56;40;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;71.43
pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;1;43;132;82;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;62.12
universidade anhembi morumbi;ciencia da computacao;0;2;35;46;24;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;52.17
universidade catolica de brasilia;ciencia da computacao;0;14;53;104;74;computacao e tecnologias da informacao e comunicacao (tic);14;0.13;0.0;100.0;71.15
universidade catolica de pernambuco;ciencia da computacao;0;16;26;119;71;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;0.0;100.0;59.66
universidade cruzeiro do sul;ciencia da computacao;14;6;35;156;124;computacao e tecnologias da informacao e comunicacao (tic);20;0.18;70.0;30.0;79.49
universidade da amazonia;ciencia da computacao;3;4;15;61;38;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;42.86;57.14;62.3
universidade de caxias do sul;ciencia da computacao;0;5;43;93;54;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;58.06
universidade de cruz alta;ciencia da computacao;10;1;43;28;11;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;90.91;9.09;39.29
universidade de franca;ciencia da computacao;15;2;35;79;38;computacao e tecnologias da informacao e comunicacao (tic);17;0.15;88.24;11.76;48.1
universidade de itauna;ciencia da computacao;0;3;31;43;27;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;62.79
universidade de passo fundo;ciencia da computacao;16;16;43;80;36;computacao e tecnologias da informacao e comunicacao (tic);32;0.29;50.0;50.0;45.0
universidade de santa cruz do sul;ciencia da computacao;0;8;43;109;75;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;68.81
universidade de sorocaba;ciencia da computacao;0;4;35;51;34;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;66.67
universidade do extremo sul catarinense;ciencia da computacao;0;23;42;92;35;computacao e tecnologias da informacao e comunicacao (tic);23;0.21;0.0;100.0;38.04
universidade do oeste de santa catarina;ciencia da computacao;0;10;42;99;63;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;63.64
universidade do oeste paulista;ciencia da computacao;0;9;35;55;23;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;41.82
universidade do sul de santa catarina;ciencia da computacao;0;4;42;96;59;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;61.46
universidade do vale do itajai;ciencia da computacao;0;23;42;155;101;computacao e tecnologias da informacao e comunicacao (tic);23;0.21;0.0;100.0;65.16
universidade do vale do rio dos sinos;ciencia da computacao;0;10;43;154;114;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;74.03
universidade feevale;ciencia da computacao;0;11;43;86;36;computacao e tecnologias da informacao e comunicacao (tic);11;0.1;0.0;100.0;41.86
universidade ibirapuera;ciencia da computacao;16;2;35;69;27;computacao e tecnologias da informacao e comunicacao (tic);18;0.16;88.89;11.11;39.13
universidade jose do rosario vellano;ciencia da computacao;0;4;31;87;53;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;60.92
universidade luterana do brasil;ciencia da computacao;0;20;43;59;38;computacao e tecnologias da informacao e comunicacao (tic);20;0.18;0.0;100.0;64.41
universidade nove de julho;ciencia da computacao;100;5;35;1137;751;computacao e tecnologias da informacao e comunicacao (tic);105;0.94;95.24;4.76;66.05
universidade paulista;ciencia da computacao;0;103;35;2008;1445;computacao e tecnologias da informacao e comunicacao (tic);103;0.92;0.0;100.0;71.96
universidade presbiteriana mackenzie;ciencia da computacao;0;19;35;204;117;computacao e tecnologias da informacao e comunicacao (tic);19;0.17;0.0;100.0;57.35
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;0;4;43;99;61;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;61.62
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;19;10;43;147;77;computacao e tecnologias da informacao e comunicacao (tic);29;0.26;65.52;34.48;52.38
universidade salvador;ciencia da computacao;0;9;29;88;62;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;70.45
universidade sao judas tadeu;ciencia da computacao;112;0;35;248;150;computacao e tecnologias da informacao e comunicacao (tic);112;1.0;100.0;0.0;60.48
universidade tiradentes;ciencia da computacao;0;4;28;78;47;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;60.26
universidade veiga de almeida;ciencia da computacao;2;0;33;278;156;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;100.0;0.0;56.12
universidade vila velha;ciencia da computacao;0;1;32;41;25;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;60.98
