;instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
78;universidade do sul de santa catarina;ciencia da computacao;0;16;42.0;125;83;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;0.0;100.0;66.4
79;universidade do vale do itajai;ciencia da computacao;0;2;42.0;186;146;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;78.49
80;universidade do vale do paraiba;ciencia da computacao;0;4;35.0;4;4;computacao e tecnologias da informacao e comunicacao (tic);4;0.04;0.0;100.0;100.0
81;universidade do vale do rio dos sinos;ciencia da computacao;29;9;43.0;208;134;computacao e tecnologias da informacao e comunicacao (tic);38;0.33;76.32;23.68;64.42
82;universidade feevale;ciencia da computacao;0;10;43.0;92;59;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;64.13
83;universidade gama filho;ciencia da computacao;0;28;33.0;195;193;computacao e tecnologias da informacao e comunicacao (tic);28;0.25;0.0;100.0;98.97
84;universidade ibirapuera;ciencia da computacao;0;3;35.0;98;64;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;65.31
85;universidade jose do rosario vellano;ciencia da computacao;0;9;31.0;93;75;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;80.65
86;universidade nove de julho;ciencia da computacao;0;38;35.0;1637;1095;computacao e tecnologias da informacao e comunicacao (tic);38;0.33;0.0;100.0;66.89
87;universidade paulista;ciencia da computacao;0;116;35.0;1756;1297;computacao e tecnologias da informacao e comunicacao (tic);116;1.02;0.0;100.0;73.86
88;universidade presbiteriana mackenzie;ciencia da computacao;0;25;35.0;195;129;computacao e tecnologias da informacao e comunicacao (tic);25;0.22;0.0;100.0;66.15
89;universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;26;12;43.0;147;112;computacao e tecnologias da informacao e comunicacao (tic);38;0.33;68.42;31.58;76.19
90;universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;12;13;43.0;149;72;computacao e tecnologias da informacao e comunicacao (tic);25;0.22;48.0;52.0;48.32
91;universidade salvador;ciencia da computacao;0;12;29.0;70;39;computacao e tecnologias da informacao e comunicacao (tic);12;0.11;0.0;100.0;55.71
92;universidade santa cecilia;ciencia da computacao;0;19;35.0;33;26;computacao e tecnologias da informacao e comunicacao (tic);19;0.17;0.0;100.0;78.79
93;universidade sao judas tadeu;ciencia da computacao;117;2;35.0;184;116;computacao e tecnologias da informacao e comunicacao (tic);119;1.05;98.32;1.68;63.04
94;universidade tiradentes;ciencia da computacao;0;3;28.0;55;32;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;58.18
95;universidade tuiuti do parana;ciencia da computacao;3;3;41.0;40;30;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;50.0;50.0;75.0
96;universidade veiga de almeida;ciencia da computacao;0;3;33.0;157;70;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;44.59
97;universidade vila velha;ciencia da computacao;0;1;32.0;58;32;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;55.17
