instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
faculdade anhanguera de santa barbara;ciencia da computacao;0;2;35;38;23;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;60.53
faculdade anhanguera de bauru;ciencia da computacao;0;2;35;56;45;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;80.36
faculdade anhanguera de sorocaba;ciencia da computacao;0;1;35;18;15;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;83.33
faculdade da cidade de maceio;ciencia da computacao;0;3;27;63;49;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;77.78
faculdade de fortaleza;ciencia da computacao;0;1;23;16;16;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
faculdade estacio de teresina;ciencia da computacao;0;13;22;123;63;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;51.22
faculdade sao francisco de assis;ciencia da computacao;10;1;43;30;30;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;90.91;9.09;100.0
faculdade unica de ipatinga;ciencia da computacao;6;0;31;34;21;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;100.0;0.0;61.76
fatece - faculdade de tecnologia, ciencias e educacao;ciencia da computacao;0;3;35;35;18;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;51.43
instituto de educacao superior raimundo sa;ciencia da computacao;0;6;22;12;3;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;25.0
instituto de ensino superior da grande florianopolis;ciencia da computacao;0;6;42;55;38;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;69.09
instituto itapetiningano de ensino superior;ciencia da computacao;0;1;35;6;6;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;100.0
pontificia universidade catolica de goias;ciencia da computacao;0;8;52;131;69;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;52.67
pontificia universidade catolica de minas gerais;ciencia da computacao;34;31;31;242;141;computacao e tecnologias da informacao e comunicacao (tic);65;0.55;52.31;47.69;58.26
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;4;33;77;33;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;42.86
pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;15;43;103;63;computacao e tecnologias da informacao e comunicacao (tic);15;0.13;0.0;100.0;61.17
universidade anhanguera;ciencia da computacao;0;2;50;105;93;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;88.57
universidade anhanguera de sao paulo;ciencia da computacao;0;5;35;80;67;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;83.75
universidade anhembi morumbi;ciencia da computacao;0;11;35;232;180;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;77.59
universidade catolica de brasilia;ciencia da computacao;0;10;53;68;35;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;51.47
universidade catolica de pernambuco;ciencia da computacao;0;5;26;118;80;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;67.8
universidade catolica de santos;ciencia da computacao;0;1;35;39;14;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;35.9
universidade cidade de sao paulo;ciencia da computacao;3;4;35;212;149;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;42.86;57.14;70.28
universidade cruzeiro do sul;ciencia da computacao;5;6;35;179;120;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;45.45;54.55;67.04
universidade de caxias do sul;ciencia da computacao;10;1;43;96;49;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;90.91;9.09;51.04
universidade de cruz alta;ciencia da computacao;0;12;43;19;8;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;0.0;100.0;42.11
universidade de franca;ciencia da computacao;4;5;35;82;64;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;44.44;55.56;78.05
universidade de itauna;ciencia da computacao;0;2;31;19;8;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;42.11
universidade de passo fundo;ciencia da computacao;14;7;43;51;29;computacao e tecnologias da informacao e comunicacao (tic);21;0.18;66.67;33.33;56.86
universidade de santa cruz do sul;ciencia da computacao;0;5;43;63;36;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;57.14
universidade de sorocaba;ciencia da computacao;0;6;35;32;24;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;75.0
universidade do extremo sul catarinense;ciencia da computacao;1;5;42;74;19;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;16.67;83.33;25.68
universidade do oeste de santa catarina;ciencia da computacao;22;7;42;66;37;computacao e tecnologias da informacao e comunicacao (tic);29;0.25;75.86;24.14;56.06
universidade do oeste paulista;ciencia da computacao;0;16;35;34;13;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;0.0;100.0;38.24
universidade do sul de santa catarina;ciencia da computacao;5;24;42;98;68;computacao e tecnologias da informacao e comunicacao (tic);29;0.25;17.24;82.76;69.39
universidade do vale do itajai;ciencia da computacao;0;40;42;133;82;computacao e tecnologias da informacao e comunicacao (tic);40;0.34;0.0;100.0;61.65
universidade do vale do rio dos sinos;ciencia da computacao;0;6;43;155;105;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;67.74
universidade feevale;ciencia da computacao;0;2;43;69;42;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;60.87
universidade luterana do brasil;ciencia da computacao;0;48;43;122;75;computacao e tecnologias da informacao e comunicacao (tic);48;0.41;0.0;100.0;61.48
universidade nove de julho;ciencia da computacao;0;69;35;1090;827;computacao e tecnologias da informacao e comunicacao (tic);69;0.59;0.0;100.0;75.87
universidade paulista;ciencia da computacao;0;145;35;2942;2054;computacao e tecnologias da informacao e comunicacao (tic);145;1.23;0.0;100.0;69.82
universidade presbiteriana mackenzie;ciencia da computacao;0;7;35;154;66;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;42.86
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;0;6;43;71;54;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;76.06
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;0;6;43;95;55;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;57.89
universidade salvador;ciencia da computacao;0;8;29;128;83;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;64.84
universidade sao judas tadeu;ciencia da computacao;85;1;35;195;128;computacao e tecnologias da informacao e comunicacao (tic);86;0.73;98.84;1.16;65.64
universidade tiradentes;ciencia da computacao;0;9;28;130;59;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;45.38
universidade veiga de almeida;ciencia da computacao;0;16;33;202;118;computacao e tecnologias da informacao e comunicacao (tic);16;0.14;0.0;100.0;58.42
universidade vila velha;ciencia da computacao;0;2;32;67;34;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;50.75
