instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
centro universitario adventista de sao paulo;ciencia da computacao;0;2;35;29;14;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;48.28
centro universitario barao de maua;ciencia da computacao;1;1;35;31;20;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;50.0;50.0;64.52
centro universitario campo limpo paulista;ciencia da computacao;4;1;35;43;12;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;80.0;20.0;27.91
centro universitario campos de andrade;ciencia da computacao;27;0;41;39;20;computacao e tecnologias da informacao e comunicacao (tic);27;0.23;100.0;0.0;51.28
centro universitario carlos drummond de andrade;ciencia da computacao;3;3;35;36;13;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;50.0;50.0;36.11
centro universitario da fundacao educacional guaxupe;ciencia da computacao;0;2;31;22;15;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;68.18
centro universitario da fundacao educacional inaciana pe saboia de medeiros;ciencia da computacao;0;23;35;70;21;computacao e tecnologias da informacao e comunicacao (tic);23;0.2;0.0;100.0;30.0
centro universitario da grande fortaleza;ciencia da computacao;0;3;23;12;8;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;66.67
centro universitario das faculdades metropolitanas unidas;ciencia da computacao;0;4;35;335;264;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;78.81
centro universitario de belo horizonte;ciencia da computacao;5;0;31;107;55;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;100.0;0.0;51.4
centro universitario de itapira uniesi;ciencia da computacao;0;2;35;35;18;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;51.43
centro universitario de jaguariuna;ciencia da computacao;0;6;35;43;23;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;53.49
centro universitario de joao pessoa;ciencia da computacao;0;6;25;66;38;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;57.58
centro universitario dinamica das cataratas;ciencia da computacao;2;1;41;29;24;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;82.76
centro universitario do estado do para;ciencia da computacao;0;2;15;43;23;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;53.49
centro universitario do instituto de educacao superior de brasilia - iesb;ciencia da computacao;7;1;53;121;89;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;87.5;12.5;73.55
centro universitario do norte;ciencia da computacao;0;23;13;227;157;computacao e tecnologias da informacao e comunicacao (tic);23;0.2;0.0;100.0;69.16
centro universitario do sul de minas;ciencia da computacao;2;0;31;30;14;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;100.0;0.0;46.67
centro universitario dos guararapes;ciencia da computacao;0;2;26;302;183;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;60.6
centro universitario euripedes de marilia;ciencia da computacao;0;4;35;47;11;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;23.4
centro universitario facvest;ciencia da computacao;6;7;42;44;32;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;46.15;53.85;72.73
centro universitario fadergs;ciencia da computacao;0;4;43;43;16;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;37.21
centro universitario farias brito;ciencia da computacao;0;4;23;53;34;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;64.15
centro universitario favip wyden;ciencia da computacao;16;1;26;51;26;computacao e tecnologias da informacao e comunicacao (tic);17;0.14;94.12;5.88;50.98
centro universitario fbv wyden;ciencia da computacao;11;0;26;35;17;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;100.0;0.0;48.57
centro universitario filadelfia;ciencia da computacao;0;7;41;53;35;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;66.04
centro universitario luterano de palmas;ciencia da computacao;0;30;17;36;18;computacao e tecnologias da informacao e comunicacao (tic);30;0.26;0.0;100.0;50.0
centro universitario mauricio de nassau;ciencia da computacao;0;5;26;90;67;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;74.44
centro universitario metrocamp wyden;ciencia da computacao;23;0;35;55;24;computacao e tecnologias da informacao e comunicacao (tic);23;0.2;100.0;0.0;43.64
centro universitario nossa senhora do patrocinio;ciencia da computacao;1;4;35;86;54;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;20.0;80.0;62.79
centro universitario padre anchieta;ciencia da computacao;10;5;35;75;48;computacao e tecnologias da informacao e comunicacao (tic);15;0.13;66.67;33.33;64.0
centro universitario presidente antonio carlos;ciencia da computacao;5;8;31;37;21;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;38.46;61.54;56.76
centro universitario ritter dos reis;ciencia da computacao;0;7;43;171;86;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;50.29
centro universitario ruy barbosa wyden;ciencia da computacao;15;0;29;20;14;computacao e tecnologias da informacao e comunicacao (tic);15;0.13;100.0;0.0;70.0
centro universitario sagrado coracao;ciencia da computacao;6;7;35;40;12;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;46.15;53.85;30.0
centro universitario senac;ciencia da computacao;1;2;35;49;34;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;33.33;66.67;69.39
centro universitario serra dos orgaos;ciencia da computacao;0;10;33;69;33;computacao e tecnologias da informacao e comunicacao (tic);10;0.09;0.0;100.0;47.83
centro universitario sumare;ciencia da computacao;0;6;35;62;57;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;91.94
centro universitario tiradentes;ciencia da computacao;0;11;27;87;58;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;66.67
centro universitario unibta;ciencia da computacao;0;5;35;26;24;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;92.31
centro universitario unic;ciencia da computacao;0;5;51;42;34;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;80.95
centro universitario unicarioca;ciencia da computacao;0;29;33;306;173;computacao e tecnologias da informacao e comunicacao (tic);29;0.25;0.0;100.0;56.54
faculdade anhanguera de joinville;ciencia da computacao;0;2;42;33;31;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;93.94
faculdade anhanguera de jundiai;ciencia da computacao;0;1;35;48;35;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;72.92
faculdade anhanguera de santa barbara;ciencia da computacao;0;2;35;42;28;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;66.67
faculdade anhanguera de bauru;ciencia da computacao;0;4;35;53;39;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;73.58
faculdade anhanguera de campinas;ciencia da computacao;0;9;35;114;94;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;82.46
faculdade anhanguera de piracicaba;ciencia da computacao;0;4;35;55;42;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;76.36
faculdade anhanguera de ribeirao preto;ciencia da computacao;0;6;35;50;37;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;0.0;100.0;74.0
faculdade da cidade de maceio;ciencia da computacao;0;4;27;48;37;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;77.08
