instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
faculdade de americana;ciencia da computacao;0;4;35;74;42;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;56.76
faculdade de ampere;ciencia da computacao;1;1;41;25;3;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;50.0;50.0;12.0
faculdade estacio de teresina;ciencia da computacao;0;7;22;112;54;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;48.21
faculdade lourenco filho;ciencia da computacao;0;1;23;24;18;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;75.0
faculdade sao francisco de assis;ciencia da computacao;28;0;43;43;32;computacao e tecnologias da informacao e comunicacao (tic);28;0.24;100.0;0.0;74.42
faculdade unica de ipatinga;ciencia da computacao;2;1;31;32;21;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;65.62
faculdades doctum de caratinga;ciencia da computacao;5;3;31;36;20;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;62.5;37.5;55.56
faculdades integradas de bauru;ciencia da computacao;3;3;35;35;23;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;50.0;50.0;65.71
fatece - faculdade de tecnologia, ciencias e educacao;ciencia da computacao;0;7;35;32;21;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;65.62
instituto de educacao superior raimundo sa;ciencia da computacao;0;5;22;6;0;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;0.0
instituto de ensino superior da grande florianopolis;ciencia da computacao;0;4;42;59;41;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;69.49
pontificia universidade catolica de goias;ciencia da computacao;0;12;52;130;73;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;0.0;100.0;56.15
pontificia universidade catolica de minas gerais;ciencia da computacao;27;34;31;212;121;computacao e tecnologias da informacao e comunicacao (tic);61;0.52;44.26;55.74;57.08
pontificia universidade catolica do parana;ciencia da computacao;1;2;41;74;16;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;33.33;66.67;21.62
pontificia universidade catolica do rio de janeiro;ciencia da computacao;0;7;33;78;34;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;43.59
pontificia universidade catolica do rio grande do sul;ciencia da computacao;0;13;43;106;59;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;55.66
universidade anhanguera;ciencia da computacao;0;15;50;77;56;computacao e tecnologias da informacao e comunicacao (tic);15;0.13;0.0;100.0;72.73
universidade anhanguera de sao paulo;ciencia da computacao;0;1;35;64;41;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;64.06
universidade anhembi morumbi;ciencia da computacao;0;3;35;132;111;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;84.09
universidade catolica de brasilia;ciencia da computacao;0;5;53;67;22;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;32.84
universidade catolica de pernambuco;ciencia da computacao;0;4;26;125;70;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;56.0
universidade catolica de santos;ciencia da computacao;0;3;35;37;22;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;59.46
universidade cidade de sao paulo;ciencia da computacao;3;5;35;193;122;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;37.5;62.5;63.21
universidade cruzeiro do sul;ciencia da computacao;5;9;35;204;132;computacao e tecnologias da informacao e comunicacao (tic);14;0.12;35.71;64.29;64.71
universidade de caxias do sul;ciencia da computacao;2;1;43;65;40;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;66.67;33.33;61.54
universidade de cruz alta;ciencia da computacao;0;9;43;21;13;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;61.9
universidade de franca;ciencia da computacao;2;4;35;72;50;computacao e tecnologias da informacao e comunicacao (tic);6;0.05;33.33;66.67;69.44
universidade de passo fundo;ciencia da computacao;8;6;43;76;53;computacao e tecnologias da informacao e comunicacao (tic);14;0.12;57.14;42.86;69.74
universidade de sorocaba;ciencia da computacao;0;3;35;30;13;computacao e tecnologias da informacao e comunicacao (tic);3;0.03;0.0;100.0;43.33
universidade do oeste de santa catarina;ciencia da computacao;5;3;42;43;25;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;62.5;37.5;58.14
universidade do oeste paulista;ciencia da computacao;0;2;35;48;19;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;39.58
universidade do vale do itajai;ciencia da computacao;0;24;42;148;101;computacao e tecnologias da informacao e comunicacao (tic);24;0.2;0.0;100.0;68.24
universidade do vale do rio dos sinos;ciencia da computacao;4;14;43;139;87;computacao e tecnologias da informacao e comunicacao (tic);18;0.15;22.22;77.78;62.59
universidade feevale;ciencia da computacao;0;7;43;75;49;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;65.33
universidade franciscana;ciencia da computacao;0;5;43;29;18;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;62.07
universidade ibirapuera;ciencia da computacao;8;3;35;41;26;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;72.73;27.27;63.41
universidade luterana do brasil;ciencia da computacao;0;104;43;146;78;computacao e tecnologias da informacao e comunicacao (tic);104;0.88;0.0;100.0;53.42
universidade nove de julho;ciencia da computacao;0;72;35;877;486;computacao e tecnologias da informacao e comunicacao (tic);72;0.61;0.0;100.0;55.42
universidade paulista;ciencia da computacao;0;145;35;3083;2210;computacao e tecnologias da informacao e comunicacao (tic);145;1.23;0.0;100.0;71.68
universidade presbiteriana mackenzie;ciencia da computacao;0;20;35;194;79;computacao e tecnologias da informacao e comunicacao (tic);20;0.17;0.0;100.0;40.72
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;0;5;43;49;36;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;73.47
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;0;11;43;88;39;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;44.32
universidade salvador;ciencia da computacao;0;8;29;139;126;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;90.65
universidade sao judas tadeu;ciencia da computacao;0;7;35;275;194;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;70.55
universidade tiradentes;ciencia da computacao;0;5;28;90;58;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;64.44
universidade universus veritas guarulhos;ciencia da computacao;0;13;35;119;78;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;65.55
universidade veiga de almeida;ciencia da computacao;0;9;33;195;120;computacao e tecnologias da informacao e comunicacao (tic);9;0.08;0.0;100.0;61.54
universidade vila velha;ciencia da computacao;0;2;32;104;42;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;40.38
