;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;arquitetura e urbanismo;6;1197;643;engenharia, producao e construcao;0.5;53.72
1;centro universitario da serra gaucha;biomedicina;3;1107;795;saude e bem-estar;0.27;71.82
2;centro universitario da serra gaucha;ciencias contabeis;2;1044;612;negocios, administracao e direito;0.19;58.62
3;centro universitario da serra gaucha;design;2;1179;624;artes e humanidades;0.17;52.93
4;centro universitario da serra gaucha;direito;4;1701;776;negocios, administracao e direito;0.24;45.62
5;centro universitario da serra gaucha;educacao fisica;1;918;480;educacao;0.11;52.29
6;centro universitario da serra gaucha;enfermagem;4;468;227;saude e bem-estar;0.85;48.5
7;centro universitario da serra gaucha;engenharia civil;5;1008;560;engenharia, producao e construcao;0.5;55.56
8;centro universitario da serra gaucha;engenharia de producao;4;828;542;engenharia, producao e construcao;0.48;65.46
9;centro universitario da serra gaucha;fisioterapia;3;630;336;saude e bem-estar;0.48;53.33
10;centro universitario da serra gaucha;nutricao;3;549;266;saude e bem-estar;0.55;48.45
11;centro universitario da serra gaucha;odontologia;4;720;259;saude e bem-estar;0.56;35.97
12;centro universitario da serra gaucha;psicologia;2;2025;886;ciencias sociais, comunicacao e informacao;0.1;43.75
13;centro universitario da serra gaucha;terapia ocupacional;1;90;44;saude e bem-estar;1.11;48.89
14;centro universitario metodista;administracao;29;648;119;negocios, administracao e direito;4.48;18.36
15;centro universitario metodista;arquitetura e urbanismo;25;792;172;engenharia, producao e construcao;3.16;21.72
16;centro universitario metodista;biomedicina;28;549;107;saude e bem-estar;5.1;19.49
17;centro universitario metodista;ciencias contabeis;26;513;99;negocios, administracao e direito;5.07;19.3
18;centro universitario metodista;comunicacao social - publicidade e propaganda;24;522;108;negocios, administracao e direito;4.6;20.69
19;centro universitario metodista;design de interiores;28;882;269;artes e humanidades;3.17;30.5
20;centro universitario metodista;design de moda;1;36;27;artes e humanidades;2.78;75.0
