;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;50;4912;2305;negocios, administracao e direito;1.02;46.93
1;centro universitario da serra gaucha;arquitetura e urbanismo;5;1488;894;engenharia, producao e construcao;0.34;60.08
2;centro universitario da serra gaucha;biomedicina;3;1304;994;saude e bem-estar;0.23;76.23
3;centro universitario da serra gaucha;ciencias contabeis;6;920;560;negocios, administracao e direito;0.65;60.87
4;centro universitario da serra gaucha;design;3;1088;713;artes e humanidades;0.28;65.53
5;centro universitario da serra gaucha;direito;7;1848;872;negocios, administracao e direito;0.38;47.19
6;centro universitario da serra gaucha;educacao fisica;7;1408;836;educacao;0.5;59.38
7;centro universitario da serra gaucha;enfermagem;3;1024;512;saude e bem-estar;0.29;50.0
8;centro universitario da serra gaucha;engenharia civil;5;1072;700;engenharia, producao e construcao;0.47;65.3
9;centro universitario da serra gaucha;engenharia de producao;6;944;648;engenharia, producao e construcao;0.64;68.64
10;centro universitario da serra gaucha;fisioterapia;2;904;449;saude e bem-estar;0.22;49.67
11;centro universitario da serra gaucha;nutricao;6;768;427;saude e bem-estar;0.78;55.6
12;centro universitario da serra gaucha;odontologia;2;760;476;saude e bem-estar;0.26;62.63
13;centro universitario da serra gaucha;psicologia;6;1960;850;ciencias sociais, comunicacao e informacao;0.31;43.37
14;centro universitario metodista;administracao;35;984;170;negocios, administracao e direito;3.56;17.28
15;centro universitario metodista;arquitetura e urbanismo;24;752;228;engenharia, producao e construcao;3.19;30.32
16;centro universitario metodista;biomedicina;22;496;91;saude e bem-estar;4.44;18.35
17;centro universitario metodista;ciencias contabeis;47;624;102;negocios, administracao e direito;7.53;16.35
18;centro universitario metodista;comunicacao social - publicidade e propaganda;27;448;87;negocios, administracao e direito;6.03;19.42
19;centro universitario metodista;design de interiores;6;616;95;artes e humanidades;0.97;15.42
20;centro universitario metodista;direito;66;1456;268;negocios, administracao e direito;4.53;18.41
21;centro universitario metodista;educacao fisica;63;2176;486;saude e bem-estar;2.9;22.33
22;centro universitario metodista;enfermagem;24;848;99;saude e bem-estar;2.83;11.67
23;centro universitario metodista;engenharia civil;21;848;201;engenharia, producao e construcao;2.48;23.7
24;centro universitario metodista;engenharia de producao;36;512;111;engenharia, producao e construcao;7.03;21.68
25;centro universitario metodista;farmacia;20;312;90;saude e bem-estar;6.41;28.85
26;centro universitario metodista;fisioterapia;69;1488;340;saude e bem-estar;4.64;22.85
27;centro universitario metodista;fonoaudiologia;12;200;22;saude e bem-estar;6.0;11.0
28;centro universitario metodista;jornalismo;25;328;52;ciencias sociais, comunicacao e informacao;7.62;15.85
29;centro universitario metodista;musica;43;1032;257;educacao;4.17;24.9
30;centro universitario metodista;nutricao;25;608;99;saude e bem-estar;4.11;16.28
31;centro universitario metodista;pedagogia;38;536;141;educacao;7.09;26.31
32;centro universitario metodista;psicologia;51;1200;227;ciencias sociais, comunicacao e informacao;4.25;18.92
33;centro universitario metodista;servico social;27;304;82;saude e bem-estar;8.88;26.97
34;centro universitario metodista;turismo;26;328;77;servicos;7.93;23.48
35;centro universitario ritter dos reis;administracao;36;5632;2328;negocios, administracao e direito;0.64;41.34
36;centro universitario ritter dos reis;analise e desenvolvimento de sistemas;6;968;418;computacao e tecnologias da informacao e comunicacao (tic);0.62;43.18
37;centro universitario ritter dos reis;arquitetura e urbanismo;28;3728;1508;engenharia, producao e construcao;0.75;40.45
38;centro universitario ritter dos reis;biomedicina;15;864;368;saude e bem-estar;1.74;42.59
39;centro universitario ritter dos reis;ciencia da computacao;11;608;299;computacao e tecnologias da informacao e comunicacao (tic);1.81;49.18
