;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas;Taxa de Desistência Acumulada
381;universidade do vale do rio dos sinos;sistemas de informacao;21;111;90;computacao e tecnologias da informacao e comunicacao (tic);18.92;81.08
382;universidade feevale;administracao;49;810;660;negocios, administracao e direito;6.05;81.48
383;universidade feevale;arquitetura e urbanismo;6;144;130;engenharia, producao e construcao;4.17;90.28
384;universidade feevale;artes visuais;3;70;66;educacao;4.29;94.29
385;universidade feevale;biomedicina;17;143;116;saude e bem-estar;11.89;81.12
386;universidade feevale;ciencia da computacao;10;92;82;computacao e tecnologias da informacao e comunicacao (tic);10.87;89.13
387;universidade feevale;ciencias biologicas;10;95;84;ciencias naturais, matematica e estatistica;10.53;88.42
388;universidade feevale;ciencias contabeis;12;227;169;negocios, administracao e direito;5.29;74.45
389;universidade feevale;comunicacao social - publicidade e propaganda;5;137;113;negocios, administracao e direito;3.65;82.48
390;universidade feevale;comercio exterior;12;149;112;negocios, administracao e direito;8.05;75.17
391;universidade feevale;construcao de edificios;1;26;17;engenharia, producao e construcao;3.85;65.38
392;universidade feevale;design;10;147;122;artes e humanidades;6.8;82.99
393;universidade feevale;direito;11;453;339;negocios, administracao e direito;2.43;74.83
394;universidade feevale;educacao fisica;8;254;212;educacao;3.15;83.46
395;universidade feevale;enfermagem;26;234;178;saude e bem-estar;11.11;76.07
396;universidade feevale;engenharia de producao;11;109;98;engenharia, producao e construcao;10.09;89.91
397;universidade feevale;engenharia eletronica;9;85;66;engenharia, producao e construcao;10.59;77.65
398;universidade feevale;farmacia;5;77;63;saude e bem-estar;6.49;81.82
399;universidade feevale;fisioterapia;13;144;125;saude e bem-estar;9.03;86.81
400;universidade feevale;gestao de recursos humanos;11;50;21;negocios, administracao e direito;22.0;42.0
401;universidade feevale;gestao financeira;10;125;95;negocios, administracao e direito;8.0;76.0
402;universidade feevale;historia;13;62;52;educacao;20.97;83.87
403;universidade feevale;jogos digitais;5;59;51;computacao e tecnologias da informacao e comunicacao (tic);8.47;86.44
404;universidade feevale;jornalismo;7;94;79;ciencias sociais, comunicacao e informacao;7.45;84.04
405;universidade feevale;letras - portugues e ingles;12;68;52;educacao;17.65;76.47
406;universidade feevale;moda;29;266;207;artes e humanidades;10.9;77.82
407;universidade feevale;nutricao;8;82;64;saude e bem-estar;9.76;78.05
408;universidade feevale;pedagogia;6;129;113;educacao;4.65;87.6
409;universidade feevale;psicologia;14;163;140;ciencias sociais, comunicacao e informacao;8.59;85.89
410;universidade feevale;quiropraxia;9;48;34;saude e bem-estar;18.75;70.83
411;universidade feevale;relacoes publicas;8;67;59;negocios, administracao e direito;11.94;88.06
412;universidade feevale;sistemas de informacao;7;82;73;computacao e tecnologias da informacao e comunicacao (tic);8.54;89.02
413;universidade feevale;sistemas para internet;8;71;37;computacao e tecnologias da informacao e comunicacao (tic);11.27;52.11
414;universidade feevale;turismo;8;69;61;servicos;11.59;88.41
415;universidade luterana do brasil;administracao;47;3172;2831;negocios, administracao e direito;1.48;89.25
416;universidade luterana do brasil;agronegocio;5;63;39;agricultura, silvicultura, pesca e veterinaria;7.94;61.9
417;universidade luterana do brasil;agronomia;2;213;203;agricultura, silvicultura, pesca e veterinaria;0.94;95.31
418;universidade luterana do brasil;analise e desenvolvimento de sistemas;2;170;143;computacao e tecnologias da informacao e comunicacao (tic);1.18;84.12
419;universidade luterana do brasil;artes visuais;5;142;113;educacao;3.52;79.58
420;universidade luterana do brasil;automacao industrial;3;215;196;engenharia, producao e construcao;1.4;91.16
421;universidade luterana do brasil;biomedicina;1;339;259;saude e bem-estar;0.29;76.4
422;universidade luterana do brasil;ciencias biologicas;17;754;618;educacao;2.25;81.96
423;universidade luterana do brasil;ciencias contabeis;4;200;179;negocios, administracao e direito;2.0;89.5
424;universidade luterana do brasil;ciencias politicas;2;52;50;ciencias sociais, comunicacao e informacao;3.85;96.15
425;universidade luterana do brasil;comunicacao social - publicidade e propaganda;1;148;137;negocios, administracao e direito;0.68;92.57
426;universidade luterana do brasil;comunicacao social - relacoes publicas;4;54;45;negocios, administracao e direito;7.41;83.33
427;universidade luterana do brasil;comercio exterior;2;61;57;negocios, administracao e direito;3.28;93.44
428;universidade luterana do brasil;danca;4;133;111;artes e humanidades;3.01;83.46
