;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;9;6920;4279;negocios, administracao e direito;0.13;61.84
1;centro universitario da serra gaucha;arquitetura e urbanismo;7;1770;1089;engenharia, producao e construcao;0.4;61.53
2;centro universitario da serra gaucha;biomedicina;4;1620;1094;saude e bem-estar;0.25;67.53
3;centro universitario da serra gaucha;ciencias contabeis;2;1480;890;negocios, administracao e direito;0.14;60.14
4;centro universitario da serra gaucha;educacao fisica;1;1540;1007;educacao;0.06;65.39
5;centro universitario da serra gaucha;enfermagem;4;750;453;saude e bem-estar;0.53;60.4
6;centro universitario da serra gaucha;engenharia civil;7;1770;1185;engenharia, producao e construcao;0.4;66.95
7;centro universitario da serra gaucha;engenharia de producao;12;2000;1313;engenharia, producao e construcao;0.6;65.65
8;centro universitario da serra gaucha;nutricao;4;1110;642;saude e bem-estar;0.36;57.84
9;centro universitario da serra gaucha;odontologia;5;880;333;saude e bem-estar;0.57;37.84
10;centro universitario da serra gaucha;terapia ocupacional;2;80;27;saude e bem-estar;2.5;33.75
11;centro universitario metodista;administracao;7;690;210;negocios, administracao e direito;1.01;30.43
12;centro universitario metodista;arquitetura e urbanismo;17;750;204;engenharia, producao e construcao;2.27;27.2
13;centro universitario metodista;biomedicina;5;520;167;saude e bem-estar;0.96;32.12
14;centro universitario metodista;ciencias contabeis;2;190;32;negocios, administracao e direito;1.05;16.84
15;centro universitario metodista;comunicacao social - publicidade e propaganda;7;490;122;negocios, administracao e direito;1.43;24.9
16;centro universitario metodista;design de interiores;16;740;177;artes e humanidades;2.16;23.92
17;centro universitario metodista;direito;15;1070;260;negocios, administracao e direito;1.4;24.3
18;centro universitario metodista;educacao fisica;24;1610;420;saude e bem-estar;1.49;26.09
19;centro universitario metodista;enfermagem;7;820;196;saude e bem-estar;0.85;23.9
20;centro universitario metodista;engenharia civil;17;1070;217;engenharia, producao e construcao;1.59;20.28
21;centro universitario metodista;engenharia de producao;6;530;100;engenharia, producao e construcao;1.13;18.87
22;centro universitario metodista;farmacia;8;360;126;saude e bem-estar;2.22;35.0
23;centro universitario metodista;fisioterapia;26;1700;422;saude e bem-estar;1.53;24.82
24;centro universitario metodista;musica;11;920;198;educacao;1.2;21.52
25;centro universitario metodista;nutricao;13;700;197;saude e bem-estar;1.86;28.14
26;centro universitario metodista;psicologia;11;790;232;ciencias sociais, comunicacao e informacao;1.39;29.37
27;centro universitario metodista;servico social;10;220;26;saude e bem-estar;4.55;11.82
28;centro universitario ritter dos reis;administracao;18;7530;2984;negocios, administracao e direito;0.24;39.63
29;centro universitario ritter dos reis;analise e desenvolvimento de sistemas;6;580;277;computacao e tecnologias da informacao e comunicacao (tic);1.03;47.76
30;centro universitario ritter dos reis;arquitetura e urbanismo;17;3600;1094;engenharia, producao e construcao;0.47;30.39
31;centro universitario ritter dos reis;biomedicina;6;1130;492;saude e bem-estar;0.53;43.54
32;centro universitario ritter dos reis;direito;102;15070;4665;negocios, administracao e direito;0.68;30.96
33;centro universitario ritter dos reis;engenharia civil;18;2080;717;engenharia, producao e construcao;0.87;34.47
34;centro universitario ritter dos reis;engenharia de producao;6;660;400;engenharia, producao e construcao;0.91;60.61
35;centro universitario ritter dos reis;engenharia mecanica;6;1090;592;engenharia, producao e construcao;0.55;54.31
36;centro universitario ritter dos reis;fisioterapia;6;1360;644;saude e bem-estar;0.44;47.35
37;centro universitario ritter dos reis;jornalismo;12;1640;534;ciencias sociais, comunicacao e informacao;0.73;32.56
38;centro universitario ritter dos reis;letras - ingles;5;500;222;educacao;1.0;44.4
39;centro universitario ritter dos reis;pedagogia;9;1800;647;educacao;0.5;35.94
40;centro universitario ritter dos reis;publicidade e propaganda;12;2050;742;negocios, administracao e direito;0.59;36.2
41;centro universitario ritter dos reis;relacoes internacionais;10;1560;737;ciencias sociais, comunicacao e informacao;0.64;47.24
42;centro universitario ritter dos reis;sistemas de informacao;7;820;401;computacao e tecnologias da informacao e comunicacao (tic);0.85;48.9
43;centro universitario uniftec;administracao;9;620;345;negocios, administracao e direito;1.45;55.65
44;centro universitario uniftec;analise e desenvolvimento de sistemas;8;700;339;computacao e tecnologias da informacao e comunicacao (tic);1.14;48.43
45;centro universitario uniftec;ciencias contabeis;7;350;175;negocios, administracao e direito;2.0;50.0
46;centro universitario uniftec;comercio exterior;8;240;100;negocios, administracao e direito;3.33;41.67
47;centro universitario uniftec;design de moda;5;330;132;artes e humanidades;1.52;40.0
48;centro universitario uniftec;design de produto;6;350;154;artes e humanidades;1.71;44.0
49;centro universitario uniftec;engenharia civil;6;750;373;engenharia, producao e construcao;0.8;49.73
50;centro universitario uniftec;engenharia de computacao;9;380;231;engenharia, producao e construcao;2.37;60.79
51;centro universitario uniftec;engenharia de producao;12;1030;506;engenharia, producao e construcao;1.17;49.13
52;centro universitario uniftec;engenharia eletrica;10;720;287;engenharia, producao e construcao;1.39;39.86
53;centro universitario uniftec;engenharia mecanica;12;1520;663;engenharia, producao e construcao;0.79;43.62
