;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;143;1044;649;negocios, administracao e direito;13.7;62.16
1;centro universitario da serra gaucha;arquitetura e urbanismo;6;125;87;engenharia, producao e construcao;4.8;69.6
2;centro universitario da serra gaucha;biomedicina;12;166;102;saude e bem-estar;7.23;61.45
3;centro universitario da serra gaucha;ciencias contabeis;2;176;139;negocios, administracao e direito;1.14;78.98
4;centro universitario da serra gaucha;design;7;202;151;artes e humanidades;3.47;74.75
5;centro universitario da serra gaucha;direito;15;210;129;negocios, administracao e direito;7.14;61.43
6;centro universitario da serra gaucha;educacao fisica;3;121;81;educacao;2.48;66.94
7;centro universitario da serra gaucha;enfermagem;3;67;52;saude e bem-estar;4.48;77.61
8;centro universitario da serra gaucha;engenharia civil;7;157;113;engenharia, producao e construcao;4.46;71.97
9;centro universitario da serra gaucha;engenharia de producao;7;189;151;engenharia, producao e construcao;3.7;79.89
10;centro universitario da serra gaucha;fisioterapia;8;98;51;saude e bem-estar;8.16;52.04
11;centro universitario da serra gaucha;psicologia;9;228;191;ciencias sociais, comunicacao e informacao;3.95;83.77
12;centro universitario da serra gaucha;terapia ocupacional;1;26;11;saude e bem-estar;3.85;42.31
13;centro universitario metodista;administracao;50;161;20;negocios, administracao e direito;31.06;12.42
14;centro universitario metodista;arquitetura e urbanismo;18;78;7;engenharia, producao e construcao;23.08;8.97
15;centro universitario metodista;biomedicina;18;69;14;saude e bem-estar;26.09;20.29
16;centro universitario metodista;ciencias contabeis;1;42;7;negocios, administracao e direito;2.38;16.67
17;centro universitario metodista;comunicacao social - publicidade e propaganda;4;50;3;negocios, administracao e direito;8.0;6.0
18;centro universitario metodista;design de interiores;12;67;5;artes e humanidades;17.91;7.46
19;centro universitario metodista;direito;23;115;19;negocios, administracao e direito;20.0;16.52
20;centro universitario metodista;educacao fisica;21;212;29;saude e bem-estar;9.91;13.68
21;centro universitario metodista;enfermagem;17;147;9;saude e bem-estar;11.56;6.12
22;centro universitario metodista;engenharia civil;15;98;12;engenharia, producao e construcao;15.31;12.24
23;centro universitario metodista;engenharia de producao;7;56;6;engenharia, producao e construcao;12.5;10.71
24;centro universitario metodista;farmacia;3;40;10;saude e bem-estar;7.5;25.0
25;centro universitario metodista;fisioterapia;23;169;17;saude e bem-estar;13.61;10.06
26;centro universitario metodista;jornalismo;5;51;3;ciencias sociais, comunicacao e informacao;9.8;5.88
27;centro universitario metodista;musica;6;107;3;educacao;5.61;2.8
28;centro universitario metodista;nutricao;17;66;13;saude e bem-estar;25.76;19.7
29;centro universitario metodista;psicologia;18;99;14;ciencias sociais, comunicacao e informacao;18.18;14.14
30;centro universitario metodista;turismo;3;25;1;servicos;12.0;4.0
31;centro universitario uniftec;administracao;4;114;108;negocios, administracao e direito;3.51;94.74
32;centro universitario uniftec;analise e desenvolvimento de sistemas;12;107;86;computacao e tecnologias da informacao e comunicacao (tic);11.21;80.37
33;centro universitario uniftec;comercio exterior;6;61;48;negocios, administracao e direito;9.84;78.69
34;centro universitario uniftec;design de moda;5;55;37;artes e humanidades;9.09;67.27
35;centro universitario uniftec;design de produto;2;43;33;artes e humanidades;4.65;76.74
36;centro universitario uniftec;engenharia civil;3;99;84;engenharia, producao e construcao;3.03;84.85
37;centro universitario uniftec;engenharia de computacao;8;83;74;engenharia, producao e construcao;9.64;89.16
38;centro universitario uniftec;engenharia de producao;9;181;159;engenharia, producao e construcao;4.97;87.85
39;centro universitario uniftec;engenharia mecanica;5;209;175;engenharia, producao e construcao;2.39;83.73
40;centro universitario uniftec;gestao ambiental;9;67;45;engenharia, producao e construcao;13.43;67.16
41;centro universitario uniftec;gestao comercial;8;97;70;negocios, administracao e direito;8.25;72.16
42;centro universitario uniftec;gestao da qualidade;10;131;102;negocios, administracao e direito;7.63;77.86
43;centro universitario uniftec;gestao da tecnologia da informacao;5;50;35;computacao e tecnologias da informacao e comunicacao (tic);10.0;70.0
44;centro universitario uniftec;gestao de recursos humanos;8;129;95;negocios, administracao e direito;6.2;73.64
45;centro universitario uniftec;gestao financeira;6;73;56;negocios, administracao e direito;8.22;76.71
46;centro universitario uniftec;logistica;8;148;112;negocios, administracao e direito;5.41;75.68
47;centro universitario uniftec;marketing;6;91;79;negocios, administracao e direito;6.59;86.81
48;centro universitario uniftec;processos gerenciais;8;73;58;negocios, administracao e direito;10.96;79.45
49;centro universitario uniftec;producao multimidia;7;69;46;artes e humanidades;10.14;66.67
50;centro universitario uniftec;redes de computadores;7;84;61;computacao e tecnologias da informacao e comunicacao (tic);8.33;72.62
51;faculdade america latina;administracao;7;78;75;negocios, administracao e direito;8.97;96.15
52;faculdade america latina;ciencias contabeis;6;15;15;negocios, administracao e direito;40.0;100.0
53;faculdade america latina;design;6;89;89;artes e humanidades;6.74;100.0
54;faculdade anglicana de erechim;administracao;6;46;18;negocios, administracao e direito;13.04;39.13
55;faculdade anglicana de erechim;analise e desenvolvimento de sistemas;1;44;24;computacao e tecnologias da informacao e comunicacao (tic);2.27;54.55
56;faculdade anglicana de erechim;design;5;29;15;artes e humanidades;17.24;51.72
57;faculdade anglicana de erechim;pedagogia;4;23;11;educacao;17.39;47.83
58;faculdade anhanguera de caxias do sul;administracao;18;164;92;negocios, administracao e direito;10.98;56.1
59;faculdade anhanguera de caxias do sul;ciencias contabeis;9;55;31;negocios, administracao e direito;16.36;56.36
60;faculdade anhanguera de caxias do sul;servico social;8;52;22;saude e bem-estar;15.38;42.31
61;faculdade anhanguera de passo fundo;administracao;12;130;64;negocios, administracao e direito;9.23;49.23
62;faculdade anhanguera de passo fundo;ciencias contabeis;5;71;27;negocios, administracao e direito;7.04;38.03
63;faculdade anhanguera de passo fundo;direito;32;107;51;negocios, administracao e direito;29.91;47.66
64;faculdade anhanguera de passo fundo;gestao comercial;4;38;12;negocios, administracao e direito;10.53;31.58
65;faculdade anhanguera de passo fundo;gestao da tecnologia da informacao;2;20;8;computacao e tecnologias da informacao e comunicacao (tic);10.0;40.0
66;faculdade anhanguera de passo fundo;gestao de recursos humanos;6;36;13;negocios, administracao e direito;16.67;36.11
67;faculdade anhanguera de passo fundo;gestao financeira;4;4;3;negocios, administracao e direito;100.0;75.0
68;faculdade anhanguera de pelotas;administracao;110;225;80;negocios, administracao e direito;48.89;35.56
69;faculdade anhanguera de pelotas;ciencias biologicas;22;96;64;educacao;22.92;66.67
70;faculdade anhanguera de pelotas;direito;33;165;78;negocios, administracao e direito;20.0;47.27
71;faculdade anhanguera de pelotas;educacao fisica;42;299;184;educacao;14.05;61.54
72;faculdade anhanguera de pelotas;enfermagem;26;176;54;saude e bem-estar;14.77;30.68
73;faculdade anhanguera de pelotas;engenharia mecanica;13;118;80;engenharia, producao e construcao;11.02;67.8
74;faculdade anhanguera do rio grande;administracao;38;158;63;negocios, administracao e direito;24.05;39.87
75;faculdade anhanguera do rio grande;ciencias biologicas;7;30;11;educacao;23.33;36.67
76;faculdade anhanguera do rio grande;direito;18;138;57;negocios, administracao e direito;13.04;41.3
77;faculdade anhanguera do rio grande;enfermagem;16;78;36;saude e bem-estar;20.51;46.15
78;faculdade anhanguera do rio grande;engenharia de producao;18;77;38;engenharia, producao e construcao;23.38;49.35
