;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;arquitetura e urbanismo;6;133;94;engenharia, producao e construcao;4.51;70.68
1;centro universitario da serra gaucha;biomedicina;3;123;114;saude e bem-estar;2.44;92.68
2;centro universitario da serra gaucha;ciencias contabeis;2;116;93;negocios, administracao e direito;1.72;80.17
3;centro universitario da serra gaucha;design;2;131;88;artes e humanidades;1.53;67.18
4;centro universitario da serra gaucha;direito;4;189;123;negocios, administracao e direito;2.12;65.08
5;centro universitario da serra gaucha;educacao fisica;1;102;72;educacao;0.98;70.59
6;centro universitario da serra gaucha;enfermagem;4;52;33;saude e bem-estar;7.69;63.46
7;centro universitario da serra gaucha;engenharia civil;5;112;83;engenharia, producao e construcao;4.46;74.11
8;centro universitario da serra gaucha;engenharia de producao;4;92;81;engenharia, producao e construcao;4.35;88.04
9;centro universitario da serra gaucha;fisioterapia;3;70;47;saude e bem-estar;4.29;67.14
10;centro universitario da serra gaucha;nutricao;3;61;40;saude e bem-estar;4.92;65.57
11;centro universitario da serra gaucha;odontologia;4;80;37;saude e bem-estar;5.0;46.25
12;centro universitario da serra gaucha;psicologia;2;225;136;ciencias sociais, comunicacao e informacao;0.89;60.44
13;centro universitario da serra gaucha;terapia ocupacional;1;10;6;saude e bem-estar;10.0;60.0
14;centro universitario metodista;administracao;29;72;31;negocios, administracao e direito;40.28;43.06
15;centro universitario metodista;arquitetura e urbanismo;25;88;46;engenharia, producao e construcao;28.41;52.27
16;centro universitario metodista;biomedicina;28;61;26;saude e bem-estar;45.9;42.62
17;centro universitario metodista;ciencias contabeis;26;57;21;negocios, administracao e direito;45.61;36.84
18;centro universitario metodista;comunicacao social - publicidade e propaganda;24;58;28;negocios, administracao e direito;41.38;48.28
19;centro universitario metodista;design de interiores;28;98;62;artes e humanidades;28.57;63.27
20;centro universitario metodista;design de moda;1;4;3;artes e humanidades;25.0;75.0
21;centro universitario metodista;direito;33;118;57;negocios, administracao e direito;27.97;48.31
22;centro universitario metodista;educacao fisica;23;169;86;saude e bem-estar;13.61;50.89
23;centro universitario metodista;enfermagem;8;76;33;saude e bem-estar;10.53;43.42
24;centro universitario metodista;engenharia civil;22;98;47;engenharia, producao e construcao;22.45;47.96
25;centro universitario metodista;engenharia de producao;26;63;22;engenharia, producao e construcao;41.27;34.92
26;centro universitario metodista;farmacia;23;45;19;saude e bem-estar;51.11;42.22
27;centro universitario metodista;fisioterapia;28;146;73;saude e bem-estar;19.18;50.0
28;centro universitario metodista;jornalismo;1;19;11;ciencias sociais, comunicacao e informacao;5.26;57.89
29;centro universitario metodista;musica;25;110;73;educacao;22.73;66.36
30;centro universitario metodista;nutricao;23;62;31;saude e bem-estar;37.1;50.0
31;centro universitario metodista;pedagogia;25;52;34;educacao;48.08;65.38
