;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;9;692;534;negocios, administracao e direito;1.3;77.17
1;centro universitario da serra gaucha;arquitetura e urbanismo;7;177;140;engenharia, producao e construcao;3.95;79.1
2;centro universitario da serra gaucha;biomedicina;4;162;137;saude e bem-estar;2.47;84.57
3;centro universitario da serra gaucha;ciencias contabeis;2;148;115;negocios, administracao e direito;1.35;77.7
4;centro universitario da serra gaucha;educacao fisica;1;154;126;educacao;0.65;81.82
5;centro universitario da serra gaucha;enfermagem;4;75;59;saude e bem-estar;5.33;78.67
6;centro universitario da serra gaucha;engenharia civil;7;177;148;engenharia, producao e construcao;3.95;83.62
7;centro universitario da serra gaucha;engenharia de producao;12;200;167;engenharia, producao e construcao;6.0;83.5
8;centro universitario da serra gaucha;nutricao;4;111;88;saude e bem-estar;3.6;79.28
9;centro universitario da serra gaucha;odontologia;5;88;43;saude e bem-estar;5.68;48.86
10;centro universitario da serra gaucha;terapia ocupacional;2;8;4;saude e bem-estar;25.0;50.0
11;centro universitario metodista;administracao;7;69;19;negocios, administracao e direito;10.14;27.54
12;centro universitario metodista;arquitetura e urbanismo;17;75;16;engenharia, producao e construcao;22.67;21.33
13;centro universitario metodista;biomedicina;5;52;16;saude e bem-estar;9.62;30.77
14;centro universitario metodista;ciencias contabeis;2;19;2;negocios, administracao e direito;10.53;10.53
15;centro universitario metodista;comunicacao social - publicidade e propaganda;7;49;8;negocios, administracao e direito;14.29;16.33
16;centro universitario metodista;design de interiores;16;74;12;artes e humanidades;21.62;16.22
17;centro universitario metodista;direito;15;107;20;negocios, administracao e direito;14.02;18.69
18;centro universitario metodista;educacao fisica;24;161;36;saude e bem-estar;14.91;22.36
19;centro universitario metodista;enfermagem;7;82;15;saude e bem-estar;8.54;18.29
20;centro universitario metodista;engenharia civil;17;107;15;engenharia, producao e construcao;15.89;14.02
21;centro universitario metodista;engenharia de producao;6;53;5;engenharia, producao e construcao;11.32;9.43
22;centro universitario metodista;farmacia;8;36;11;saude e bem-estar;22.22;30.56
23;centro universitario metodista;fisioterapia;26;170;36;saude e bem-estar;15.29;21.18
24;centro universitario metodista;musica;11;92;14;educacao;11.96;15.22
25;centro universitario metodista;nutricao;13;70;18;saude e bem-estar;18.57;25.71
26;centro universitario metodista;psicologia;11;79;21;ciencias sociais, comunicacao e informacao;13.92;26.58
27;centro universitario metodista;servico social;10;22;3;saude e bem-estar;45.45;13.64
28;centro universitario ritter dos reis;administracao;18;753;462;negocios, administracao e direito;2.39;61.35
29;centro universitario ritter dos reis;analise e desenvolvimento de sistemas;6;58;42;computacao e tecnologias da informacao e comunicacao (tic);10.34;72.41
30;centro universitario ritter dos reis;arquitetura e urbanismo;17;360;190;engenharia, producao e construcao;4.72;52.78
31;centro universitario ritter dos reis;biomedicina;6;113;66;saude e bem-estar;5.31;58.41
32;centro universitario ritter dos reis;direito;102;1507;781;negocios, administracao e direito;6.77;51.82
33;centro universitario ritter dos reis;engenharia civil;18;208;131;engenharia, producao e construcao;8.65;62.98
34;centro universitario ritter dos reis;engenharia de producao;6;66;53;engenharia, producao e construcao;9.09;80.3
35;centro universitario ritter dos reis;engenharia mecanica;6;109;86;engenharia, producao e construcao;5.5;78.9
36;centro universitario ritter dos reis;fisioterapia;6;136;103;saude e bem-estar;4.41;75.74
37;centro universitario ritter dos reis;jornalismo;12;164;89;ciencias sociais, comunicacao e informacao;7.32;54.27
38;centro universitario ritter dos reis;letras - ingles;5;50;35;educacao;10.0;70.0
39;centro universitario ritter dos reis;pedagogia;9;180;100;educacao;5.0;55.56
40;centro universitario ritter dos reis;publicidade e propaganda;12;205;125;negocios, administracao e direito;5.85;60.98
41;centro universitario ritter dos reis;relacoes internacionais;10;156;102;ciencias sociais, comunicacao e informacao;6.41;65.38
42;centro universitario ritter dos reis;sistemas de informacao;7;82;67;computacao e tecnologias da informacao e comunicacao (tic);8.54;81.71
43;centro universitario uniftec;administracao;9;62;51;negocios, administracao e direito;14.52;82.26
44;centro universitario uniftec;analise e desenvolvimento de sistemas;8;70;50;computacao e tecnologias da informacao e comunicacao (tic);11.43;71.43
45;centro universitario uniftec;ciencias contabeis;7;35;26;negocios, administracao e direito;20.0;74.29
46;centro universitario uniftec;comercio exterior;8;24;13;negocios, administracao e direito;33.33;54.17
47;centro universitario uniftec;design de moda;5;33;21;artes e humanidades;15.15;63.64
48;centro universitario uniftec;design de produto;6;35;24;artes e humanidades;17.14;68.57
49;centro universitario uniftec;engenharia civil;6;75;53;engenharia, producao e construcao;8.0;70.67
50;centro universitario uniftec;engenharia de computacao;9;38;32;engenharia, producao e construcao;23.68;84.21
51;centro universitario uniftec;engenharia de producao;12;103;78;engenharia, producao e construcao;11.65;75.73
52;centro universitario uniftec;engenharia eletrica;10;72;47;engenharia, producao e construcao;13.89;65.28
53;centro universitario uniftec;engenharia mecanica;12;152;102;engenharia, producao e construcao;7.89;67.11
54;centro universitario uniftec;gestao ambiental;2;26;16;engenharia, producao e construcao;7.69;61.54
55;centro universitario uniftec;gestao comercial;8;56;34;negocios, administracao e direito;14.29;60.71
56;centro universitario uniftec;gestao da qualidade;6;64;38;negocios, administracao e direito;9.38;59.38
57;centro universitario uniftec;gestao da tecnologia da informacao;4;37;22;computacao e tecnologias da informacao e comunicacao (tic);10.81;59.46
58;centro universitario uniftec;gestao de recursos humanos;9;68;37;negocios, administracao e direito;13.24;54.41
59;centro universitario uniftec;gestao financeira;8;38;18;negocios, administracao e direito;21.05;47.37
60;centro universitario uniftec;logistica;10;78;55;negocios, administracao e direito;12.82;70.51
61;centro universitario uniftec;marketing;6;53;31;negocios, administracao e direito;11.32;58.49
62;centro universitario uniftec;processos gerenciais;5;51;30;negocios, administracao e direito;9.8;58.82
63;centro universitario uniftec;producao multimidia;6;40;25;artes e humanidades;15.0;62.5
64;centro universitario uniftec;redes de computadores;6;42;32;computacao e tecnologias da informacao e comunicacao (tic);14.29;76.19
65;faculdade america latina;administracao;6;59;59;negocios, administracao e direito;10.17;100.0
66;faculdade america latina;design;8;106;105;artes e humanidades;7.55;99.06
67;faculdade anglicana de erechim;administracao;2;61;27;negocios, administracao e direito;3.28;44.26
68;faculdade anglicana de erechim;analise e desenvolvimento de sistemas;2;42;22;computacao e tecnologias da informacao e comunicacao (tic);4.76;52.38
69;faculdade anglicana de erechim;ciencias contabeis;5;63;20;negocios, administracao e direito;7.94;31.75
70;faculdade anglicana de erechim;design;4;43;22;artes e humanidades;9.3;51.16
71;faculdade anglicana de erechim;eletronica industrial;2;37;19;engenharia, producao e construcao;5.41;51.35
72;faculdade anglicana de erechim;pedagogia;1;42;19;educacao;2.38;45.24
73;faculdade anhanguera de caxias do sul;administracao;7;158;100;negocios, administracao e direito;4.43;63.29
74;faculdade anhanguera de caxias do sul;ciencias contabeis;1;62;38;negocios, administracao e direito;1.61;61.29
75;faculdade anhanguera de caxias do sul;engenharia de producao;1;83;51;engenharia, producao e construcao;1.2;61.45
76;faculdade anhanguera de caxias do sul;servico social;5;75;42;saude e bem-estar;6.67;56.0
77;faculdade anhanguera de passo fundo;administracao;64;226;133;negocios, administracao e direito;28.32;58.85
78;faculdade anhanguera de passo fundo;ciencias contabeis;19;127;74;negocios, administracao e direito;14.96;58.27
79;faculdade anhanguera de passo fundo;direito;58;248;144;negocios, administracao e direito;23.39;58.06
80;faculdade anhanguera de passo fundo;gestao comercial;18;73;45;negocios, administracao e direito;24.66;61.64
81;faculdade anhanguera de passo fundo;gestao da tecnologia da informacao;6;13;12;computacao e tecnologias da informacao e comunicacao (tic);46.15;92.31
82;faculdade anhanguera de passo fundo;gestao de recursos humanos;12;60;36;negocios, administracao e direito;20.0;60.0
83;faculdade anhanguera de pelotas;administracao;36;275;186;negocios, administracao e direito;13.09;67.64
84;faculdade anhanguera de pelotas;ciencias biologicas;20;81;37;educacao;24.69;45.68
85;faculdade anhanguera de pelotas;direito;17;304;202;negocios, administracao e direito;5.59;66.45
86;faculdade anhanguera de pelotas;educacao fisica;13;394;183;educacao;3.3;46.45
87;faculdade anhanguera de pelotas;enfermagem;11;245;133;saude e bem-estar;4.49;54.29
