;instituicao;curso;qtd_bolsas;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
0;centro universitario da serra gaucha;administracao;4;870;796;negocios, administracao e direito;0.46;91.49
1;centro universitario da serra gaucha;ciencias contabeis;7;119;100;negocios, administracao e direito;5.88;84.03
2;centro universitario da serra gaucha;design;6;223;175;artes e humanidades;2.69;78.48
3;centro universitario da serra gaucha;direito;3;205;179;negocios, administracao e direito;1.46;87.32
4;centro universitario da serra gaucha;educacao fisica;4;202;143;educacao;1.98;70.79
5;centro universitario da serra gaucha;fisioterapia;2;100;84;saude e bem-estar;2.0;84.0
6;centro universitario da serra gaucha;psicologia;11;232;215;ciencias sociais, comunicacao e informacao;4.74;92.67
7;centro universitario metodista;administracao;39;45;6;negocios, administracao e direito;86.67;13.33
8;centro universitario metodista;analise e desenvolvimento de sistemas;4;22;2;computacao e tecnologias da informacao e comunicacao (tic);18.18;9.09
9;centro universitario metodista;arquitetura e urbanismo;1;33;5;engenharia, producao e construcao;3.03;15.15
10;centro universitario metodista;biomedicina;7;64;16;saude e bem-estar;10.94;25.0
11;centro universitario metodista;ciencias biologicas;9;23;1;educacao;39.13;4.35
12;centro universitario metodista;ciencias contabeis;12;55;13;negocios, administracao e direito;21.82;23.64
13;centro universitario metodista;comunicacao social - publicidade e propaganda;14;67;3;negocios, administracao e direito;20.9;4.48
14;centro universitario metodista;design de interiores;11;80;8;artes e humanidades;13.75;10.0
15;centro universitario metodista;design de moda;10;48;5;artes e humanidades;20.83;10.42
16;centro universitario metodista;direito;22;142;22;negocios, administracao e direito;15.49;15.49
17;centro universitario metodista;educacao fisica;32;216;33;saude e bem-estar;14.81;15.28
18;centro universitario metodista;enfermagem;9;148;14;saude e bem-estar;6.08;9.46
19;centro universitario metodista;engenharia civil;6;59;8;engenharia, producao e construcao;10.17;13.56
20;centro universitario metodista;engenharia de producao;5;37;7;engenharia, producao e construcao;13.51;18.92
21;centro universitario metodista;farmacia;8;58;22;saude e bem-estar;13.79;37.93
22;centro universitario metodista;filosofia;2;13;11;educacao;15.38;84.62
23;centro universitario metodista;fisioterapia;29;173;29;saude e bem-estar;16.76;16.76
24;centro universitario metodista;fonoaudiologia;1;13;1;saude e bem-estar;7.69;7.69
25;centro universitario metodista;jornalismo;10;40;3;ciencias sociais, comunicacao e informacao;25.0;7.5
26;centro universitario metodista;musica;7;95;4;educacao;7.37;4.21
27;centro universitario metodista;nutricao;14;67;6;saude e bem-estar;20.9;8.96
28;centro universitario metodista;pedagogia;11;33;5;educacao;33.33;15.15
29;centro universitario metodista;psicologia;4;81;10;ciencias sociais, comunicacao e informacao;4.94;12.35
30;centro universitario metodista;servico social;12;33;17;saude e bem-estar;36.36;51.52
31;centro universitario metodista;terapia ocupacional;2;11;0;saude e bem-estar;18.18;0.0
32;centro universitario metodista;turismo;12;36;6;servicos;33.33;16.67
33;centro universitario uniftec;analise e desenvolvimento de sistemas;5;120;86;computacao e tecnologias da informacao e comunicacao (tic);4.17;71.67
34;centro universitario uniftec;comunicacao institucional;2;4;4;negocios, administracao e direito;50.0;100.0
35;centro universitario uniftec;comercio exterior;6;47;29;negocios, administracao e direito;12.77;61.7
36;centro universitario uniftec;design de produto;4;49;36;artes e humanidades;8.16;73.47
37;centro universitario uniftec;engenharia de computacao;9;80;68;engenharia, producao e construcao;11.25;85.0
38;centro universitario uniftec;engenharia de producao;9;142;110;engenharia, producao e construcao;6.34;77.46
39;centro universitario uniftec;gestao comercial;1;85;63;negocios, administracao e direito;1.18;74.12
40;centro universitario uniftec;gestao da qualidade;5;93;64;negocios, administracao e direito;5.38;68.82
41;centro universitario uniftec;gestao da tecnologia da informacao;2;55;33;computacao e tecnologias da informacao e comunicacao (tic);3.64;60.0
42;centro universitario uniftec;gestao de recursos humanos;6;126;78;negocios, administracao e direito;4.76;61.9
43;centro universitario uniftec;gestao financeira;2;56;41;negocios, administracao e direito;3.57;73.21
44;centro universitario uniftec;logistica;3;106;66;negocios, administracao e direito;2.83;62.26
45;centro universitario uniftec;marketing;5;65;47;negocios, administracao e direito;7.69;72.31
46;centro universitario uniftec;redes de computadores;6;67;48;computacao e tecnologias da informacao e comunicacao (tic);8.96;71.64
47;faculdade anglicana de erechim;administracao;11;32;13;negocios, administracao e direito;34.38;40.62
48;faculdade anglicana de erechim;analise e desenvolvimento de sistemas;8;28;11;computacao e tecnologias da informacao e comunicacao (tic);28.57;39.29
49;faculdade anglicana de erechim;design;7;12;7;artes e humanidades;58.33;58.33
50;faculdade anglicana de erechim;pedagogia;11;22;10;educacao;50.0;45.45
51;faculdade anhanguera de caxias do sul;administracao;17;86;57;negocios, administracao e direito;19.77;66.28
52;faculdade anhanguera de caxias do sul;ciencias contabeis;17;28;13;negocios, administracao e direito;60.71;46.43
53;faculdade anhanguera de caxias do sul;servico social;15;41;23;saude e bem-estar;36.59;56.1
54;faculdade anhanguera de passo fundo;administracao;66;178;94;negocios, administracao e direito;37.08;52.81
55;faculdade anhanguera de passo fundo;ciencias contabeis;22;66;29;negocios, administracao e direito;33.33;43.94
56;faculdade anhanguera de passo fundo;direito;35;182;85;negocios, administracao e direito;19.23;46.7
57;faculdade anhanguera de passo fundo;gestao comercial;10;61;11;negocios, administracao e direito;16.39;18.03
58;faculdade anhanguera de passo fundo;gestao da tecnologia da informacao;7;31;10;computacao e tecnologias da informacao e comunicacao (tic);22.58;32.26
59;faculdade anhanguera de passo fundo;gestao financeira;9;28;10;negocios, administracao e direito;32.14;35.71
60;faculdade anhanguera de pelotas;administracao;63;205;115;negocios, administracao e direito;30.73;56.1
61;faculdade anhanguera de pelotas;ciencias biologicas;16;53;12;educacao;30.19;22.64
62;faculdade anhanguera de pelotas;direito;34;240;98;negocios, administracao e direito;14.17;40.83
63;faculdade anhanguera de pelotas;educacao fisica;27;203;49;educacao;13.3;24.14
64;faculdade anhanguera de pelotas;enfermagem;32;167;78;saude e bem-estar;19.16;46.71
65;faculdade anhanguera de pelotas;gestao hospitalar;1;10;10;negocios, administracao e direito;10.0;100.0
66;faculdade anhanguera do rio grande;administracao;50;236;136;negocios, administracao e direito;21.19;57.63
67;faculdade anhanguera do rio grande;ciencias biologicas;10;18;16;educacao;55.56;88.89
68;faculdade anhanguera do rio grande;direito;65;259;118;negocios, administracao e direito;25.1;45.56
69;faculdade anhanguera do rio grande;fisioterapia;69;184;95;saude e bem-estar;37.5;51.63
70;faculdade anhanguera do rio grande;psicologia;24;83;44;ciencias sociais, comunicacao e informacao;28.92;53.01
71;faculdade anhanguera do rio grande;sistemas para internet;23;26;26;computacao e tecnologias da informacao e comunicacao (tic);88.46;100.0
72;faculdade cnec farroupilha;administracao;6;168;121;negocios, administracao e direito;3.57;72.02
73;faculdade cnec farroupilha;direito;2;98;84;negocios, administracao e direito;2.04;85.71
74;faculdade cnec farroupilha;pedagogia;2;71;58;educacao;2.82;81.69
75;faculdade cnec gravatai;administracao;16;383;284;negocios, administracao e direito;4.18;74.15
76;faculdade cnec gravatai;ciencias contabeis;9;106;75;negocios, administracao e direito;8.49;70.75
77;faculdade cnec gravatai;direito;9;162;104;negocios, administracao e direito;5.56;64.2
78;faculdade cnec gravatai;sistemas de informacao;6;75;59;computacao e tecnologias da informacao e comunicacao (tic);8.0;78.67
79;faculdade de administracao da associacao brasiliense de educacao;administracao;22;50;22;negocios, administracao e direito;44.0;44.0
80;faculdade de direito de santa maria;direito;10;200;138;negocios, administracao e direito;5.0;69.0
