Unnamed: 0;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA;Nome da Grande Área do Curso segundo a classificação CINE BRASIL
510;universidade regional integrada do alto uruguai e das missões;25752;letras - português e inglês;7;52;13.46;57,1;educação
511;universidade regional integrada do alto uruguai e das missões;8790;matemática;10;38;26.32;57,1;educação
512;universidade regional integrada do alto uruguai e das missões;88810;nutrição;10;89;11.24;38,5;saúde e bem-estar
513;universidade regional integrada do alto uruguai e das missões;122800;odontologia;6;44;13.64;29,5;saúde e bem-estar
514;universidade regional integrada do alto uruguai e das missões;8788;pedagogia;17;122;13.93;81,1;educação
515;universidade regional integrada do alto uruguai e das missões;49498;psicologia;26;144;18.06;37,9;ciências sociais, comunicação e informação
516;universidade regional integrada do alto uruguai e das missões;64040;química;22;37;59.46;50;ciências naturais, matemática e estatística
517;universidade regional integrada do alto uruguai e das missões;1104312;secretariado executivo bilíngue;5;14;35.71;28,6;negócios, administração e direito
518;universidade regional integrada do alto uruguai e das missões;8838;serviço social;11;30;36.67;30;saúde e bem-estar
519;universidade regional integrada do alto uruguai e das missões;88180;sistemas de informação;4;46;8.7;80,4;computação e tecnologias da informação e comunicação (tic)
520;universidade regional integrada do alto uruguai e das missões;64110;teologia;1;13;7.69;69,2;artes e humanidades
