Unnamed: 0;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA;Nome da Grande Área do Curso segundo a classificação CINE BRASIL
159;pontifícia universidade católica do rio grande do sul;1107917;hotelaria;20;67;29.85;56,7;serviços
160;pontifícia universidade católica do rio grande do sul;27508;jornalismo;10;162;6.17;35,8;ciências sociais, comunicação e informação
161;pontifícia universidade católica do rio grande do sul;1879;medicina;4;81;4.94;3,8;saúde e bem-estar
162;pontifícia universidade católica do rio grande do sul;56696;nutrição;1;59;1.69;25,4;saúde e bem-estar
163;pontifícia universidade católica do rio grande do sul;1883;odontologia;5;77;6.49;22,1;saúde e bem-estar
164;pontifícia universidade católica do rio grande do sul;1882;pedagogia;15;114;13.16;44,2;educação
165;pontifícia universidade católica do rio grande do sul;73235;produção audiovisual;1;54;1.85;27,8;artes e humanidades
166;pontifícia universidade católica do rio grande do sul;1903;psicologia;9;318;2.83;38,7;ciências sociais, comunicação e informação
167;pontifícia universidade católica do rio grande do sul;33288;relações públicas;14;111;12.61;38,7;negócios, administração e direito
168;pontifícia universidade católica do rio grande do sul;56766;sistemas de informação;8;117;6.84;60,7;computação e tecnologias da informação e comunicação (tic)
169;pontifícia universidade católica do rio grande do sul;1880;teologia;8;28;28.57;53,6;artes e humanidades
170;universidade católica de pelotas;1517;administração;16;211;7.58;60,7;negócios, administração e direito
171;universidade católica de pelotas;1529;análise e desenvolvimento de sistemas;3;41;7.32;63,4;computação e tecnologias da informação e comunicação (tic)
172;universidade católica de pelotas;1534;arquitetura e urbanismo;4;53;7.55;41,5;engenharia, produção e construção
173;universidade católica de pelotas;1532;ciência da computação;1;16;6.25;43,8;computação e tecnologias da informação e comunicação (tic)
174;universidade católica de pelotas;1537;ciências biológicas;3;59;5.08;55,9;educação
175;universidade católica de pelotas;1523;ciências contábeis;9;35;25.71;34,3;negócios, administração e direito
176;universidade católica de pelotas;1522;ciências econômicas;3;15;20.0;53,3;ciências sociais, comunicação e informação
177;universidade católica de pelotas;103186;design de moda;5;40;12.5;27,5;artes e humanidades
178;universidade católica de pelotas;1531;direito;14;297;4.71;44,4;negócios, administração e direito
179;universidade católica de pelotas;1560;ecologia;2;17;11.76;64,7;ciências naturais, matemática e estatística
180;universidade católica de pelotas;89467;enfermagem;6;79;7.59;46,8;saúde e bem-estar
181;universidade católica de pelotas;1511;engenharia civil;4;67;5.97;52,2;engenharia, produção e construção
182;universidade católica de pelotas;1512;engenharia elétrica;5;19;26.32;78,9;engenharia, produção e construção
183;universidade católica de pelotas;42202;farmácia;1;38;2.63;16,7;saúde e bem-estar
184;universidade católica de pelotas;64838;fisioterapia;1;85;1.18;40;saúde e bem-estar
185;universidade católica de pelotas;103169;gestão de turismo;3;17;17.65;23,5;serviços
186;universidade católica de pelotas;113881;gestão hospitalar;10;63;15.87;49,2;negócios, administração e direito
187;universidade católica de pelotas;49991;jornalismo;1;23;4.35;43,5;ciências sociais, comunicação e informação
188;universidade católica de pelotas;1514;letras - português e inglês;9;38;23.68;50;educação
189;universidade católica de pelotas;1518;medicina;8;108;7.41;13;saúde e bem-estar
